loc,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73
0,0.010218208,-0.007180319,-0.003092489,-0.021836556,0.029981207,-0.013756048,0.012374636,0.012555535,0.013736241,-0.02107294,0.03143485,-0.035823815,-0.002281468,0.021916868,-0.03380377,-0.014316642,-0.02364785,-0.0081456,-0.013680477,0.028777637,-0.012549996,0.024781028,-0.002758262,-0.013650521,-0.008813232,0.03837794,0.034587264,-0.008480731,-0.00925654,-0.009256643,0.001372425,0.03824053,0.001579863,0.040893223,-0.007483268,-0.044601984,0.035113793,-0.021087164,-0.016805597,0.019643733,0.028650962,-0.02332707,-0.013419936,0.026281448,0.010145214,0.006102014,-0.02913256,-0.030904109,0.000166518,0.045897752,0.007538983,-0.007431506,-0.0332979,-0.023784127,0.001901431,-0.01683795,-0.007018532,-0.001857242,0.024834307,0.001461149,0.010046812,0.002139111,0.01275571,-0.017240567,-0.005148738,-0.010992522,-0.018272009,0.020611791,0.04395655,0.012712515,0.012627512,-0.01720825,0.015709728,0.018268188
1,0.04011771,0.028189227,-0.002323813,-0.031694867,0.017385,-0.050718926,-0.009678882,0.024953648,0.02193442,-0.035810065,0.009387028,0.001069179,-0.013038542,-0.027649913,-0.02424376,-0.008936127,-5.18E-05,-0.006262489,0.011553072,-0.008532437,-0.01669368,0.006709498,-0.018386165,0.024480002,0.008654619,0.035673883,0.009953558,0.008091236,-0.020017818,0.008215168,0.00418758,0.016138542,0.015610044,0.015678186,0.023616381,-0.040348016,0.053656336,-0.03366202,-0.014668322,0.045903906,-0.02026664,-0.005541735,-0.032074757,0.01776658,0.036929797,-0.007248625,-0.06240362,-0.016646178,-0.005698298,0.012953417,0.008196389,-0.001847634,-0.04669867,0.006172807,0.02278241,0.01441384,-0.007714854,0.003640481,-0.00389843,0.019718286,0.007204407,0.002308671,0.002394764,0.01637068,0.014124535,0.02033804,-0.01828943,0.014812195,0.017363057,-0.019534238,0.00603984,0.017158441,0.041530795,0.006043633
2,-0.000198836,-0.002441913,-0.007590153,-0.000892504,0.003464503,-0.013382912,0.004866349,0.013778769,0.016395006,-0.003921599,0.022059884,-0.010070516,0.003660453,-0.000188224,-0.012054256,-0.000308842,-0.005191253,-0.011311052,0.00347068,0.001857688,0.000656217,0.010633799,-0.000674265,-0.010470593,0.003417708,0.012236916,0.005175479,0.01292953,-0.004822131,-0.007225263,-0.002326659,0.015351374,0.001968844,0.02636087,0.00168323,-0.020754341,0.001240832,-0.006822685,-0.007179116,0.005701718,0.00021287,-0.020339787,0.002351091,0.006700364,0.005900065,-0.008106895,-0.008763606,-0.01105874,0.006757006,0.016810939,0.00734665,-0.009939122,-0.003118357,-0.016764376,-0.007590352,-0.008816145,-0.006356498,-0.00411009,-0.004117925,0.003241024,-0.003639393,-0.006792872,0.007920453,-0.011831022,0.002587356,0.00706033,-0.004453148,0.01670817,0.00932936,0.003484885,0.008287853,-0.001587042,0.001298323,-0.002900887
3,0.005397635,0.004535175,-0.005224256,-0.003345442,0.00168297,-0.018935682,0.001264743,0.014968275,0.016669333,-0.005729055,0.015048395,-0.003359957,0.000734022,-0.007215274,-0.009440688,0.000158584,-0.002005161,-0.008068895,0.008189093,-0.004426387,-0.0017411,0.006439758,-0.001565779,-0.002727388,0.004796794,0.011438852,0.000382658,0.014407119,-0.006681315,-0.003230745,-0.002236849,0.010366714,0.004793712,0.01859365,0.007579424,-0.019349437,0.005770646,-0.008697572,-0.006131653,0.009510276,-0.009436671,-0.013740068,-0.002140803,0.003925603,0.009228784,-0.007342879,-0.014743016,-0.007783025,0.004730494,0.008868896,0.005338002,-0.008295988,-0.006697694,-0.009204572,-0.002024696,-0.002910453,-0.005454268,-0.003462458,-0.00786205,0.005942288,-0.002653991,-0.006909683,0.004450965,-0.003906743,0.005020985,0.012342894,-0.003937384,0.014292273,0.003730772,-0.002227645,0.005837959,0.004563217,0.006381861,-0.005696128
4,0.004943158,0.003002141,-0.004757379,-0.00190065,0.001307857,-0.016753329,0.001628555,0.014814502,0.0169814,-0.007762288,0.015226233,-0.003463269,0.000117284,-0.006369417,-0.010386613,0.002479503,-0.002387681,-0.007460446,0.006380219,-0.00241323,-0.001041974,0.005410875,-0.001007396,-0.004609131,0.003416051,0.009349794,-0.001920736,0.011287104,-0.006398895,-0.003353398,-0.002309895,0.010046941,0.001971775,0.01938569,0.006358847,-0.017451975,0.002408661,-0.008819524,-0.006738468,0.00871403,-0.006757882,-0.011963612,-0.002267302,0.000765102,0.00458611,-0.009356084,-0.011869406,-0.007387417,0.003711039,0.00892697,0.00496169,-0.007155255,-0.00310489,-0.008964393,-0.003104039,-0.005590755,-0.002925378,-0.003291817,-0.00685323,0.005454381,-0.0030488,-0.009877844,0.004066757,-0.005422539,0.003307008,0.011400121,-0.002225563,0.011886323,0.003543878,-0.000668687,0.007310721,0.002884146,0.002293527,-0.00415686
5,0.010137144,0.012816636,-0.003396497,-0.008411512,0.00048907,-0.024053557,-0.004845554,0.011579555,0.010125751,0.001467615,0.00311598,0.004225978,-0.000822825,-0.013332479,-0.001379983,-0.004138593,0.004116336,-0.006200173,0.013996094,-0.012967336,-0.005869374,0.004213176,-0.004962012,0.012146411,0.009463299,0.011883294,0.004542201,0.018864654,-0.007115116,0.001548933,0.00015049,0.003672125,0.011978482,0.003008064,0.015064536,-0.016947387,0.01691244,-0.007316902,-0.001592733,0.013138477,-0.020094145,-0.010246975,-0.004700149,0.007315195,0.022442052,0.000589342,-0.022838704,-0.003572055,0.004595557,-0.001332353,0.00506878,-0.007099996,-0.016594626,-0.00105525,0.008338138,0.012034765,-0.00798685,-0.00051749,-0.010818297,0.007463544,-0.001072479,0.002297582,0.000658994,0.007651436,0.010421333,0.014701558,-0.008575457,0.013984488,-0.002364389,-0.009552048,-0.003834104,0.014558403,0.0222814,-0.011406811
6,0.002310781,-0.004306088,-0.005100523,0.003241536,-0.00276631,0.00275251,-0.003431001,0.001201965,-3.73E-05,0.002692016,-0.003254448,-0.001561225,0.000393701,0.004556438,-0.001916259,-0.004722559,-0.002767152,-0.004822842,0.001280254,-0.000809974,-0.00291729,-0.001916261,-0.003761561,0.005477208,0.00803299,-0.003724156,0.001472393,0.004596113,-0.002919917,-0.001297082,0.001890662,-0.002635981,0.005331153,-0.000707258,0.008199937,0.002063725,-0.004353774,-0.00062081,-0.002895923,0.003370406,-0.000608531,-0.001533869,-0.005373284,0.00243992,-0.000495186,-0.001147082,0.002948797,-0.001257378,-0.003625101,0.000896655,0.002808854,-0.004327882,-0.001649396,-0.002514214,0.000728715,0.002134347,0.001699753,-0.00117324,-5.71E-05,-0.003499956,-0.002225204,0.001086728,-0.00218338,-0.001375677,0.001289343,0.000424083,-0.001831269,0.000465219,0.002946082,0.0029057,0.000490214,0.000574008,-0.002578573,-0.004209466
7,0.007919747,0.002989241,-0.001403263,-0.000287055,0.000481926,-0.012901269,-0.000281343,0.013473035,0.014903542,-0.010232767,0.008262022,-0.001453357,-0.002855419,-0.007420591,-0.008426111,0.006944777,-0.002273503,-0.003568097,0.003002245,0.000203227,-0.003044301,0.000365189,0.000491146,-0.001860971,0.000750153,0.005035593,-0.005830363,0.005525083,-0.006341199,-3.36E-05,-0.001545358,0.006051465,-0.002080852,0.012725705,0.005741192,-0.011453575,0.000230909,-0.01076334,-0.005556431,0.008650142,-0.00565008,-0.003715832,-0.004000817,-0.003798192,-0.002565568,-0.009730038,-0.008978292,-0.004631558,0.000393678,0.004076639,0.003822962,-0.00295676,-0.000175792,-0.004250782,0.000644274,-0.005197122,0.001685835,-0.000965514,-0.004673353,0.00346144,-0.002753624,-0.013058594,0.002080925,-0.001681664,0.001410865,0.008158288,0.002096033,0.00455058,0.000859769,-0.000941701,0.005588902,0.003796582,-0.002296894,-0.001566348
8,0.007789449,0.004272997,-0.001073295,-0.000990238,5.59E-05,-0.012475243,-0.001332341,0.011880565,0.011697725,-0.004340963,0.004091926,-0.000719281,-0.001363315,-0.008011666,-0.003788683,0.005085139,-0.00138357,-0.002812021,0.003871426,-0.002082466,-0.00486743,0.000264934,0.000757414,0.002766414,0.002384486,0.005807568,-0.002405627,0.009056895,-0.005905978,0.001183632,-0.001169676,0.004259448,0.00076287,0.006400877,0.007074798,-0.010815818,0.00313805,-0.009947459,-0.002679329,0.007840995,-0.009283614,-0.00389328,-0.002307809,0.000351303,0.002507308,-0.004974276,-0.009853639,-0.003104444,0.001666687,0.001221807,0.004229821,-0.003276856,-0.004409533,-0.003306386,0.004265813,0.000751455,-0.001370633,0.000345544,-0.005436812,0.00160884,-0.002319306,-0.00765484,0.002101354,0.002595016,0.004071425,0.006759925,0.001085767,0.005910304,-0.00068929,-0.003175236,0.000349351,0.007446677,0.002833747,-0.004341931
9,0.002533451,0.00282786,-0.000242735,-0.002813733,0.00371723,-0.01727383,-0.003582408,0.003258504,0.0056381,0.006421952,0.004973658,0.000294503,-6.56E-05,-0.007881421,-0.001646873,-0.002073963,0.000717027,-0.004580706,0.00544595,-0.003730126,-0.002001479,-0.001743795,-0.001632637,0.012511647,0.001974723,0.006851893,0.001844874,0.010568243,-0.002793544,0.00178842,0.000457642,0.002917279,0.000988207,-0.00288491,0.007941777,-0.009426632,0.002270524,-0.008021808,-0.002894874,0.004431799,-0.017535744,-0.004409377,-0.001940128,0.003501277,0.010565714,0.00427081,-0.007389539,0.00107782,0.004002547,0.000431255,0.006286085,-0.009135767,-0.01117199,-0.004343356,0.007635042,0.008378929,0.000739154,0.004113057,-0.007574044,0.001460669,-0.005562136,-0.003901604,-0.000982122,0.003637428,0.005796189,0.008349855,-0.004500221,0.006591439,-0.003917967,-0.007280578,-0.005381211,0.007957346,0.01487796,-0.010780023
