orig_id,id,month,y,open,promo,schoolholiday,holiday_0,holiday_a,holiday_b,holiday_c,competitiondistance,competitionopensincemonth,competitionopensinceyear,promo2,promo2sinceweek,promo2sinceyear,promointerval,storetype_a,storetype_b,storetype_c,storetype_d,storeassort_a,storeassort_b,storeassort_c,t,z0
26053,0,-0.72755057,0.09423403,-0.34786996,2.04409,-0.16371481,0.61451566,-0.978163,1.6816525,-0.2848332,-0.5588343,0.5042542,-0.5341136,-1.1901888,-0.003436843,0.023663603,-0.8145517,0.84670997,-0.23145597,-0.32024172,-0.69387317,0.94266975,-0.26103085,-1.0498688,0.801317234,373
26052,1,-0.23371927,-0.9999731,-0.89466316,0.07388386,-0.53312254,-1.1190842,1.8950711,-0.37464136,-0.29945886,0.85317206,0.06168851,0.054701682,1.076798,-0.07178874,0.07389913,0.33366132,-1.1970863,-0.1047198,-0.24412717,1.6172136,-0.86500883,-0.17512053,1.0358678,0.801317234,372
26051,2,-0.7016173,0.79435843,-0.42546427,1.5065196,-0.18803471,0.23903832,-0.7258379,1.8206232,-0.33267093,-0.15654358,0.07239867,0.003542794,1.114422,-0.5370608,1.7888174,0.11745952,-1.2173287,-0.09521959,-0.381381,1.6389601,-1.0987134,-0.1425121,1.1168239,0.801317234,371
26050,3,-0.4464286,-0.065955065,-0.26315713,0.7873776,-0.16108243,-0.13390867,-0.7438035,1.9367591,-0.4079496,-0.42743695,-0.17633067,0.07711141,1.0559248,2.2932577,1.8968704,1.2527758,-1.1325772,-0.21125439,-0.23338036,1.6458243,-1.0284355,-0.14642411,1.1197258,0.801317234,370
26049,4,-0.84659094,0.31181863,-0.529523,2.105721,-0.22598252,0.5396748,-0.72631216,1.7866807,-0.31804305,0.2879007,0.87881565,-2.0295177,1.0353506,0.86280495,-2.5701134,0.1301148,-1.2697865,-0.24019441,-0.39828703,1.6051227,0.9300093,-0.29295114,-0.9605598,0.801317234,369
26048,5,-0.61809266,0.021165144,-0.27200484,0.7634093,-0.1529804,-0.09807443,-0.7727797,1.7044992,-0.2552908,0.07620175,-1.3560752,1.1070238,-1.031688,-0.09979785,0.06957881,-0.75927615,-1.1468378,-0.012608044,-0.3444245,1.5189995,-1.1083045,-0.2557819,1.0666717,0.801317234,368
26054,6,-0.26103625,1.0929017,-0.99966437,0.07516216,-0.64547193,-1.3020481,2.157225,-0.4513004,-0.3521037,1.3057706,-2.1515908,0.62593657,0.99241716,1.4738331,-2.5197322,0.25552034,0.68877167,-0.15082532,-0.3311406,-0.7088773,-1.2874699,-0.10303768,1.0740129,0.801317234,374
27538,7,-0.9110194,-0.094581224,-1.6303166,-1.0528951,0.21821888,-1.2686459,-1.1110138,-0.41161585,-0.57521343,-0.6823274,1.7326044,0.31948277,1.0273826,1.9155693,1.7812783,0.30823246,0.86513585,-0.20433377,-0.332567,-0.52049696,0.95783734,0.010297836,-1.0735284,0.835345774,743
27541,8,-1.1074919,0.59193593,-0.78474534,-0.93566716,-0.37820888,-1.333003,-0.51682127,-0.32505748,-0.37030625,5.4079037,0.064291075,-0.47230557,-0.9681011,-0.054431725,0.13666102,-0.81926256,-1.3839153,-0.12013294,2.7462296,-0.6310463,-1.1442001,-0.15874593,0.92547,0.835345774,746
27540,9,-0.9445753,-0.39417627,-0.9145827,-0.6951829,-0.66678244,-1.2090744,-0.6324694,-0.34704867,-0.34174925,-0.24040566,-2.1733346,0.39126775,1.1401231,1.3012884,-0.8546938,2.3094516,-1.1193035,-0.21534853,-0.3401113,1.5440828,-1.0509095,-0.20441002,1.0708988,0.835345774,745
27539,10,-1.1338369,0.12652737,-1.1497946,-0.59327507,-0.049834535,-1.6037565,-0.6493156,0.42293456,-0.24585468,1.726098,1.3172177,0.815431,0.9726236,1.3798034,-2.644909,0.10847566,0.83608854,-0.23479408,-0.47328746,-0.6733977,0.95682436,-0.14588381,-1.0860643,0.835345774,744
27537,11,-1.0346807,-1.4512204,-1.0527288,-0.6831405,-0.20457475,-1.6352829,-0.66507137,-0.20506045,-0.42523006,0.004952807,1.1366513,-1.3138237,0.9963699,-0.93594265,0.075086795,0.22144298,0.84679717,-0.14871618,-0.41073322,-0.70470273,0.9038729,-0.11339673,-0.954242,0.835345774,742
