id,month,y,open,promo,schoolholiday,holiday_0,holiday_a,holiday_b,holiday_c,competitiondistance,competitionopensincemonth,competitionopensinceyear,promo2,promo2sinceweek,promo2sinceyear,promointerval,storetype_a,storetype_b,storetype_c,storetype_d,storeassort_a,storeassort_b,storeassort_c,t,t_orig,z0,orig_id
0,-1.151679,-0.25907892,-0.78923213,-0.87975436,-0.54801667,-1.4140724,-0.5092349,-0.24220702,-0.34594095,0.16094671,0.048544094,0.115009636,0.28581384,-0.01313383,0.042467847,0.23620674,-0.82554984,-0.118498854,0.067490935,0.9082082,-1.1552489,-0.09052706,1.1594769,0.2679243,0.801317234,373,26053
1,-0.311128,-0.29380876,-1.3335153,0.7748104,-0.12291585,-2.4797826,3.598637,-0.32316414,-0.26596248,-0.24759202,0.049767733,-0.045862973,0.48930648,0.22152027,-0.02773754,0.3607996,-0.18634157,-0.18028158,-0.009055484,0.24351153,0.32364804,-0.08534153,-0.30091336,0.09437008,0.801317234,372,26052
2,-1.1766086,-0.35499775,-0.7711401,-0.9584155,-0.39066014,-1.4491345,-0.6268481,-0.2609628,-0.3358496,-0.31376648,-0.010533391,-0.04244107,-0.18909308,0.069960006,0.103224754,-0.27373978,0.7087785,-0.11594098,-0.062972926,-0.6721665,1.0843319,-0.07088913,-1.0799601,0.2500024,0.801317234,371,26051
3,-1.0350077,-0.27693576,-0.7618784,-0.52488416,0.051603854,-1.4068358,-0.6671132,1.0892993,-0.3529922,-0.30560473,-0.027392073,-0.017095089,-0.572486,0.0494223,0.1933345,-0.58901924,0.9124491,-0.12740102,-0.20527819,-0.7670916,1.20582,-0.08439283,-1.1728976,0.34299678,0.801317234,370,26050
4,-1.1756811,-0.24264525,-0.773803,-0.8911663,-0.54861796,-1.4288048,-0.6091444,-0.23004493,-0.33236915,0.12526193,0.026560048,0.11013532,0.20920381,-0.003028772,0.026270613,0.15990874,-0.62037086,-0.11467134,0.10963867,0.63593894,-0.90575874,-0.08531221,0.92074865,0.2531838,0.801317234,369,26049
5,-1.1150925,-0.2971518,-0.7618761,-0.6907007,-0.11444275,-1.4093485,-0.6700373,0.49504408,-0.3533822,-0.3045518,-0.019800602,-0.029015124,-0.6379515,0.041385837,0.20451595,-0.6506817,0.97195697,-0.12784742,-0.2371964,-0.7996457,1.2208911,-0.07599519,-1.1905054,0.30554035,0.801317234,368,26048
6,-0.265875,-0.053398862,-1.0945413,0.8498423,-0.20945534,-2.34758,3.6091385,-0.33108917,-0.24965684,-0.06703454,0.13211864,0.007237271,0.23759061,0.05960069,0.00321022,0.17389026,-0.5126558,-0.22173214,0.07539619,0.54698527,-0.7191672,-0.09564902,0.75955856,0.100967675,0.801317234,374,26054
7,-1.1856946,-0.3263056,-0.75837195,-1.0189404,-0.5145525,-1.4456335,-0.62357473,-0.3982428,-0.33799312,-0.14391585,0.001440706,0.02285561,0.28590724,0.081060626,-0.027847826,0.18437198,0.022971611,-0.10686042,0.18688281,-0.15852728,0.31303397,-0.10115209,-0.29671136,0.2270674,0.835345774,743,27538
8,-1.1645068,-0.25182503,-0.7820548,-0.8857348,-0.54863584,-1.4223251,-0.55986786,-0.23625079,-0.3393369,0.14402498,0.038844727,0.11270884,0.24834174,-0.008774615,0.035117265,0.19944516,-0.7285336,-0.11717928,0.08795723,0.77934843,-1.037506,-0.08870736,1.0475172,0.2606782,0.835345774,746,27541
9,-1.0018027,-0.2523506,-0.7619103,-0.7986175,-0.5071415,-1.2693348,-0.08251171,-0.29221436,-0.36169887,0.18401746,0.07753518,0.12678999,0.4791874,-0.01612065,0.04594643,0.42062414,-1.1512961,-0.10691459,-0.013459243,1.2980672,-1.5057425,-0.10770633,1.4962407,0.3175462,0.835345774,745,27540
10,-1.1701075,-0.36184543,-0.76579046,-1.0529193,-0.50536585,-1.4531571,-0.60581434,-0.45113006,-0.3387663,-0.22469166,0.001788752,-0.004831761,0.3316305,0.095931865,-0.02957344,0.21221843,0.16989695,-0.103987835,0.19485708,-0.32945994,0.62009263,-0.10692382,-0.60652655,0.22312896,0.835345774,744,27539
11,-1.1507084,-0.40188265,-0.77735734,-1.0740974,-0.49056455,-1.4758714,-0.59149516,-0.4776769,-0.3285517,-0.32083556,-0.00227694,-0.03770393,0.35305223,0.097846575,-0.007831723,0.20583537,0.37918493,-0.103203155,0.17041895,-0.53704864,0.955848,-0.09811059,-0.95288736,0.22731826,0.835345774,742,27537
12,-1.2000766,-0.2360843,-0.75808656,-0.9158356,-0.5503843,-1.4392053,-0.67718554,-0.23071048,-0.32772228,0.07147804,0.003226342,0.10002285,0.16333231,0.0154076,0.008884496,0.10822628,-0.37916872,-0.11253791,0.15549077,0.32114634,-0.5673193,-0.08628124,0.5865578,0.23876347,0.835345774,735,27530
13,-1.115346,-0.26146618,-0.7919638,-0.8587828,-0.5393505,-1.3825877,-0.39478323,-0.25189254,-0.35442415,0.18007332,0.058214568,0.11916384,0.35203156,-0.015350989,0.044795338,0.2981929,-0.95450044,-0.117754824,0.039592687,1.072615,-1.2997202,-0.09393793,1.2988039,0.2819373,0.835345774,740,27535
14,-1.199515,-0.25248975,-0.7569444,-0.9362431,-0.5425184,-1.4396399,-0.66696787,-0.26405796,-0.33015856,0.03046483,0.002684334,0.08521965,0.18648192,0.029657342,-0.000381173,0.12282161,-0.30142197,-0.11175112,0.16183202,0.22768947,-0.39600047,-0.08916232,0.4150432,0.23675874,0.835345774,739,27534
15,-1.0858886,-0.2593301,-0.78465426,-0.84395266,-0.528739,-1.3493692,-0.30252922,-0.26284125,-0.35853133,0.18546396,0.06513445,0.12338674,0.39495322,-0.01714059,0.04505417,0.3417618,-1.0283774,-0.1143293,0.02125154,1.1606995,-1.3785502,-0.09965241,1.3750079,0.29220167,0.835345774,738,27533
16,-1.1372296,-0.26099393,-0.79213154,-0.8721932,-0.54550934,-1.4025565,-0.46371317,-0.2463086,-0.35024086,0.17028877,0.052295685,0.1165517,0.3134198,-0.01381979,0.04440086,0.26149854,-0.882379,-0.118212245,0.054468203,0.98251206,-1.2209843,-0.09012132,1.2211078,0.27372772,0.835345774,737,27532
17,-1.1815568,-0.3355643,-0.7600205,-1.0278034,-0.51254785,-1.4474522,-0.61895704,-0.4121211,-0.338324,-0.16412844,0.001521217,0.015818596,0.29770485,0.08490018,-0.028361171,0.19139549,0.05953799,-0.10611609,0.18945499,-0.20139685,0.39169326,-0.10268816,-0.37589446,0.22576112,0.835345774,736,27531
18,-1.1982821,-0.2788065,-0.75489545,-0.96885145,-0.5297375,-1.4400858,-0.6501547,-0.31758025,-0.33403105,-0.035520878,0.001955593,0.061346322,0.22370014,0.052590184,-0.015405172,0.14625707,-0.17671789,-0.110269,0.17183492,0.078093134,-0.12095615,-0.09372932,0.1398278,0.233573,0.835345774,747,27542
19,-1.1115879,-0.26107296,-0.791229,-0.85652566,-0.5379635,-1.378427,-0.38186124,-0.25310585,-0.3549765,0.1815059,0.059108943,0.1195994,0.35880104,-0.015931629,0.044898152,0.30489734,-0.9665154,-0.117332734,0.03698973,1.087205,-1.3126143,-0.095236816,1.3116268,0.28338552,0.835345774,741,27536
20,-1.1956466,-0.30403656,-0.7544066,-0.9976225,-0.5193744,-1.4412594,-0.63468087,-0.3648632,-0.33719614,-0.095300786,0.001246894,0.03978139,0.25753084,0.07182618,-0.026613273,0.16747954,-0.06497623,-0.10865057,0.18069606,-0.05541996,0.12384489,-0.097458825,-0.10626189,0.23020943,0.835345774,748,27543
21,-1.1757462,-0.24259172,-0.77375495,-0.8911984,-0.5486177,-1.4288423,-0.609432,-0.23000869,-0.33232817,0.12515251,0.026488343,0.11012033,0.20897558,-0.002995125,0.026219092,0.15967801,-0.6197398,-0.114656754,0.10976518,0.63510245,-0.90499055,-0.08529214,0.9200087,0.25314015,0.835345774,755,27550
22,-1.1726999,-0.3652237,-0.77280223,-0.9797949,-0.40952885,-1.4547873,-0.62172365,-0.3018625,-0.33663592,-0.31638193,-0.009757279,-0.04258734,-0.090403885,0.074873246,0.08360863,-0.18745384,0.65262365,-0.11403229,-0.022561748,-0.65076405,1.0645818,-0.07533389,-1.0617641,0.24593218,0.835345774,750,27545
23,-1.1978519,-0.29318085,-0.7539896,-0.98584294,-0.52320886,-1.4402841,-0.64097774,-0.34573057,-0.33611745,-0.07020434,0.001439439,0.048749477,0.24320802,0.06465731,-0.023031414,0.15862063,-0.111464635,-0.10939982,0.17711957,-0.000154531,0.022507098,-0.09580925,-0.004334608,0.23168536,0.835345774,751,27546
24,-1.0403471,-0.2564439,-0.7730062,-0.8206533,-0.5154419,-1.3035024,-0.17746454,-0.2798412,-0.36172923,0.1851832,0.07257794,0.12734725,0.44613424,-0.01686839,0.04571066,0.3915781,-1.1061056,-0.110466056,-0.002156958,1.2513286,-1.461202,-0.10593455,1.4529144,0.30706468,0.835345774,752,27547
25,-1.1107914,-0.2609898,-0.7910737,-0.8560474,-0.53766966,-1.3775457,-0.37912413,-0.25336298,-0.3550933,0.18180926,0.059298217,0.11969161,0.36023548,-0.016054548,0.04491989,0.30631784,-0.96906084,-0.11724324,0.036438264,1.0902958,-1.3153462,-0.09551197,1.3143431,0.28369224,0.835345774,753,27548
26,-0.74107534,-0.18465611,-0.6257976,-0.5917883,-0.43736213,-1.0311353,0.5454339,-0.26338872,-0.3673383,0.15343091,0.0965004,0.10441902,0.55116,0.00133171,0.042609956,0.46378952,-1.2198197,-0.11058062,-0.023441166,1.3577157,-1.5924213,-0.12229058,1.5588571,0.3809527,0.835345774,754,27549
27,-1.1783544,-0.24056293,-0.7718005,-0.89244413,-0.5485462,-1.4303933,-0.6211027,-0.22849008,-0.33066374,0.12066662,0.023528317,0.10950351,0.19966045,-0.001637153,0.024103358,0.15029785,-0.5939742,-0.11416777,0.1148888,0.6009573,-0.87354136,-0.08432043,0.889697,0.2513884,0.835345774,756,27551
28,-0.78114665,-0.19655457,-0.6494014,-0.62615514,-0.44984385,-1.0700144,0.44435555,-0.26947287,-0.3647371,0.15848558,0.0941979,0.108935475,0.5435566,-0.002121142,0.04364319,0.46115306,-1.2126651,-0.10955224,-0.022867773,1.3536787,-1.582874,-0.120391056,1.5518638,0.3716671,0.835345774,757,27552
29,-1.1893831,-0.31805167,-0.756902,-1.0110389,-0.5163398,-1.4440128,-0.6276909,-0.38587096,-0.33769754,-0.12589704,0.001368867,0.029129177,0.27538982,0.07763796,-0.027390383,0.17811099,-0.009625214,-0.10752394,0.18458977,-0.120311655,0.24291351,-0.09978317,-0.22612338,0.22823183,0.835345774,758,27553
30,-1.1732413,-0.36380735,-0.7725723,-0.9768334,-0.40691522,-1.4540044,-0.62243354,-0.2961971,-0.33652684,-0.31601956,-0.009864701,-0.042567074,-0.10407445,0.07419253,0.08632584,-0.199406,0.6604022,-0.11429664,-0.028159533,-0.6537288,1.0673175,-0.07471819,-1.0642842,0.24649596,0.835345774,759,27554
31,-1.1802149,-0.34556347,-0.7696066,-0.938691,-0.373252,-1.4439187,-0.63157636,-0.22322872,-0.3351242,-0.31135345,-0.011249585,-0.042305768,-0.28014448,0.065426715,0.12132248,-0.35334775,0.76058745,-0.1177023,-0.10025634,-0.69191164,1.1025543,-0.066788465,-1.096747,0.25375745,0.835345774,760,27555
32,-1.0831114,-0.25917685,-0.78388643,-0.84269965,-0.5277518,-1.3462063,-0.29428944,-0.26394662,-0.35890728,0.18567625,0.065782346,0.12382588,0.3984858,-0.017169409,0.045050807,0.34541425,-1.0343137,-0.1140003,0.019626778,1.1676723,-1.3848547,-0.09996473,1.3809603,0.29311433,0.835345774,761,27556
33,-1.1099389,-0.26090026,-0.7909068,-0.8555348,-0.5373547,-1.3766013,-0.37619042,-0.2536383,-0.35521883,0.18213446,0.059501253,0.119790554,0.36177215,-0.016186364,0.04494321,0.3078399,-0.9717883,-0.11714732,0.03584731,1.0936081,-1.3182734,-0.095807,1.3172542,0.28402108,0.835345774,762,27557
34,-1.1752648,-0.2429872,-0.7741103,-0.89096427,-0.54861856,-1.428563,-0.60730934,-0.2302762,-0.33262846,0.12596072,0.02701755,0.11023122,0.21066162,-0.003242812,0.026600197,0.16138116,-0.62439936,-0.11476486,0.108831234,0.64128006,-0.9106659,-0.085438475,0.92547005,0.2534631,0.835345774,763,27558
35,-1.1016712,-0.26020196,-0.7890177,-0.85107374,-0.5343493,-1.3673418,-0.34935468,-0.25656095,-0.3563947,0.18425737,0.061452694,0.120891124,0.37487823,-0.016977258,0.045072995,0.3210067,-0.9946444,-0.11619816,0.030484218,1.1210759,-1.3427218,-0.09787789,1.3411814,0.2870153,0.835345774,734,27529
36,-1.1916784,-0.31291562,-0.755988,-1.0061224,-0.51745176,-1.4430038,-0.6302521,-0.3781719,-0.33751398,-0.11468429,0.001324074,0.033032805,0.26884523,0.075508006,-0.02710554,0.17421487,-0.029910225,-0.10793682,0.18316275,-0.09653012,0.19927695,-0.09893152,-0.18219571,0.2289565,0.835345774,749,27544
37,-1.1977079,-0.2982583,-0.7536764,-0.99181795,-0.52091765,-1.4403521,-0.63773656,-0.35563853,-0.3368537,-0.08241098,0.001253078,0.044314593,0.25007132,0.068904705,-0.025706097,0.16297314,-0.08850862,-0.10909078,0.1789803,-0.027680075,0.072959095,-0.0965302,-0.05505482,0.23101364,0.835345774,733,27528
38,-1.1734734,-0.36320007,-0.7724737,-0.97556424,-0.405795,-1.4536686,-0.6227379,-0.29376855,-0.33648038,-0.3158642,-0.00991076,-0.042558372,-0.10993406,0.07390083,0.08749059,-0.20452926,0.6637367,-0.114409946,-0.030559022,-0.6549993,1.068489,-0.07445443,-1.0653646,0.24673781,0.835345774,717,27512
39,-1.1783524,-0.24056418,-0.7718018,-0.8924429,-0.54854655,-1.430392,-0.621093,-0.2284914,-0.33066514,0.12067042,0.023530895,0.1095041,0.1996682,-0.001638211,0.024105065,0.15030548,-0.59399533,-0.11416801,0.114884645,0.6009851,-0.87356746,-0.08432142,0.88972205,0.25138965,0.835345774,731,27526
40,-1.186964,-0.23313461,-0.76209295,-0.8956729,-0.5484761,-1.4335762,-0.6559947,-0.21912464,-0.32681602,0.103854984,0.013862403,0.10755378,0.1696445,0.003112622,0.01629728,0.11874274,-0.49768224,-0.113130845,0.13394226,0.47581193,-0.75382435,-0.0820442,0.77362674,0.24478021,0.835345774,764,27559
41,-1.197787,-0.2954688,-0.7538483,-0.98853505,-0.5221765,-1.4403149,-0.6395173,-0.3501952,-0.33644944,-0.07570477,0.001355404,0.04675111,0.24630055,0.06657138,-0.024236716,0.16058245,-0.10111989,-0.10926049,0.17795809,-0.012558376,0.045242336,-0.09613414,-0.02719001,0.23138265,0.835345774,700,27495
42,-1.1801056,-0.33881134,-0.76059854,-1.0309119,-0.5118445,-1.4480901,-0.61733747,-0.41698787,-0.33844027,-0.17121698,0.001549499,0.013350725,0.30184236,0.08624659,-0.028541237,0.19385871,0.072361454,-0.10585528,0.19035716,-0.21643081,0.41927913,-0.10322639,-0.40366367,0.22530311,0.835345774,701,27496
