,X0,X1,X2,X0_pred,X1_pred,X2_pred
0,12.183582769267165,9.420999736550574,-1.7460717283220282,9.354548,8.762579,-1.997967
10,10.335036612199804,11.002883758988128,-2.683820101102393,9.621564,8.76117,-1.9372408
19,10.21881129264038,8.77419716412212,-2.0210777571464296,9.097413,9.122524,-2.0888805
20,9.268635665102636,9.067697363335265,-0.6159817433740443,8.420568,7.814101,-0.7052796
33,9.017479664832367,9.33534090991671,-3.1889865465268623,9.435061,9.040144,-1.941577
35,9.218304346004711,7.160387147599813,-3.0617165520153757,8.885922,8.8922615,-1.9309683
38,10.376291255717684,8.14354765378644,-1.6634636798718474,10.077619,9.530327,-2.9883332
42,8.387687907820615,7.8307104120179565,-1.343250101532635,8.991561,8.495977,-1.3904865
45,8.070436622447085,9.4075719299578,-1.6340948689277301,8.882323,9.074158,-1.6414405
48,7.083451579885952,9.162544025577038,0.08750382952128555,7.902026,8.209515,-0.83729017
63,10.547011294103303,7.590208719256603,-2.691076335679241,9.629884,6.877078,-2.1025412
75,10.570183163421097,7.911823025601729,-4.13805590777054,10.189528,8.217317,-2.8319254
87,8.766486939717531,7.7553917129236405,-3.9755868665390492,9.5958605,7.800685,-2.7028253
93,10.878818153727815,9.667387715258497,-2.4671551340942113,9.417502,8.724721,-2.9969919
108,10.41783195972731,10.213089347601594,-2.2981254439426935,10.016525,8.824,-1.9447682
109,10.930778935487199,9.090880616064592,-1.471106362294531,8.938278,8.831076,-1.7658527
110,11.817193864578083,7.911902047687908,-1.747513742431397,10.386459,9.008378,-1.5086448
127,10.436528121995085,9.834409429040328,-1.8349877695796715,9.030703,9.312179,-2.4748147
129,9.238022999323569,6.900883155299553,-0.28274927484803236,9.91274,9.230405,-0.69161236
135,7.283757922060905,7.495990820063982,1.8706327164719043,8.574377,7.003727,0.17717767
140,7.411125490862266,8.389182964343968,-2.3435690980078903,7.9410563,7.977598,-2.395265
149,8.79656435189168,6.180174109781168,-3.0206417433478823,8.9880085,7.4583454,-3.8233197
158,9.070945732595,7.959139473798796,-2.3892173610495524,9.2907295,7.5363026,-2.2360072
160,9.829949317863923,7.290931691357404,-4.264074777853481,8.962399,8.236393,-4.9957595
167,7.968711369547135,8.745586783749912,-3.7029841008369395,9.494371,8.118106,-4.3197966
171,9.096274189318711,7.276516466592239,-5.407599612739416,8.123858,8.224018,-4.399701
177,8.462412822137567,9.356798230354938,-4.608248019806266,9.191858,8.039702,-4.3709126
180,8.675906060450624,7.96617318837385,-2.8507119004867603,9.104767,7.4487715,-3.60012
183,8.733616191099442,9.03173696547956,-4.994282229679053,9.634361,8.411748,-4.6105385
187,7.662740808811327,8.06671500715711,-5.906413867904569,8.643435,8.78364,-4.479872
198,10.03048828769172,8.214115981716718,-6.790743546235116,9.535938,8.407238,-5.270117
200,11.137801139826605,10.130052507011865,-5.625822930823689,10.612867,8.73042,-3.9234858
203,11.68096855513555,9.425289019739878,-3.0786895235086296,9.895605,8.209955,-2.4828677
208,8.38698851304618,8.340404323147204,-2.4669009171475245,8.888535,8.21506,-3.6303802
209,9.670660603084288,9.235926944685936,-4.905166642995945,8.993353,8.692557,-5.118697
214,8.274923031642665,7.142490400640986,-5.018182472287666,9.408515,7.4482517,-3.4685965
215,8.024681702759485,8.756746983004446,-2.247291117527562,8.6460705,7.980461,-3.4757013
218,9.37105790443466,10.070549565244285,-4.408952027867406,10.019042,7.92482,-3.8786998
219,9.363583475718833,7.96962946611173,-2.938644258306744,9.542396,7.704681,-4.0422664
220,12.24846580682318,11.698830023367886,-7.46859888813895,11.778387,11.030816,-6.9885736
238,8.365030593463395,7.353649273436238,-1.9584430709957954,8.383408,6.507414,-2.9243004
