,X0,X1,X2,X0_pred,X1_pred,X2_pred
4,5.093704179945935,3.986105082722731,-0.845772456043806,4.3421106,5.441508,0.028009146
5,4.085943026666566,4.730724930382155,-1.186435458675584,4.029913,5.336865,-1.7124677
9,4.599673867000578,5.671631728363125,1.5712968219257806,5.310734,4.6571536,0.2788803
10,6.180573269456154,5.548685253491266,2.3092512283489235,6.212765,4.8704543,2.3916354
11,4.8062141074280635,5.211547665592789,0.022647995546358213,5.2073445,5.796888,0.31161377
19,6.355217864196547,6.4001504841898775,1.7551423233378696,4.9830227,5.9869184,0.04221621
23,5.404487799738569,5.026175974926678,0.2759819028914786,4.213821,5.056546,0.2360104
26,3.5493244965915167,6.817883645401663,-2.394715838025542,4.6038733,5.956581,-2.6658454
28,5.368551004442981,5.279556844440538,-1.2866094059150908,5.658991,5.4799223,-0.65935284
37,4.741690901357862,6.043729522814432,0.512780355107878,5.086982,6.049716,1.3550174
40,3.829363748373334,4.785460525480194,0.4097735012441533,4.1953163,5.454254,0.053027466
42,6.2684071566387995,5.34727345246088,1.714070994155235,4.017778,5.6278906,0.9197111
46,5.4504697446532155,5.54367637572755,-1.6593500189257806,3.9681416,6.036564,-0.24666649
48,5.325166365997475,3.8576318529185967,-3.093768786197561,4.195958,6.330414,-2.775227
53,4.644846222745815,7.5982501649458305,0.3611194067856365,4.8978634,5.884202,-0.6009079
55,3.8503262430399348,4.096076512787116,-3.1450938772807637,5.183111,4.171271,-0.8061504
57,6.647342478157805,4.469320486041996,-0.46260765101760454,4.778331,4.1297073,-0.33104667
66,3.142822951190928,3.572973953850003,1.3636450968189586,3.439945,4.6922827,-0.3032566
67,5.085736071118044,5.474405198689825,-1.5732523191785923,4.2924047,5.2315435,-2.562753
75,6.34687763910565,5.373530310907674,0.7927938863230826,5.081529,5.3900375,0.14885607
78,3.7059604169519327,3.064477033253971,-0.7987277158217244,4.244843,3.7189364,1.9759325
83,5.4960986782327925,7.548496832310653,-0.7906309888370225,4.6667404,5.3058176,-0.3499171
85,5.080954162458593,4.730742892106406,0.048134852826727914,4.480666,4.615096,-1.1243763
91,4.970111187934877,4.577618433665439,-0.43761149838394786,3.7352417,4.490096,-0.42716002
95,4.331993094786701,5.053330325150956,-0.19195608798203434,5.243179,4.655177,-0.95854294
115,5.413703180885747,4.203050518425193,-0.14830186153105873,4.802449,4.6534834,0.66831446
124,4.496443238235445,2.514508326251036,2.222670412696873,4.692294,4.8560686,1.5434916
126,6.303205464400277,4.655852326533591,-0.936154934762798,5.4092207,4.811431,0.32730222
133,4.674323302490692,4.681014649801586,0.022691420533486828,5.143871,4.880663,-0.08734731
147,4.841785306525295,3.6955305426089424,0.22348996523265208,5.6471305,4.535188,-0.5914962
152,6.73620818096216,4.3238407455510375,1.4453276272034807,4.9609094,4.5852118,0.8670589
156,5.201839101327661,5.201395023356274,-0.12389879482898825,4.39568,4.9322424,0.85025764
159,4.009624165636823,3.3251481474955926,-1.0286789664331952,5.3193398,4.107225,1.0047542
161,3.9083696935925354,4.0139230035997,-1.3306219017206753,5.116081,3.9215288,1.0330746
169,5.694545057973657,3.189513422510788,-0.24268494319627032,5.802175,4.9075284,-0.48816276
174,5.946011987118643,4.492153113597289,1.0861606139150672,5.7237997,4.3708267,0.04911396
175,7.50324073848518,3.669166140127316,1.6939123179164974,4.9885187,4.40247,0.4638676
177,5.161286668077308,4.475772711509599,1.429748884481615,4.6616807,4.6235027,1.1351298
193,4.156569576800187,5.182769069483765,3.6343787368266534,4.205596,5.3042507,0.1096628
194,3.0159595503677075,4.967744889108692,-3.0779044482844147,4.0364385,5.5362053,-2.3487136
197,4.980055519106221,5.972757456538912,-1.314475565338812,4.1293936,5.491766,-1.3524556
203,5.118979960847534,4.66128024564551,0.7343866595304525,4.5527315,4.8438435,-0.62295306
207,3.195848160532953,6.655657144235288,0.6788585066374402,4.2155943,5.5368967,1.6824243
211,2.73672513217698,3.9006042401447973,0.1001821118778814,5.005296,4.6673565,-0.408779
214,4.074112766643236,5.804651580657935,-0.2486320972275189,4.550538,4.850589,0.67070425
223,5.050270586156478,4.3843077934420736,0.8077085428212254,4.751015,4.747148,0.6636573
226,6.022212152034303,3.6902179249060385,1.0490581635940455,5.6019244,4.9961376,0.23249301
231,4.605854237748732,2.885463337725779,-0.1397268009478586,3.8262565,4.038184,-0.4822074
233,6.08246429794624,6.719907178556919,-0.056966785275591736,3.6972997,5.1384096,0.31986535
235,4.424479707161872,4.41698538780144,-1.7200156496723857,4.157955,4.995551,-0.60275793
237,3.028265021842254,3.0628579548326997,-0.07549864894049729,4.0861273,4.3561316,0.26658392
239,6.229624774684596,5.096572638983852,-0.01662987349978884,4.633177,4.830874,-0.34924906
241,6.515756605204156,5.068366643664703,1.4792986068168266,5.33198,4.739899,-1.0568616
248,5.806918722137998,2.770372246949382,0.8527771465733939,5.7465796,4.164145,1.9157078
249,4.353988038349502,5.131191287891363,2.2005547178417997,5.378623,4.8010445,0.75085473
250,6.457210957919312,3.280940501431837,-2.635292348031213,5.922984,3.937614,-2.82375
