loc,long,lat
0,-10.41979869,5.58696144
1,-9.90524782,4.59427092
2,-9.022887912,6.166447721
3,-8.663278782,5.659944811
4,-8.608707021,5.781273324
5,-8.494967805,4.731838956
6,-8.310779157,0.896676395
7,-8.211804749,5.645798431
8,-8.082486863,5.291214457
9,-8.016989419,4.540020579
10,-7.848518706,5.449426799
11,-7.670349424,4.972578301
12,-7.60974713,5.124342582
13,-7.359118553,4.549679304
14,-7.28396343,4.893910305
15,-7.269301229,5.662285004
16,-7.165375682,4.800653567
17,-7.017951088,5.064416891
18,-7.007059885,4.880332034
19,-6.98313569,-1.626901892
20,-6.905019842,5.46259215
21,-6.74015612,4.679072062
22,-6.655176025,5.299063333
23,-6.595333112,5.222986021
24,-6.575543681,-0.737541395
25,-6.502979194,5.500348654
26,-6.490707411,0.036749668
27,-6.395972849,-0.868808423
28,-6.380690557,5.159738169
29,-6.359865628,4.600664497
30,-6.272357923,-0.451537821
31,-6.24907211,4.853171246
32,-6.226517532,-0.270636236
33,-6.157034905,4.860237458
34,-6.100810336,4.912229833
35,-5.973443062,3.854619388
36,-5.949531666,-0.959817784
37,-5.896243783,4.450119672
38,-5.895948945,-1.575983913
39,-5.887036478,0.569051966
40,-5.770763577,-0.42620307
41,-5.761778476,5.579778932
42,-5.74460941,0.09276982
43,-5.71309698,0.996479543
44,-5.693860355,5.620481607
45,-5.677282029,-0.874390561
46,-5.660887919,-1.02432369
47,-5.638323644,4.236649459
48,-5.629413627,0.574343501
49,-5.5913771,-0.781587341
50,-5.549961466,0.040336914
51,-5.533086299,-0.34360527
52,-5.471248923,-0.013032561
53,-5.470787949,4.361808061
54,-5.4661625,-0.800339062
55,-5.422471566,2.909091468
56,-5.367368223,2.418605965
57,-5.360699087,-0.944193951
58,-5.32451987,2.495966308
59,-5.323291485,0.621991097
60,-5.303137226,0.31116085
61,-5.263484148,-0.197652617
62,-5.251790621,-2.611792291
63,-5.219066087,5.672091924
64,-5.027658319,1.159908878
65,-4.954957104,-0.88890582
66,-4.895594899,-0.67473189
67,-4.771755308,4.043959094
68,-4.743082657,-3.692230292
69,-4.710203884,-1.149169943
70,-4.646135377,3.416014769
71,-4.615070202,-0.874275978
72,-4.489670062,4.895780623
73,-4.447326212,1.252342804
74,-4.302101846,-5.07866458
75,-4.299788288,1.616441928
76,-4.249386563,0.335743669
77,-4.148618866,-6.08299838
78,-4.061596948,-5.100557256
79,-3.874055995,4.04302457
80,-3.871054974,4.551733829
81,-3.813697838,5.426797816
82,-3.813133153,-5.56924111
83,-3.718626949,-6.619280955
84,-3.67046385,-3.613444372
85,-3.561505867,-4.382737577
86,-3.544617155,-0.87938656
87,-3.500023653,3.177227879
88,-3.498105367,3.828423237
89,-3.495725481,0.106990104
90,-3.493661298,0.930325257
91,-3.426631753,-1.038425188
92,-3.419212113,-5.422259173
93,-3.394748646,4.42347543
94,-3.357463071,4.471445088
95,-3.248379879,-6.175742443
96,-3.243470804,4.924762599
97,-3.207637044,-5.415174698
98,-3.183760984,-7.318641424
99,-3.107272464,-1.630000847
100,-3.067256784,3.760361647
101,-3.028244821,-0.565929481
102,-3.01825998,4.660228593
103,-2.99482787,-7.478478163
104,-2.973567196,5.580783429
105,-2.960465789,5.419941122
106,-2.950291224,4.422422717
107,-2.855274548,-7.42512518
108,-2.83948087,-5.033411229
109,-2.799685498,-6.666490365
110,-2.797383705,-4.059758853
111,-2.760352373,-7.214358775
112,-2.752029049,2.430097611
113,-2.715621645,-7.626854484
114,-2.712712279,-7.737813426
115,-2.651646093,-3.360872211
116,-2.628484913,-7.505323403
117,-2.615229747,-5.75384189
118,-2.609635582,3.79541151
119,-2.58882619,5.258222064
120,-2.579357343,3.35919937
121,-2.541433702,2.339525595
122,-2.516778539,-7.913328087
123,-2.492238846,-7.717438188
124,-2.470683266,2.995732743
125,-2.441834917,-5.793486002
126,-2.431586754,-5.211316954
127,-2.37980901,3.103525885
128,-2.35502948,-7.77822158
129,-2.335562268,5.133048636
130,-2.281580854,5.033819595
131,-2.266976313,5.387518828
132,-2.226806876,-4.53076431
133,-2.201183249,-7.535266833
134,-2.199162959,-8.286151992
135,-2.189651563,-5.843996312
136,-2.136499268,3.985641482
137,-2.10167157,-0.912814521
138,-1.997990525,-7.48812533
139,-1.976404488,-7.352626104
140,-1.970312127,6.490169217
141,-1.957543036,4.078483199
