d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.01,0.01,0,lmmvae,0.056611004,4.28E-06,200,142.8473871,10.44192505,10.36538124,5.881833553,1.772323012,11.1246109,11.04980659,5.831841946,1.649033189
1,0.01,0.01,0,pca-ignore,0.065489536,,,1.191764355,274.3096495,,,,273.8202422,,,
1,0.01,0.01,0,vae-ignore,0.060420006,,200,59.69336557,12.98033905,12.89822865,8.210308075,,13.58914661,13.50713348,8.201424599,
1,0.01,0.01,0,vae-em,0.060252713,,200,79.10532856,13.27600002,13.19627953,7.971675873,,13.66583824,13.58612823,7.971217155,
1,0.01,0.01,1,lmmvae,0.056596967,3.97E-06,200,141.4873953,10.46195126,10.38571072,5.802004814,1.821303487,11.11817646,11.04343319,5.723528862,1.75103116
1,0.01,0.01,1,pca-ignore,0.065593462,,,1.205326796,274.3075583,,,,274.6529387,,,
1,0.01,0.01,1,vae-ignore,0.059368169,,200,60.13193369,12.64858913,12.56759453,8.099992752,,13.14157009,13.0609951,8.057351112,
1,0.01,0.01,1,vae-em,0.060815917,,200,76.12631178,12.93711376,12.8544445,8.266908646,,13.36080742,13.27830601,8.250045776,
1,0.01,0.01,2,lmmvae,0.056803724,2.26E-06,200,144.3322482,10.4207592,10.34594059,5.853488445,1.628464222,11.1534214,11.07950497,5.81034708,1.581495643
1,0.01,0.01,2,pca-ignore,0.0657258,,,1.10349369,274.3509756,,,,274.6066365,,,
1,0.01,0.01,2,vae-ignore,0.060797386,,200,61.39219046,12.94001675,12.85985661,8.016655922,,13.5232687,13.44287872,8.038468361,
1,0.01,0.01,2,vae-em,0.060451231,,200,76.77028465,13.02481651,12.94021988,8.46051693,,13.34960651,13.2647543,8.484271049,
1,0.01,0.01,3,lmmvae,0.056803373,2.14E-06,200,202.7294755,10.42593288,10.3501606,5.900185585,1.676012516,11.16568756,11.09092999,5.857131481,1.618206263
1,0.01,0.01,3,pca-ignore,0.065846372,,,1.246430635,274.3209208,,,,276.5366263,,,
1,0.01,0.01,3,vae-ignore,0.0610566,,200,60.41652274,12.99488926,12.91513824,7.97484684,,13.89139748,13.81100273,8.039670944,
1,0.01,0.01,3,vae-em,0.060933014,,200,76.42375302,12.6782074,12.60321522,7.498137474,,13.33750725,13.26231766,7.518260479,
1,0.01,0.01,4,lmmvae,0.05614883,2.55E-06,200,141.5895414,10.46369362,10.3863821,5.738237381,1.993630052,11.03607655,10.95918465,5.690522671,1.998163462
1,0.01,0.01,4,pca-ignore,0.065455485,,,1.198559761,274.3193393,,,,273.8605561,,,
1,0.01,0.01,4,vae-ignore,0.059352033,,200,59.88767767,12.77075863,12.68838787,8.238308907,,13.10173607,13.01981449,8.191251755,
1,0.01,0.01,4,vae-em,0.060383059,,200,75.1856854,12.95847416,12.87405586,8.442169189,,13.36948681,13.28621578,8.326889038,
2,0.01,0.01,0,lmmvae,0.050170205,1.20E-06,200,142.9688509,8.957455635,8.845070839,10.07751179,1.161473393,9.896019936,9.785573006,9.976569176,1.068589091
2,0.01,0.01,0,pca-ignore,0.060692153,,,1.723283529,272.3791104,,,,271.9230805,,,
2,0.01,0.01,0,vae-ignore,0.052097023,,200,61.17109036,10.33912182,10.2251215,11.40042782,,11.05776691,10.94402599,11.37433434,
2,0.01,0.01,0,vae-em,0.052291494,,200,76.57851982,10.45401192,10.34121418,11.28125668,,11.03595543,10.92344761,11.25082016,
2,0.01,0.01,1,lmmvae,0.051030114,1.65E-06,200,143.0674214,9.09311676,8.980894089,10.05760479,1.163905501,10.06204796,9.950886726,9.976726532,1.139381528
2,0.01,0.01,1,pca-ignore,0.060801069,,,1.260972023,272.3778706,,,,272.7695394,,,
2,0.01,0.01,1,vae-ignore,0.052696202,,200,60.89895105,10.51209259,10.4043684,10.77281284,,11.17146969,11.06436825,10.71027565,
2,0.01,0.01,1,vae-em,0.05236184,,200,76.63105702,10.46604824,10.35211086,11.3935957,,11.03831768,10.92485332,11.34697151,
2,0.01,0.01,2,lmmvae,0.050277174,3.44E-06,200,142.9251921,8.895942688,8.782783508,10.19673157,1.117303252,9.916390419,9.803919792,10.17237854,1.075268626
2,0.01,0.01,2,pca-ignore,0.060870044,,,1.322764874,272.4314865,,,,272.659389,,,
2,0.01,0.01,2,vae-ignore,0.054118044,,200,61.7459712,10.5849371,10.47441387,11.05213356,,11.54149628,11.43159294,10.99004936,
2,0.01,0.01,2,vae-em,0.052142092,,200,78.4878037,10.45561218,10.34313011,11.24886322,,11.04322529,10.931077,11.21498775,
2,0.01,0.01,3,lmmvae,0.050737245,3.27E-06,200,143.6954167,9.02179718,8.91078949,10.14840317,0.951716483,10.01760387,9.907634735,10.07964897,0.91756326
2,0.01,0.01,3,pca-ignore,0.061007774,,,1.192723036,272.3942306,,,,274.6477915,,,
2,0.01,0.01,3,vae-ignore,0.05338383,,200,61.75030804,10.46713638,10.35428047,11.2850914,,11.36443329,11.25146675,11.29680252,
2,0.01,0.01,3,vae-em,0.052666229,,200,78.27379632,10.46600056,10.35374165,11.22595787,,11.09091568,10.97866726,11.22449398,
2,0.01,0.01,4,lmmvae,0.050423643,1.19E-06,200,204.2205963,9.006463051,8.892184258,10.11180973,1.316420078,9.950466156,9.836733818,10.04620647,1.326999068
