d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.001,0.01,0,lmmvae,0.05674189,0.000428196,200,143.9012461,10.32784843,10.20910931,9.230914116,109.5079651,11.21853065,11.12593842,9.080895424,83.50968933
1,0.001,0.01,0,pca-ignore,0.06563619,,,1.163169146,274.323957,,,,279.0248434,,,
1,0.001,0.01,0,vae-ignore,0.060538866,,200,59.56245637,12.66150475,12.64065647,20.84483719,,13.5680294,13.54938698,18.64754486,
1,0.001,0.01,0,vae-em,0.080450413,,200,81.7318728,12.93980503,12.92005634,19.74134827,,21.82321358,21.80751801,15.70384884,
1,0.001,0.01,1,lmmvae,0.056270667,0.000346096,200,145.6485422,10.3921051,10.28150177,10.09587383,100.5116577,11.16775608,11.08507538,10.07073402,72.60855865
1,0.001,0.01,1,pca-ignore,0.065324197,,,1.238150835,274.2931547,,,,268.7245937,,,
1,0.001,0.01,1,vae-ignore,0.058845392,,200,60.69628644,12.27222729,12.25598717,16.23995209,,12.85330009,12.83748722,15.81210804,
1,0.001,0.01,1,vae-em,0.075280867,,200,80.22654986,12.67654991,12.6568594,19.68105698,,18.19618034,18.17938995,16.79260635,
1,0.001,0.01,2,lmmvae,0.055302908,0.00027886,200,143.5217669,10.43018723,10.30090904,10.08808613,119.1939392,10.94668388,10.84105015,9.774555206,95.8551712
1,0.001,0.01,2,pca-ignore,0.06569741,,,1.157998085,274.3254873,,,,289.5472609,,,
1,0.001,0.01,2,vae-ignore,0.059997074,,200,59.35537863,12.80949402,12.78724575,22.2476902,,12.97074795,12.94529629,25.448452,
1,0.001,0.01,2,vae-em,0.079079272,,200,81.15325212,12.60842323,12.58444977,23.98292732,,20.3357048,20.31326866,22.43045425,
1,0.001,0.01,3,lmmvae,0.056518279,0.000217493,200,146.04814,10.37867641,10.26758099,9.760739326,101.3383636,11.18718624,11.09665585,9.629657745,80.89369202
1,0.001,0.01,3,pca-ignore,0.065836825,,,1.219311953,274.3278412,,,,290.1367707,,,
1,0.001,0.01,3,vae-ignore,0.059520548,,200,60.57633018,12.4492836,12.42916012,20.13118362,,13.08921528,13.0687952,20.41759491,
1,0.001,0.01,3,vae-em,0.079083767,,200,82.99941134,12.88555622,12.86501122,20.53755951,,20.91251564,20.89399338,18.504179,
1,0.001,0.01,4,lmmvae,0.055621017,0.000289988,200,146.6077819,10.21895504,10.09806347,10.51916313,110.3666153,11.05677891,10.95591259,10.16882896,90.70170593
1,0.001,0.01,4,pca-ignore,0.065777703,,,1.159193754,274.3368783,,,,282.2906755,,,
1,0.001,0.01,4,vae-ignore,0.060469644,,200,59.73776793,12.53626537,12.51340103,22.87384415,,13.31419277,13.2925663,21.62784386,
1,0.001,0.01,4,vae-em,0.077105159,,200,78.92189312,12.49296761,12.46521282,27.77372551,,19.64438248,19.6197052,24.67700768,
2,0.001,0.01,0,lmmvae,0.050913641,0.000273475,200,147.0917408,8.879385948,8.796630859,15.28805637,67.47316742,10.06768894,9.998280525,15.20178795,54.20629883
2,0.001,0.01,0,pca-ignore,0.060797269,,,1.227129936,272.3994916,,,,277.2405531,,,
2,0.001,0.01,0,vae-ignore,0.053806866,,200,61.73744607,10.32009792,10.29748058,22.61547279,,11.40692425,11.38513851,21.79069328,
2,0.001,0.01,0,vae-em,0.062533195,,200,77.98970509,10.27294636,10.25045872,22.48899651,,14.01425743,13.99382019,20.42911911,
2,0.001,0.01,1,lmmvae,0.049905105,0.000179501,200,147.5912595,8.829741478,8.758810997,15.31990242,55.60730743,9.826086044,9.769747734,15.12682056,41.21851349
2,0.001,0.01,1,pca-ignore,0.060493259,,,1.218600273,272.3690248,,,,266.6498309,,,
2,0.001,0.01,1,vae-ignore,0.052938159,,200,62.4195447,10.38276863,10.36217022,20.58801651,,11.39951229,11.37926483,20.24671555,
2,0.001,0.01,1,vae-em,0.064709302,,200,79.91271758,10.44787502,10.42653847,21.34319878,,14.18032932,14.16057777,19.75455284,
2,0.001,0.01,2,lmmvae,0.048590131,0.00013951,200,146.3722095,8.903629303,8.826509476,13.76046371,63.35772705,9.545391083,9.486135483,13.6659584,45.58725357
2,0.001,0.01,2,pca-ignore,0.060812483,,,1.177320957,272.3991695,,,,288.0242071,,,
2,0.001,0.01,2,vae-ignore,0.052344828,,200,61.02364731,10.44464302,10.42458057,20.06035995,,10.88165188,10.86172104,19.92749023,
2,0.001,0.01,2,vae-em,0.06246242,,200,82.07356262,10.30266094,10.28142929,21.2236557,,13.65689468,13.63638496,20.50871086,
2,0.001,0.01,3,lmmvae,0.050938525,0.000190204,200,146.9019487,8.932657242,8.852884293,15.19161606,64.57922363,10.03090668,9.966481209,15.23892689,49.18237305
2,0.001,0.01,3,pca-ignore,0.060954919,,,1.261121035,272.4076346,,,,288.6580481,,,
2,0.001,0.01,3,vae-ignore,0.052876422,,200,62.53743887,10.25070095,10.23016834,20.53779984,,11.17902279,11.15785503,21.16443062,
2,0.001,0.01,3,vae-em,0.06488808,,200,84.00050974,10.39839172,10.37546921,22.9163208,,14.86177921,14.8392067,22.568367,
2,0.001,0.01,4,lmmvae,0.050826332,0.000159331,200,145.4851942,8.821828842,8.74764061,15.75768185,58.42268372,10.01551914,9.955945969,15.31483364,44.26278305
2,0.001,0.01,4,pca-ignore,0.061129592,,,1.641310215,272.4017568,,,,280.7253194,,,
2,0.001,0.01,4,vae-ignore,0.054886481,,200,60.72309899,10.34177494,10.32134914,20.41459656,,11.48593426,11.4654417,20.4910984,
2,0.001,0.01,4,vae-em,0.063810464,,200,80.33724475,10.23406029,10.21233082,21.7215786,,14.38412476,14.3636713,20.44783401,
5,0.001,0.01,0,lmmvae,0.040146655,0.000108274,200,145.439934,6.625451565,6.561110497,33.04588318,31.29367065,7.923285007,7.870505333,32.89215851,19.88179398
5,0.001,0.01,0,pca-ignore,0.053049287,,,1.44170785,269.1916136,,,,274.2402287,,,
5,0.001,0.01,0,vae-ignore,0.041534835,,200,61.32429361,7.090742588,7.054296494,36.45026398,,8.513181686,8.476905823,36.27536774,
5,0.001,0.01,0,vae-em,0.044003265,,200,79.28804779,7.185277462,7.148740768,36.53368378,,8.89426136,8.858224869,36.02905273,
5,0.001,0.01,1,lmmvae,0.039032036,9.84E-05,200,146.8605859,6.381834984,6.314590454,33.30897903,33.93880463,7.734449863,7.673687458,32.92391205,27.8365593
5,0.001,0.01,1,pca-ignore,0.052610454,,,1.217761278,269.1618465,,,,263.2915066,,,
5,0.001,0.01,1,vae-ignore,0.041119318,,200,62.82510614,7.233664036,7.198431969,35.23083496,,8.365186691,8.330343246,34.84699249,
5,0.001,0.01,1,vae-em,0.044021353,,200,80.59833503,7.220009804,7.186242104,33.77646255,,8.933140755,8.900286674,32.8542099,
5,0.001,0.01,2,lmmvae,0.039094462,6.47E-05,200,144.5315263,6.326319218,6.252927303,34.49157715,38.90354919,7.681496143,7.617170811,34.22408295,30.10333252
5,0.001,0.01,2,pca-ignore,0.052861966,,,1.170245886,269.2164991,,,,285.7845449,,,
5,0.001,0.01,2,vae-ignore,0.040466414,,200,60.95928121,7.130202293,7.093614101,36.58235931,,8.124843597,8.088414192,36.43022537,
5,0.001,0.01,2,vae-em,0.04181612,,200,80.81675935,7.065658569,7.027263641,38.39105988,,8.39824295,8.360648155,37.59518433,
5,0.001,0.01,3,lmmvae,0.040257035,0.0001117,200,147.5391896,6.380249023,6.311053276,33.04946136,36.14141846,7.911294937,7.852240086,33.05292511,26.00016785
5,0.001,0.01,3,pca-ignore,0.053120736,,,1.326818943,269.2281936,,,,286.22238,,,
