d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.01,0.1,0,lmmvae,0.011702553,0.000184451,200,146.4362924,0.398334593,0.359701425,3.404920816,0.458404511,0.400717109,0.362187713,3.395677328,0.457239449
1,0.01,0.1,0,pca-ignore,0.017171242,,,0.350686312,44.79644274,,,,44.82677936,,,
1,0.01,0.1,0,pca-ohe,0.017167138,,,34.19219708,4324.449957,,,,4604.26546,,,
1,0.01,0.1,0,vae-ignore,0.024265615,,200,66.46372199,2.465034246,2.381312132,8.372014999,,2.545354366,2.461560965,8.379245758,
1,0.01,0.1,0,vae-em,0.023831037,,200,87.20002317,4.206976891,4.127828598,7.914779186,,4.593543053,4.514178753,7.936339378,
1,0.01,0.1,1,lmmvae,0.012763364,3.95E-05,200,146.2032609,0.423857898,0.385958612,3.354005098,0.435962766,0.433515131,0.395538539,3.358753204,0.438905716
1,0.01,0.1,1,pca-ignore,0.017608008,,,0.394194603,44.80294783,,,,44.89387896,,,
1,0.01,0.1,1,pca-ohe,0.017596121,,,33.804636,4348.576585,,,,4606.707929,,,
1,0.01,0.1,1,vae-ignore,0.026652009,,200,67.0593698,2.449156761,2.382216692,6.693993092,,2.531939983,2.465121984,6.681788445,
1,0.01,0.1,1,vae-em,0.024997228,,200,84.14072299,4.177687168,4.093667984,8.401900291,,4.681228638,4.597279549,8.394889832,
1,0.01,0.1,2,lmmvae,0.011689086,6.12E-05,200,145.7016234,0.395436883,0.356756568,3.320343971,0.547728002,0.401409686,0.36271131,3.325285673,0.544577241
1,0.01,0.1,2,pca-ignore,0.017503937,,,0.377223969,44.7971733,,,,44.94094691,,,
1,0.01,0.1,2,pca-ohe,0.017494259,,,34.29622483,4335.802186,,,,4515.70821,,,
1,0.01,0.1,2,vae-ignore,0.02507644,,200,66.56272769,2.695360661,2.620776415,7.458648205,,2.694063902,2.619749546,7.431455135,
1,0.01,0.1,2,vae-em,0.024619343,,200,83.28240085,2.78258729,2.684096336,9.848972321,,3.065436125,2.967965603,9.747020721,
1,0.01,0.1,3,lmmvae,0.011329818,0.000284702,200,145.3236046,0.388356358,0.350762397,3.352046251,0.407373458,0.389006913,0.35138762,3.35213685,0.40980494
1,0.01,0.1,3,pca-ignore,0.017235835,,,0.309144974,44.79421453,,,,44.81828739,,,
1,0.01,0.1,3,pca-ohe,0.017225236,,,34.48168278,4332.961784,,,,4573.49376,,,
1,0.01,0.1,3,vae-ignore,0.024399605,,200,66.03142023,2.620755196,2.554721594,6.603466511,,2.560299397,2.494171619,6.612730026,
1,0.01,0.1,3,vae-em,0.024988554,,200,82.49024963,7.461612225,7.391999722,6.961554527,,7.985294342,7.915710926,6.958257198,
