d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.01,0.1,0,lmmvae,0.011126668,9.82E-05,200,148.9738479,0.386669546,0.349906594,3.33868432,0.33760199,0.37960723,0.343378514,3.313378811,0.309505135
1,0.01,0.1,0,pca-ignore,0.017093506,,,0.493821383,44.78388567,,,,45.17204157,,,
1,0.01,0.1,0,pca-ohe,0.017119646,,,26.87168622,3548.277206,,,,2312.058942,,,
1,0.01,0.1,0,vae-ignore,0.026135836,,200,66.85379887,2.534109116,2.468376875,6.573379993,,3.420161247,3.355470657,6.468898296,
1,0.01,0.1,0,vae-em,0.027654092,,200,93.8765974,2.3779881,2.297221422,8.076704025,,16.61292267,16.53898811,7.393236637,
1,0.01,0.1,1,lmmvae,0.011562778,4.69E-05,200,148.8021686,0.408609986,0.370164603,3.464948654,0.379591018,0.394457191,0.355891883,3.473983049,0.382540554
1,0.01,0.1,1,pca-ignore,0.017108688,,,0.384272337,44.79566641,,,,44.3180916,,,
1,0.01,0.1,1,pca-ohe,0.017153482,,,26.76720738,3548.29498,,,,2311.368059,,,
1,0.01,0.1,1,vae-ignore,0.025022283,,200,68.60257363,2.455718994,2.384172201,7.154541969,,2.199689627,2.128796101,7.089502335,
1,0.01,0.1,1,vae-em,0.027222586,,200,93.88251472,3.82278347,3.7351439,8.763827324,,13.21840668,13.13389397,8.451836586,
1,0.01,0.1,2,lmmvae,0.014589853,3.51E-05,200,146.7548137,0.360272884,0.321911901,3.445833683,0.390223145,0.486419201,0.447848648,3.457424402,0.399663955
1,0.01,0.1,2,pca-ignore,0.019696079,,,0.452996492,44.79852814,,,,50.51447944,,,
1,0.01,0.1,2,pca-ohe,0.019691349,,,24.86151433,3549.716761,,,,2317.482761,,,
1,0.01,0.1,2,vae-ignore,0.028789599,,200,65.84531736,2.632479906,2.555398703,7.707963467,,2.795747757,2.716271639,7.94762516,
1,0.01,0.1,2,vae-em,0.029174248,,200,85.86268234,2.975484848,2.892752647,8.27320385,,12.57018757,12.47625828,9.394154549,
1,0.01,0.1,3,lmmvae,0.010868636,5.13E-05,200,151.3721261,0.422293305,0.384829372,3.307981014,0.438443929,0.370652556,0.334159374,3.25114274,0.398183018
1,0.01,0.1,3,pca-ignore,0.016161481,,,0.321588516,44.781319,,,,42.9868547,,,
1,0.01,0.1,3,pca-ohe,0.016160285,,,25.57389903,3549.694752,,,,2311.130079,,,
1,0.01,0.1,3,vae-ignore,0.024068356,,200,68.34724784,2.965178967,2.892358541,7.281962872,,2.463669538,2.393883705,6.978704453,
1,0.01,0.1,3,vae-em,0.024553874,,200,91.07350945,4.235300064,4.14666748,8.863335609,,13.14135361,13.0632515,7.809826851,
1,0.01,0.1,4,lmmvae,0.010403703,6.40E-05,200,145.0703728,0.382774711,0.347097129,3.216821671,0.350930244,0.357953727,0.321914583,3.235488892,0.368444949
1,0.01,0.1,4,pca-ignore,0.016962753,,,0.313563347,44.80150252,,,,44.52908406,,,
1,0.01,0.1,4,pca-ohe,0.016956762,,,25.56791115,3549.712223,,,,2312.448826,,,
1,0.01,0.1,4,vae-ignore,0.023839827,,200,65.24224639,2.242910624,2.169636726,7.327569008,,3.106323957,3.040606022,6.571608067,
1,0.01,0.1,4,vae-em,0.027233507,,200,82.0679729,2.613175392,2.526701689,8.647418022,,17.62983131,17.55183029,7.800030231,
