d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.01,0.01,0,lmmvae,0.036010159,6.24E-06,200,284.7908258,1.88115263,1.071748853,5.715714455,75.22485352,1.934051514,1.126273632,5.74189949,75.03592682
1,0.01,0.01,0,pca-ignore,0.08790743,,,0.957894802,105.8425069,,,,105.3335398,,,
1,0.01,0.01,0,vae-ignore,0.081442633,,200,95.82768345,6.741239548,6.669001579,7.222608089,,6.9637537,6.891982555,7.177178383,
1,0.01,0.01,0,vae-em,0.090154413,,200,162.0628488,7.07528019,6.994922161,8.036144257,,7.665238857,7.58578825,7.94540453,
1,0.01,0.01,1,lmmvae,0.036085537,,200,276.3323603,1.96340131,1.095078811,5.734855068,75.30056267,1.943565544,1.184367805,5.805677282,75.10631511
1,0.01,0.01,1,pca-ignore,0.099228131,,,1.001057625,105.8400857,,,,107.7995824,,,
1,0.01,0.01,1,vae-ignore,0.102079917,,200,96.41389465,6.963724136,6.885676861,7.803469658,,8.364339828,8.286719322,7.76134634,
1,0.01,0.01,1,vae-em,0.102973836,,200,145.9212341,6.900147915,6.82072258,7.942088604,,8.569041252,8.490249634,7.879011631,
1,0.01,0.01,2,lmmvae,0.035855956,3.60E-05,200,279.5224874,1.916751862,1.080835462,5.288951874,78.30239105,1.921464443,1.089567661,5.08271265,78.10691071
1,0.01,0.01,2,pca-ignore,0.080170714,,,0.941572666,105.8455603,,,,105.981455,,,
1,0.01,0.01,2,vae-ignore,0.081268093,,200,95.99453664,7.340419769,7.267940044,7.248355389,,6.779982567,6.707558632,7.242202759,
1,0.01,0.01,2,vae-em,0.082103728,,200,144.672416,6.527959347,6.45046854,7.748765945,,7.000730515,6.925497532,7.523003578,
1,0.01,0.01,3,lmmvae,0.035971786,7.90E-05,200,282.4430666,1.907590628,1.07567656,5.230780602,77.9610672,1.936351418,1.103169441,5.119802475,78.19844818
1,0.01,0.01,3,pca-ignore,0.080475189,,,1.006500244,105.8474773,,,,105.6912735,,,
1,0.01,0.01,3,vae-ignore,0.083565096,,200,95.74568486,6.756980419,6.685766697,7.120486259,,6.967914104,6.898001194,6.990957737,
1,0.01,0.01,3,vae-em,0.083501706,,200,143.8899722,7.706494808,7.627910614,7.859355927,,7.525005341,7.4462533,7.874989033,
1,0.01,0.01,4,lmmvae,0.036034253,,200,276.4493921,1.934499421,1.095366248,5.244494627,78.02290327,2.015053997,1.108166993,5.151227692,78.28226296
1,0.01,0.01,4,pca-ignore,0.08622439,,,0.98483181,105.8448153,,,,105.368702,,,
1,0.01,0.01,4,vae-ignore,0.08116611,,200,97.7637701,6.670611382,6.598335266,7.227775574,,6.782109737,6.7099123,7.219334126,
1,0.01,0.01,4,vae-em,0.090109167,,200,146.6196077,7.205898762,7.133229733,7.267465591,,7.56709671,7.494366646,7.273177624,
2,0.01,0.01,0,lmmvae,0.025753514,8.62E-05,200,282.9021399,1.571938157,0.904057741,9.164878845,57.62303162,1.612363696,0.941969633,9.173800468,57.86561584
2,0.01,0.01,0,pca-ignore,0.081607105,,,0.981264591,105.3274898,,,,104.7982063,,,
2,0.01,0.01,0,vae-ignore,0.064734467,,200,99.25719571,4.743839264,4.637544155,10.6297226,,5.185404778,5.079474926,10.59264946,
2,0.01,0.01,0,vae-em,0.069368395,,200,145.7665861,4.747222424,4.638941765,10.8284359,,5.472868919,5.3652668,10.76028347,
2,0.01,0.01,1,lmmvae,0.024776432,5.66E-05,200,282.5350749,1.511145592,0.846074939,9.573562622,56.93374252,1.654244781,0.981788278,9.75237751,57.49328232
2,0.01,0.01,1,pca-ignore,0.092963225,,,1.013887405,105.3257455,,,,107.341264,,,
2,0.01,0.01,1,vae-ignore,0.065024917,,200,99.05620217,4.814709663,4.709061623,10.56500912,,5.173350811,5.067136288,10.62160397,
2,0.01,0.01,1,vae-em,0.067328661,,200,146.6327529,4.826087952,4.71402359,11.20555878,,5.371091843,5.259292603,11.18012238,
2,0.01,0.01,2,lmmvae,0.024899656,2.42E-05,200,282.6755626,1.516340733,0.847675025,9.008312225,57.85840988,1.540757537,0.875950575,8.885720253,57.59489441
2,0.01,0.01,2,pca-ignore,0.073881675,,,0.946512699,105.3309125,,,,105.4673912,,,
2,0.01,0.01,2,vae-ignore,0.063942271,,200,100.0423169,4.779855251,4.674032688,10.58239937,,5.102595329,4.997486115,10.51069069,
2,0.01,0.01,2,vae-em,0.066844916,,200,147.7900259,4.77418232,4.663322449,11.08565521,,5.32733202,5.217196465,11.01326275,
2,0.01,0.01,3,lmmvae,0.024908328,6.93E-05,200,283.696779,1.509335399,0.856315553,9.407625198,55.89438248,1.567525148,0.91189009,9.291536331,56.27202606
2,0.01,0.01,3,pca-ignore,0.074315588,,,1.405407906,105.3296291,,,,105.1823967,,,
2,0.01,0.01,3,vae-ignore,0.065096674,,200,101.1031935,4.733994484,4.628155708,10.58332157,,5.191126823,5.085603237,10.55244827,
2,0.01,0.01,3,vae-em,0.068750857,,200,147.64311,4.807060242,4.694252968,11.28014183,,5.481189251,5.368914604,11.22755432,
2,0.01,0.01,4,lmmvae,0.037991168,1.45E-05,200,283.7146959,3.215187073,2.773389339,8.979100227,35.20060349,3.24309516,2.801629305,8.961668968,35.18496323
2,0.01,0.01,4,pca-ignore,0.080030941,,,0.958103418,105.3294278,,,,104.8412497,,,
2,0.01,0.01,4,vae-ignore,0.064369742,,200,99.84852743,4.772384167,4.666638374,10.57457829,,5.149086475,5.043433666,10.56524563,
2,0.01,0.01,4,vae-em,0.066799686,,200,150.8256848,4.81453371,4.704158783,11.03811073,,5.330392838,5.22028017,11.01140308,
5,0.01,0.01,0,lmmvae,0.007601792,6.10E-05,200,283.534375,0.916417599,0.474240512,17.44288254,26.77475357,0.951567054,0.508491755,17.46759605,26.83997154
5,0.01,0.01,0,pca-ignore,0.06926995,,,1.053305864,104.481581,,,,103.8987508,,,
5,0.01,0.01,0,vae-ignore,0.026978078,,200,100.1636014,2.091751814,1.880511761,21.12386894,,2.222461462,2.011116266,21.13451576,
5,0.01,0.01,0,vae-em,0.027934293,,200,147.6314752,1.984812737,1.771024108,21.37899399,,2.280730963,2.067260027,21.34716797,
5,0.01,0.01,1,lmmvae,0.010049101,7.45E-05,200,282.1346378,1.045844197,0.552511692,17.12586784,32.20743561,1.091382504,0.594085515,17.42650604,32.30315018
5,0.01,0.01,1,pca-ignore,0.080439242,,,1.00564599,104.4757533,,,,106.5886326,,,
5,0.01,0.01,1,vae-ignore,0.025167997,,200,99.48889041,1.98018384,1.765926838,21.42576599,,2.102249622,1.887184262,21.50653458,
5,0.01,0.01,1,vae-em,0.028733932,,200,148.0157716,2.052287817,1.841180086,21.1104393,,2.362235069,2.15055728,21.16776466,
5,0.01,0.01,2,lmmvae,0.006807685,7.90E-05,200,284.2830157,0.883131683,0.470367372,17.5045166,23.77193451,0.900949061,0.487543821,17.39694214,23.94353294
5,0.01,0.01,2,pca-ignore,0.062059903,,,1.068342686,104.4800795,,,,104.6573175,,,
5,0.01,0.01,2,vae-ignore,0.025462462,,200,99.41364741,1.992811441,1.781755686,21.10569572,,2.099808455,1.889517188,21.02910423,
5,0.01,0.01,2,vae-em,0.026614048,,200,147.3723006,2.035711527,1.818314075,21.73956299,,2.19237709,1.975634933,21.67424774,
5,0.01,0.01,3,lmmvae,0.008198419,1.01E-05,200,282.6678617,0.954632401,0.499480039,17.0679493,28.44726181,0.990974605,0.534222066,16.96035004,28.71483994
5,0.01,0.01,3,pca-ignore,0.062808177,,,1.014465332,104.4772731,,,,104.3721478,,,
5,0.01,0.01,3,vae-ignore,0.025342219,,200,99.34214497,1.981651664,1.766565204,21.50862122,,2.092291355,1.877582312,21.47068977,
5,0.01,0.01,3,vae-em,0.028115583,,200,147.0245259,1.979644775,1.766241312,21.34008598,,2.298901558,2.086250782,21.26498985,
5,0.01,0.01,4,lmmvae,0.008098626,4.48E-05,200,283.5335205,0.959450781,0.499963701,17.3948822,28.55405045,0.993956745,0.535654783,17.37877083,28.4513855
5,0.01,0.01,4,pca-ignore,0.068192243,,,1.009815931,104.4836356,,,,103.9394936,,,
5,0.01,0.01,4,vae-ignore,0.025432479,,200,99.52974343,2.010803223,1.794242024,21.65621948,,2.10846591,1.891862035,21.66034126,
5,0.01,0.01,4,vae-em,0.028979584,,200,147.0777087,2.040430546,1.829405785,21.10263634,,2.363819361,2.153125525,21.06934166,
