d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.01,0.01,0,lmmvae,0.037129071,1.39E-05,200,276.7150345,1.90505743,1.087855339,5.10017252,76.61991119,2.009623528,1.180702686,5.195363998,77.69697571
1,0.01,0.01,0,pca-ignore,0.094352703,,,1.016029119,105.8460972,,,,107.2325734,,,
1,0.01,0.01,0,vae-ignore,0.088928169,,200,97.43231249,6.751374722,6.673422337,7.794915676,,8.421217918,8.34414196,7.707968712,
1,0.01,0.01,0,vae-em,0.105683851,,200,155.1390762,6.499236107,6.423466206,7.577157021,,12.60282898,12.52867222,7.415597439,
1,0.01,0.01,1,lmmvae,0.035615148,6.81E-06,200,279.2465959,1.886563182,1.050240993,5.431339741,78.20062256,1.931060553,1.110374093,5.55499506,76.51357269
1,0.01,0.01,1,pca-ignore,0.09052028,,,0.91664505,105.8435535,,,,104.4919511,,,
1,0.01,0.01,1,vae-ignore,0.096588861,,200,95.60316157,7.614849091,7.489519119,12.53226852,,8.454119682,8.337916374,11.61996841,
1,0.01,0.01,1,vae-em,0.117512871,,200,152.0979364,7.124403,7.044579029,7.982663631,,14.01818752,13.94489002,7.328695297,
1,0.01,0.01,2,lmmvae,0.037180399,8.26E-05,200,274.6559348,1.969952703,1.138845921,4.955577374,78.15490723,1.970242381,1.157908797,4.940520763,76.29278564
1,0.01,0.01,2,pca-ignore,0.079804931,,,0.96993494,105.8402955,,,,105.9368633,,,
1,0.01,0.01,2,vae-ignore,0.081831996,,200,96.83492184,7.467466354,7.398532391,6.893533707,,6.949489594,6.880428791,6.905740738,
1,0.01,0.01,2,vae-em,0.107997358,,200,150.9723241,7.27859354,7.201274872,7.732683659,,13.18541813,13.11052227,7.489498138,
1,0.01,0.01,3,lmmvae,,,200,273.2628188,,,,,,,,
1,0.01,0.01,3,pca-ignore,0.081957927,,,0.998254776,105.8303517,,,,106.7886985,,,
1,0.01,0.01,3,vae-ignore,0.086431445,,200,96.46850991,6.698221684,6.623260021,7.496275902,,7.505835533,7.432721138,7.311693668,
1,0.01,0.01,3,vae-em,0.115746289,,200,154.4093199,6.553166389,6.478404999,7.476206303,,13.7475729,13.67629623,7.127075672,
1,0.01,0.01,4,lmmvae,0.038536511,6.67E-05,200,275.4445996,1.876294851,1.034018397,5.121051788,79.10674286,1.968965173,1.10615325,5.182854176,81.09822083
1,0.01,0.01,4,pca-ignore,0.08783684,,,1.150005102,105.8551408,,,,107.0307282,,,
1,0.01,0.01,4,vae-ignore,0.084038178,,200,97.6114943,6.692223072,6.620089054,7.213950157,,7.59427166,7.522975445,7.129103661,
1,0.01,0.01,4,vae-em,0.100241402,,200,148.4242942,6.74917984,6.676468372,7.271294594,,12.92338562,12.85336304,7.001775742,
2,0.01,0.01,0,lmmvae,0.026725751,9.14E-05,200,276.3829143,1.553375959,0.898378432,9.215065956,56.28461838,1.645858169,0.977465332,9.321527481,57.51769638
2,0.01,0.01,0,pca-ignore,0.088336326,,,0.978208065,105.322517,,,,106.7966437,,,
2,0.01,0.01,0,vae-ignore,0.072890777,,200,99.42378902,4.805539608,4.698852539,10.66893673,,5.851018906,5.744346142,10.66726494,
2,0.01,0.01,0,vae-em,0.140883645,,200,151.382844,5.011104584,4.899711132,11.13948441,,11.68218708,11.57466507,10.75200748,
