d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te,time_hours
100,0.01,0.001,0,lmmvae,0.008846864,6.92E-05,50,12034.79891,114.6667099,97.95412445,339.4282532,1331.845459,116.5882187,99.98406982,339.2010193,1321.214478,3.342999697
100,0.01,0.001,0,vae-ignore,0.008834425,,50,8491.476087,116.9037552,113.5063553,339.7292786,,117.8875885,114.4924011,339.5218506,,2.358743358
100,0.01,0.001,0,vae-embed,0.052222624,,50,8463.688064,684.9023438,684.6102295,29.10273361,,676.9873657,676.6959229,29.15125465,,2.351024462
100,0.01,0.001,1,lmmvae,0.008995521,6.66E-05,50,11971.08193,115.6074677,99.13828278,337.1027222,1309.80249,118.4132919,101.9633484,337.2644043,1307.717896,3.325300536
100,0.01,0.001,1,vae-ignore,0.008873656,,50,8324.672189,116.4462738,112.9738007,347.2548218,,118.4636612,114.989296,347.4292297,,2.312408941
100,0.01,0.001,1,vae-embed,0.034770769,,50,8211.074068,448.3596802,447.4453735,91.45865631,,451.4150085,450.5013428,91.36821747,,2.280853908
100,0.01,0.001,2,lmmvae,0.00905987,6.77E-05,50,11925.60885,115.523407,99.11779022,336.277832,1304.292969,119.2976303,102.8208694,336.4073181,1311.267456,3.312669125
100,0.01,0.001,2,vae-ignore,0.009047693,,50,8499.896842,117.7116241,114.2662582,344.5365295,,120.7295074,117.2825089,344.7073975,,2.361082456
100,0.01,0.001,2,vae-embed,0.044249412,,50,8337.840762,566.7753313,566.1651732,61.01581008,,564.9204019,564.3097038,61.06980668,,2.316066878
100,0.01,0.001,3,lmmvae,0.00897271,6.62E-05,50,12360.00425,114.8575287,97.79346466,339.6490479,1366.765503,117.8617935,100.8031158,339.3629456,1366.50769,3.433334514
100,0.01,0.001,3,vae-ignore,0.009012584,,50,8825.468225,118.052536,114.5815964,347.0896301,,120.2349091,116.7670135,346.7825928,,2.451518951
100,0.01,0.001,3,vae-embed,0.080861111,,50,8698.28078,1052.4198,1052.360474,5.834358215,,1048.041992,1047.983765,5.834307671,,2.416189106
100,0.01,0.001,4,lmmvae,0.008955468,7.06E-05,50,12310.55185,115.1439133,98.85064697,345.9274292,1283.397583,118.0981445,101.8013,346.0151672,1283.665771,3.419597736
100,0.01,0.001,4,vae-ignore,0.009822926,,50,8408.738005,117.5983857,114.1541434,344.4242294,,119.1381423,115.6988198,343.9322509,,2.335760557
100,0.01,0.001,4,vae-embed,0.043847736,,50,8337.831032,566.9522034,566.3473519,60.48515081,,563.8268728,564.2162648,61.0608054,,2.316064176
200,0.01,0.001,0,lmmvae,0.006385547,5.89E-05,50,11809.99925,94.11367035,82.98961639,571.8349609,540.5849609,95.17169952,84.07660675,571.2871094,538.2168579,3.280555347
200,0.01,0.001,0,vae-ignore,0.006360576,,50,8338.988271,96.86846405,91.15279388,571.5670166,,98.14579285,92.43556213,571.0230713,,2.316385631
200,0.01,0.001,0,vae-embed,0.034466209,,50,8307.661644,448.9865723,447.9855652,100.0347595,,447.6885986,446.6917419,99.64154053,,2.30768379
200,0.01,0.001,1,lmmvae,0.006459606,5.60E-05,50,11762.04008,93.76963806,81.80612183,570.6253662,625.7105103,95.68681335,83.71108246,570.838623,626.7315063,3.267233355
200,0.01,0.001,1,vae-ignore,0.006508444,,50,8372.938506,98.02263519,92.27925873,574.3376465,,100.0759015,94.32998657,574.5914917,,2.325816252
200,0.01,0.001,1,vae-embed,0.032626658,,50,8317.420594,421.1268005,420.0375366,108.9066696,,423.8144531,422.7252808,108.9255142,,2.31039461
200,0.01,0.001,2,lmmvae,0.00643948,6.15E-05,50,11825.45374,92.09446716,77.34246063,566.7409668,908.4632568,94.84346008,80.03916168,566.9292603,913.5050049,3.284848261
200,0.01,0.001,2,vae-ignore,0.00642952,,50,8555.73503,86.28794098,80.50500488,578.3008423,,89.12272644,83.33718872,578.5558472,,2.376593064
200,0.01,0.001,2,vae-embed,0.0375729,,50,8672.534312,483.1360474,482.3069763,82.92972565,,487.8507385,487.0217285,82.90683746,,2.409037309
200,0.01,0.001,3,lmmvae,0.006451765,,50,11799.2588,93.86031714,81.23329887,570.4285897,692.2732376,95.8656529,83.23049731,570.2770782,693.2384806,3.27757189
200,0.01,0.001,3,vae-ignore,0.006464748,,50,8423.512822,87.09934183,81.34857056,575.0771268,,89.40936988,83.66176448,574.7605398,,2.339864673
200,0.01,0.001,3,vae-embed,0.034962933,,50,8433.299672,451.3363197,450.3581517,97.81680414,,453.1529651,452.1717304,98.12346944,,2.342583242
200,0.01,0.001,4,lmmvae,0.006461896,,50,11799.66314,93.61951466,80.99733138,570.3744252,691.8439034,96.01722155,83.35974911,572.3957478,693.3514958,3.277684205
200,0.01,0.001,4,vae-ignore,0.006522955,,50,8423.234112,87.47201488,81.71509576,575.6919122,,89.7622953,84.02234883,573.9946465,,2.339787253
200,0.01,0.001,4,vae-embed,0.034925577,,50,8433.275942,451.1279472,450.1473111,98.06361609,,453.5975043,452.6193359,97.81683603,,2.342576651
500,0.01,0.001,0,lmmvae,0.004155776,5.63E-05,50,12476.33242,70.54412079,55.82343292,1013.124207,458.9491882,71.57579803,56.89811707,1011.13269,456.6330261,3.465647893
500,0.01,0.001,0,vae-ignore,0.004241587,,50,8832.769376,68.79209152,58.53867722,1025.341431,,70.2031871,59.97045517,1023.273193,,2.453547049
