d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.01,0.01,0,lmmvae,0.764757685,0.020387495,0.221376598,200,610.634798,40.06234741,10.73257065,11.37102795,2921.608398,40.9498291,11.11997032,11.36589718,2971.622314
1,0.01,0.01,0,pca-ignore,0.988040672,,,,1.536851168,248.5944838,,,,249.9878459,,,
1,0.01,0.01,0,vae-ignore,0.826261145,,,200,91.31822157,139.8921814,139.673233,21.92904091,,145.7117462,145.4914093,22.02167702,
1,0.01,0.01,0,vae-embed,0.868141082,,,200,128.9869452,142.0111847,141.7688599,24.22310066,,153.1063843,152.8681183,23.81965065,
1,0.01,0.01,1,lmmvae,0.740998904,0.020032478,0.215065971,200,610.7497065,38.9797287,10.36592197,11.51872253,2849.861084,39.46528625,10.97895527,11.30124569,2837.333496
1,0.01,0.01,1,pca-ignore,0.967170879,,,,1.56792593,248.5872013,,,,248.0961468,,,
1,0.01,0.01,1,vae-ignore,0.806767128,,,200,90.63737583,139.4922943,139.2762299,21.62965393,,142.1846161,141.97435,21.01637077,
1,0.01,0.01,1,vae-embed,0.847543773,,,200,126.3542557,140.1406708,139.9363708,20.41696739,,149.3548431,149.1640778,19.07189751,
1,0.01,0.01,2,lmmvae,0.743073904,0.019722572,0.217770562,200,610.2158442,39.17015457,10.30989742,10.30658054,2875.714844,39.5042572,10.59154701,10.16482162,2881.104736
1,0.01,0.01,2,pca-ignore,0.976766735,,,,1.683374643,248.5904896,,,,248.9641475,,,
1,0.01,0.01,2,vae-ignore,0.807068132,,,200,91.41906524,139.5425873,139.3148346,22.78933525,,142.1658478,141.9451447,22.06247711,
1,0.01,0.01,2,vae-embed,0.854706795,,,200,127.29162,139.9639893,139.7312469,23.27528,,150.5923004,150.371109,22.11821747,
1,0.01,0.01,3,lmmvae,0.735728157,0.019262809,0.217256844,200,610.1084495,39.06467056,10.19949341,10.53727531,2875.979736,38.84978485,10.26431656,10.61261559,2847.934814
1,0.01,0.01,3,pca-ignore,0.967448741,,,,1.608066559,248.5932284,,,,248.11787,,,
1,0.01,0.01,3,vae-ignore,0.810631776,,,200,91.14345312,140.4221802,140.1885223,23.35975838,,142.8018036,142.5722656,22.94383621,
1,0.01,0.01,3,vae-embed,0.839594254,,,200,128.7145462,140.2604065,140.0481262,21.21380615,,147.8524017,147.6454773,20.6943512,
1,0.01,0.01,4,lmmvae,0.742805883,0.020331996,0.21873942,200,610.6469746,39.25247955,10.29638386,10.89610386,2884.709229,39.53084183,10.6674757,10.7491293,2875.588135
1,0.01,0.01,4,pca-ignore,0.969936979,,,,1.920679569,248.5872536,,,,248.3370184,,,
1,0.01,0.01,4,vae-ignore,0.810184789,,,200,91.57949352,139.6190491,139.3475189,27.13745499,,142.7928925,142.5281372,26.4854908,
1,0.01,0.01,4,vae-embed,0.846306365,,,200,128.3300464,139.9550323,139.7253418,22.96861458,,149.1279602,148.9105835,21.74258232,
2,0.01,0.01,0,lmmvae,0.651984666,0.01746886,0.183656216,200,611.1412077,34.52027512,9.976914406,15.47024345,2438.865479,36.51948166,11.54536247,15.53127956,2481.879639
