d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.01,1,0,lmmvae,0.063733668,0.611846745,0.007635611,200,56.29557657,1.386107922,0.598751307,4.993249416,73.74240112,2.725646496,1.892446518,5.522427082,77.79759979
1,0.01,1,0,pca-ignore,0.908092758,,,,0.103752136,32.35217612,,,,34.69068901,,,
1,0.01,1,0,pca-ohe,0.908319262,,,,4.177331448,1649.634966,,,,1651.991176,,,
1,0.01,1,0,vae-ignore,0.454866014,,,200,32.82521558,10.0636692,9.940951347,12.2721796,,10.45410252,10.33560371,11.85019875,
1,0.01,1,0,vae-embed,0.504547653,,,200,48.09393454,9.96143055,9.853800774,10.7637167,,11.45589066,11.35745335,9.843611717,
1,0.01,1,1,lmmvae,0.062078237,0.618819416,0.008090321,200,56.45889354,1.368437648,0.586645365,5.033438206,73.14580536,2.336219788,1.508171439,5.523433208,77.28141785
1,0.01,1,1,pca-ignore,0.920863177,,,,0.105183363,32.35068459,,,,34.82575832,,,
1,0.01,1,1,pca-ohe,0.91798492,,,,5.520831108,1649.63587,,,,1652.379129,,,
1,0.01,1,1,vae-ignore,0.54878626,,,200,32.20271111,10.23829079,10.13963509,9.866070747,,12.44779587,12.35863781,8.915727615,
1,0.01,1,1,vae-embed,0.524307401,,,200,46.9498806,10.21867752,10.1034708,11.52010822,,11.92472172,11.7892313,13.54943752,
1,0.01,1,2,lmmvae,0.061358841,0.612877309,0.017837334,200,56.65529418,1.517719746,0.734236181,5.03650713,73.31182098,2.420095205,1.600802898,5.410979748,76.51830292
1,0.01,1,2,pca-ignore,0.914465747,,,,0.177530289,32.35637453,,,,34.75006894,,,
1,0.01,1,2,pca-ohe,0.914308786,,,,4.611748934,1649.642508,,,,1651.806855,,,
1,0.01,1,2,vae-ignore,0.551939581,,,200,32.51444888,10.24181843,10.1424818,9.933255196,,12.53473663,12.44511604,8.961935043,
1,0.01,1,2,vae-embed,0.545153263,,,200,47.44545078,10.57935238,10.46970272,10.964674,,12.3905859,12.2795248,11.10665798,
1,0.01,1,3,lmmvae,0.100621235,0.620006263,0.008983998,200,56.71035361,1.395935297,0.594898105,5.872443676,74.2312851,3.160217524,2.329978466,4.904368401,78.11955261
1,0.01,1,3,pca-ignore,0.921077351,,,,0.143240452,32.35491793,,,,34.82115589,,,
1,0.01,1,3,pca-ohe,0.91413305,,,,4.384154081,1649.639088,,,,1652.992281,,,
1,0.01,1,3,vae-ignore,0.513225658,,,200,32.03612494,10.28334522,10.17525578,10.80898571,,11.73270988,11.63359165,9.911559105,
1,0.01,1,3,vae-embed,0.528740555,,,200,46.98960209,10.37538528,10.27407265,10.13175106,,12.12507248,12.01326656,11.18012905,
1,0.01,1,4,lmmvae,0.052125489,0.621167421,0.009486418,200,56.37641764,1.295046687,0.501423657,5.099508762,74.26275635,2.159401655,1.324902296,5.451825142,77.99816132
1,0.01,1,4,pca-ignore,0.91780529,,,,0.130678892,32.35296026,,,,34.80481446,,,
1,0.01,1,4,pca-ohe,0.918922171,,,,5.198632717,1649.63564,,,,1651.881665,,,
1,0.01,1,4,vae-ignore,0.632927434,,,200,31.96784759,11.33092308,11.22260666,10.83056831,,14.39074898,14.28137589,10.93706989,
1,0.01,1,4,vae-embed,0.600750696,,,200,46.53017569,10.06463146,9.958476067,10.61578274,,13.62258911,13.51117134,11.14179134,
2,0.01,1,0,lmmvae,0.0324351,0.610973358,0.006129314,200,56.7283175,1.613626361,0.821277857,6.571440697,72.66353607,2.197913647,1.358693719,6.886631966,77.03527069
2,0.01,1,0,pca-ignore,0.783891747,,,,0.163248777,32.03037657,,,,34.43594955,,,
2,0.01,1,0,pca-ohe,0.799159033,,,,5.087874651,1649.055645,,,,1651.626928,,,
2,0.01,1,0,vae-ignore,0.279077621,,,200,32.65246296,4.902895927,4.751340866,15.15568161,,6.61917305,6.462145805,15.70325184,
2,0.01,1,0,vae-embed,0.297356407,,,200,47.28832483,5.160989761,4.997775078,16.3210392,,7.020215034,6.861748219,15.84680176,
2,0.01,1,1,lmmvae,0.043303011,0.621555686,0.00644383,200,56.78672767,1.651416183,0.870472312,6.651870728,71.4425354,2.492669344,1.668090582,6.468739986,75.989151
2,0.01,1,1,pca-ignore,0.790212735,,,,0.121545076,32.01720556,,,,34.5388557,,,
2,0.01,1,1,pca-ohe,0.805296256,,,,4.280387402,1649.045852,,,,1652.0287,,,
2,0.01,1,1,vae-ignore,0.321611328,,,200,32.9147222,5.705343723,5.54654026,15.88028336,,7.577353001,7.414041042,16.3311367,
2,0.01,1,1,vae-embed,0.316376517,,,200,46.48560452,5.398780346,5.232675076,16.61070824,,7.389709473,7.223922253,16.57869339,
2,0.01,1,2,lmmvae,0.024247184,0.615297019,0.00618833,200,56.84047914,1.575224638,0.781735361,6.485583305,72.86335754,1.97414887,1.129074693,6.514862537,77.99255371
2,0.01,1,2,pca-ignore,0.786773437,,,,0.117854118,32.03297111,,,,34.47897609,,,
2,0.01,1,2,pca-ohe,0.802147882,,,,4.516657352,1649.060687,,,,1651.57948,,,
2,0.01,1,2,vae-ignore,0.290743904,,,200,32.67288089,4.874859333,4.704854965,17.00043106,,6.917018414,6.739287853,17.77274323,
2,0.01,1,2,vae-embed,0.268088517,,,200,46.78268385,4.832846165,4.682026386,15.08186054,,6.33654356,6.179040432,15.75014687,
2,0.01,1,3,lmmvae,0.023034702,0.619583368,0.006024687,200,56.68609047,1.456980705,0.664887726,6.678805828,72.53050232,2.025308132,1.184859753,6.79696703,77.24794769
2,0.01,1,3,pca-ignore,0.788290587,,,,0.146010399,32.02474007,,,,34.52121998,,,
2,0.01,1,3,pca-ohe,0.803482574,,,,5.174559116,1649.052387,,,,1652.449275,,,
2,0.01,1,3,vae-ignore,0.25868778,,,200,32.94812918,5.434631348,5.270050049,16.45806122,,6.192425251,6.00505209,18.73717308,
