d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.01,1,0,lmmvae,0.026653497,0.618100643,0.004599521,200,73.23467278,1.32576251,0.499734402,5.300372601,77.30241394,1.340652585,0.511140049,5.290510654,77.66073608
1,0.01,1,0,pca-ignore,0.908324145,,,,0.196396112,32.35227161,,,,32.55524953,,,
1,0.01,1,0,pca-ohe,0.909184415,,,,4.985826015,1658.151705,,,,1682.729402,,,
1,0.01,1,0,vae-ignore,0.442201508,,,200,36.78223681,9.653552055,9.554113388,9.94344902,,9.918416023,9.817700386,10.07176876,
1,0.01,1,0,vae-embed,0.429442423,,,200,88.70970535,9.475090981,9.363659859,11.14275742,,9.653264046,9.540559769,11.27013111,
1,0.01,1,1,lmmvae,0.035104468,0.613204241,0.004658022,200,66.01662683,1.292677283,0.461245775,5.325141907,77.81795502,1.315216541,0.484359235,5.255403042,77.83034515
1,0.01,1,1,pca-ignore,0.880353715,,,,0.295914412,32.35051865,,,,32.20979478,,,
1,0.01,1,1,pca-ohe,0.880836355,,,,5.057879686,1658.148634,,,,1682.345,,,
1,0.01,1,1,vae-ignore,0.459330631,,,200,36.75547838,10.37656021,10.28639126,9.017015457,,10.26350117,10.17375565,8.974328041,
1,0.01,1,1,vae-embed,0.433071392,,,200,49.92950821,9.680129051,9.584368706,9.57572937,,9.704368591,9.608253479,9.61157608,
1,0.01,1,2,lmmvae,0.054875848,0.614530802,0.007233509,200,91.37156677,1.4239465,0.582257271,5.125878811,79.04308319,1.438099027,0.595528305,5.141858578,79.11520386
1,0.01,1,2,pca-ignore,0.887963188,,,,0.150210381,32.34761071,,,,32.31419044,,,
1,0.01,1,2,pca-ohe,0.888603905,,,,5.997045517,1658.146067,,,,1681.42901,,,
1,0.01,1,2,vae-ignore,0.431605456,,,200,36.63829327,9.539909363,9.436715126,10.31870651,,9.674044609,9.571805954,10.22385025,
1,0.01,1,2,vae-embed,0.437865642,,,200,50.4881959,9.596173286,9.493638039,10.25370693,,9.815998077,9.713817596,10.21817493,
1,0.01,1,3,lmmvae,0.029140555,0.61451304,0.004214924,200,65.44079781,1.370075941,0.537293494,5.363509655,77.91471863,1.395074487,0.564135432,5.431515694,77.66233826
1,0.01,1,3,pca-ignore,0.88371466,,,,0.138692141,32.3495828,,,,32.27069208,,,
1,0.01,1,3,pca-ohe,0.884569121,,,,4.973738909,1658.149249,,,,1681.571576,,,
1,0.01,1,3,vae-ignore,0.422695275,,,200,36.73262835,9.425894737,9.315807343,11.00883198,,9.499324799,9.388835907,11.04901028,
1,0.01,1,3,vae-embed,0.428943184,,,200,49.63559508,9.51599884,9.413245201,10.27496433,,9.610417366,9.506954193,10.34627628,
1,0.01,1,4,lmmvae,0.032734587,0.617657244,0.004704312,200,66.09994316,1.283931851,0.450048029,5.256833553,78.13160706,1.300417542,0.464944363,5.175354958,78.37197113
1,0.01,1,4,pca-ignore,0.90383241,,,,0.266152143,32.35332975,,,,32.48962656,,,
1,0.01,1,4,pca-ohe,0.904639584,,,,5.009637594,1658.152195,,,,1682.848746,,,
1,0.01,1,4,vae-ignore,0.429299046,,,200,36.59491563,9.332968712,9.22687149,10.61034966,,9.638991356,9.534568787,10.44226074,
1,0.01,1,4,vae-embed,0.445012305,,,200,49.85936975,9.527442932,9.420243263,10.7206192,,9.978919983,9.870758057,10.81580734,
2,0.01,1,0,lmmvae,0.010381455,0.619269907,0.003316372,200,65.64074802,1.304177523,0.459253341,6.543841362,77.94853973,1.321852803,0.473230273,6.553906441,78.30834198
2,0.01,1,0,pca-ignore,0.800351257,,,,0.131290674,32.01911987,,,,32.23778212,,,
2,0.01,1,0,pca-ohe,0.802020522,,,,6.272894859,1657.567239,,,,1682.212283,,,
2,0.01,1,0,vae-ignore,0.189672988,,,200,37.0919826,4.169281006,4.003352165,16.59263802,,4.414405346,4.247253895,16.71507454,
2,0.01,1,0,vae-embed,0.225796792,,,200,50.51888061,4.825520039,4.666151524,15.93701267,,5.210905075,5.051666737,15.92380142,
2,0.01,1,1,lmmvae,0.00926146,0.610776842,0.003668829,200,65.68098164,1.29325819,0.454024553,6.536801815,77.38651276,1.311501622,0.47249338,6.515075684,77.38575745
2,0.01,1,1,pca-ignore,0.774158472,,,,0.17291069,32.02210653,,,,31.88041636,,,
2,0.01,1,1,pca-ohe,0.775070498,,,,4.974620581,1657.570475,,,,1681.838169,,,
2,0.01,1,1,vae-ignore,0.203188413,,,200,37.10785437,4.430539608,4.276374817,15.41678047,,4.702776909,4.5502491,15.25278568,
2,0.01,1,1,vae-embed,0.217572072,,,200,50.93581986,4.747862816,4.583664894,16.41975021,,5.02153492,4.858555317,16.29803467,
2,0.01,1,2,lmmvae,0.009625921,0.612180769,0.003632657,200,66.61616468,1.279135942,0.43246454,6.775108814,77.89204407,1.298024654,0.452568769,6.788717747,77.75688934
2,0.01,1,2,pca-ignore,0.777269191,,,,0.14756608,32.01666124,,,,31.9567395,,,
2,0.01,1,2,pca-ohe,0.778484334,,,,4.982279301,1657.566999,,,,1680.885179,,,
2,0.01,1,2,vae-ignore,0.201789235,,,200,37.38234138,4.321565151,4.163585186,15.79826069,,4.669692039,4.514267445,15.54251575,
2,0.01,1,2,vae-embed,0.20595747,,,200,50.55473542,4.484564304,4.32313633,16.14271736,,4.774197578,4.613385677,16.08114815,
2,0.01,1,3,lmmvae,0.013149461,0.614625037,0.003519058,200,67.13362908,1.382874608,0.539580047,6.619956493,77.70939636,1.393956661,0.552948415,6.659081459,77.44174194
2,0.01,1,3,pca-ignore,0.77464287,,,,0.136420727,32.01735802,,,,31.9224047,,,
2,0.01,1,3,pca-ohe,0.775989753,,,,4.974915981,1657.567013,,,,1681.037554,,,
2,0.01,1,3,vae-ignore,0.205165207,,,200,37.53711176,4.487360477,4.329412937,15.79501152,,4.731669903,4.574124336,15.75450802,
2,0.01,1,3,vae-embed,0.206905389,,,200,51.21095777,4.516397476,4.34600687,17.03933716,,4.80044651,4.629647255,17.079916,
2,0.01,1,4,lmmvae,0.009105733,0.619170308,0.003645105,200,66.38540578,1.283446789,0.440176904,6.618988037,77.70814514,1.305394053,0.460639298,6.590886116,77.88460541
2,0.01,1,4,pca-ignore,0.796758732,,,,0.178617954,32.02763567,,,,32.17452393,,,
2,0.01,1,4,pca-ohe,0.797648841,,,,4.908856153,1657.576257,,,,1682.335553,,,
2,0.01,1,4,vae-ignore,0.208470819,,,200,37.85280657,4.494425774,4.334180832,16.0242691,,4.810138702,4.650439739,15.96986866,
2,0.01,1,4,vae-embed,0.193938074,,,200,51.45909476,4.247004986,4.08774662,15.92641163,,4.501553535,4.343067169,15.84851933,
5,0.01,1,0,lmmvae,0.004953154,0.615432382,0.003434527,200,67.4339962,1.282706141,0.420822978,8.556926727,77.6313324,1.291795731,0.425783426,8.54787159,78.05334473
5,0.01,1,0,pca-ignore,0.545190026,,,,0.200132847,31.36632889,,,,31.5075065,,,
5,0.01,1,0,pca-ohe,0.547222219,,,,4.817101479,1656.404986,,,,1681.067996,,,
5,0.01,1,0,vae-ignore,0.021237862,,,200,38.2865231,0.672380269,0.460137278,21.2242527,,0.732479692,0.520086169,21.23934937,
5,0.01,1,0,vae-embed,0.030592609,,,200,51.74063277,0.820884705,0.603531003,21.73537254,,0.943194389,0.72581917,21.73755264,
