d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.01,0.01,0,lmmvae,0.007439384,1.10E-06,200,151.2459898,0.250498593,0.219672561,3.018201828,0.064401232,0.253522843,0.222720131,3.015005589,0.065254815
1,0.01,0.01,0,pca-ignore,0.015695538,,,0.358674526,43.68297508,,,,44.43454383,,,
1,0.01,0.01,0,pca-ohe,0.015623766,,,35.5856576,4370.110381,,,,4636.760311,,,
1,0.01,0.01,0,vae-ignore,0.018536742,,200,67.27557921,2.429031372,2.361462355,6.756957531,,2.528612137,2.460910797,6.770196915,
1,0.01,0.01,0,vae-em,0.01835841,,200,89.63747501,2.226568222,2.14575696,8.081168175,,2.59722352,2.516264677,8.095941544,
1,0.01,0.01,1,lmmvae,0.008007191,1.05E-06,200,151.7373171,0.269130558,0.234508678,3.413902283,0.048288133,0.274736643,0.240172476,3.408021688,0.048368037
1,0.01,0.01,1,pca-ignore,0.015689677,,,0.321436644,43.69819261,,,,43.52787218,,,
1,0.01,0.01,1,pca-ohe,0.015612112,,,35.96383452,4357.352835,,,,4568.183594,,,
1,0.01,0.01,1,vae-ignore,0.018421555,,200,67.23520494,1.8678509,1.80249846,6.535275459,,1.992578149,1.927213788,6.536373138,
1,0.01,0.01,1,vae-em,0.018394444,,200,89.60303307,2.108290911,2.025195122,8.309482574,,2.262150288,2.178733349,8.341809273,
1,0.01,0.01,2,lmmvae,0.00782555,1.94E-06,200,149.8912458,0.264335275,0.233634353,3.005662918,0.064468473,0.265954226,0.235196188,3.011728287,0.0640705
1,0.01,0.01,2,pca-ignore,0.015694623,,,0.357844591,43.69596948,,,,43.58448838,,,
1,0.01,0.01,2,pca-ohe,0.015624535,,,36.13565207,4358.769643,,,,4591.864153,,,
1,0.01,0.01,2,vae-ignore,0.018885025,,200,68.17471004,2.372697592,2.305716038,6.698297024,,2.305347919,2.238462687,6.688499451,
1,0.01,0.01,2,vae-em,0.018767822,,200,90.22587252,2.240381479,2.158134937,8.224686623,,2.514569044,2.432853222,8.171667099,
1,0.01,0.01,3,lmmvae,0.007617579,1.13E-06,200,151.3539038,0.261028081,0.230858043,2.969601631,0.047391787,0.258190364,0.228069693,2.964826345,0.047227014
1,0.01,0.01,3,pca-ignore,0.015442055,,,0.295823336,43.69230444,,,,43.44630771,,,
1,0.01,0.01,3,pca-ohe,0.015370882,,,36.29977417,4367.279619,,,,4621.879807,,,
1,0.01,0.01,3,vae-ignore,0.018213777,,200,67.69193625,1.88395822,1.810636997,7.332204342,,1.977377653,1.903916597,7.346137524,
1,0.01,0.01,3,vae-em,0.01794382,,200,93.96871996,3.863513947,3.785757542,7.775827885,,4.468538761,4.390573025,7.796446323,
1,0.01,0.01,4,lmmvae,0.007433187,5.84E-06,200,151.2519188,0.253937274,0.223330453,2.998214483,0.06244003,0.253680557,0.223160893,2.989028692,0.062927797
1,0.01,0.01,4,pca-ignore,0.015471027,,,0.257078171,43.69150318,,,,43.56438761,,,
1,0.01,0.01,4,pca-ohe,0.015394481,,,35.91651177,4365.861613,,,,4626.79121,,,
1,0.01,0.01,4,vae-ignore,0.018067659,,200,68.10812187,2.358250618,2.296251297,6.199921608,,2.341456413,2.279486418,6.197042942,
1,0.01,0.01,4,vae-em,0.017640463,,200,89.92522478,3.773444176,3.69374299,7.970113754,,3.686761618,3.607369661,7.939086437,
2,0.01,0.01,0,lmmvae,0.00459298,2.74E-06,200,199.8565667,0.180120453,0.135350749,4.439950943,0.03701074,0.182529002,0.137793124,4.435866833,0.037720781
2,0.01,0.01,0,pca-ignore,0.014051816,,,0.341545105,42.89301355,,,,43.67485082,,,
2,0.01,0.01,0,pca-ohe,0.013937088,,,34.90362835,4369.306707,,,,4636.16283,,,
2,0.01,0.01,0,vae-ignore,0.012271361,,200,72.11566329,0.494361818,0.409612,8.475046158,,0.505413294,0.420691788,8.472175598,
2,0.01,0.01,0,vae-em,0.011504399,,200,92.5450685,0.504654765,0.415075034,8.957953453,,0.520523012,0.431029409,8.949373245,
2,0.01,0.01,1,lmmvae,0.004443183,1.83E-06,200,150.1243155,0.176128745,0.131216839,4.451209545,0.039977688,0.178110331,0.133286312,4.442304134,0.040089976
2,0.01,0.01,1,pca-ignore,0.014102485,,,0.366309881,42.90855477,,,,42.71348751,,,
2,0.01,0.01,1,pca-ohe,0.014001548,,,38.01022792,4356.547007,,,,4567.593281,,,
2,0.01,0.01,1,vae-ignore,0.01176008,,200,69.85013199,0.472436488,0.38763386,8.480232239,,0.48469153,0.399810553,8.488070488,
2,0.01,0.01,1,vae-em,0.011752768,,200,90.98242354,0.505146742,0.416301489,8.884510994,,0.51787734,0.428974539,8.89024353,
2,0.01,0.01,2,lmmvae,0.004320162,3.53E-06,200,149.7547777,0.173721462,0.129126742,4.423468113,0.036006015,0.174505696,0.129724294,4.442265987,0.035862494
2,0.01,0.01,2,pca-ignore,0.014083306,,,0.336279154,42.90236847,,,,42.7663016,,,
2,0.01,0.01,2,pca-ohe,0.013972468,,,35.6330471,4357.960796,,,,4591.281046,,,
2,0.01,0.01,2,vae-ignore,0.012199067,,200,69.34525776,0.49477914,0.411414564,8.336503029,,0.499284297,0.415831029,8.345336914,
2,0.01,0.01,2,vae-em,0.011112166,,200,93.23939967,0.485178441,0.395944089,8.923469543,,0.498843193,0.409613997,8.922949791,
2,0.01,0.01,3,lmmvae,0.004303781,3.32E-06,200,150.0763841,0.172364086,0.128178358,4.392751217,0.02580812,0.173312619,0.129308045,4.374437332,0.02602368
2,0.01,0.01,3,pca-ignore,0.013872971,,,0.392463207,42.89983426,,,,42.68290834,,,
2,0.01,0.01,3,pca-ohe,0.013763647,,,35.06697416,4366.470657,,,,4621.380952,,,
2,0.01,0.01,3,vae-ignore,0.011611132,,200,71.12140036,0.486858219,0.401202977,8.565584183,,0.489072829,0.403555989,8.551699638,
2,0.01,0.01,3,vae-em,0.011399662,,200,91.34674525,0.50534445,0.417901874,8.744253159,,0.505516112,0.418271124,8.724534988,
2,0.01,0.01,4,lmmvae,0.00430056,1.04E-05,200,150.0704935,0.171259239,0.12721014,4.363861561,0.041037478,0.172781676,0.128828734,4.353775978,0.041517876
2,0.01,0.01,4,pca-ignore,0.013886982,,,0.376806498,42.90012445,,,,42.77347361,,,
2,0.01,0.01,4,pca-ohe,0.013770052,,,36.4965775,4365.05462,,,,4626.253945,,,
2,0.01,0.01,4,vae-ignore,0.011761558,,200,69.72279215,0.489016473,0.404393792,8.462246895,,0.489422679,0.404717118,8.470556259,
2,0.01,0.01,4,vae-em,0.0106751,,200,92.59247375,0.500085473,0.409320533,9.076555252,,0.501668572,0.41074118,9.092764854,
5,0.01,0.01,0,lmmvae,0.002389317,1.36E-06,200,150.6996365,0.1337028,0.070164025,6.324492931,0.029392997,0.135385856,0.071816005,6.327497959,0.029485185
5,0.01,0.01,0,pca-ignore,0.009721888,,,0.330706596,40.98067862,,,,41.80312065,,,
5,0.01,0.01,0,pca-ohe,0.010102474,,,35.28006339,4367.979438,,,,4635.315772,,,
5,0.01,0.01,0,vae-ignore,0.00294821,,200,69.7332983,0.228324413,0.100868024,12.74564266,,0.231791586,0.104413263,12.73783493,
5,0.01,0.01,0,vae-em,0.002939002,,200,93.40650558,0.232086718,0.105052814,12.70339966,,0.237519488,0.110672243,12.68471909,
5,0.01,0.01,1,lmmvae,0.002566187,2.48E-06,200,151.8598161,0.135884643,0.075852372,5.985871792,0.017350849,0.137596384,0.077633508,5.978779316,0.017509332
5,0.01,0.01,1,pca-ignore,0.009656326,,,0.256836414,40.98926392,,,,40.69536312,,,
5,0.01,0.01,1,pca-ohe,0.010028006,,,36.1542635,4355.213251,,,,4566.72039,,,
