d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.01,0.01,0,lmmvae,0.007277051,2.23E-06,200,151.0503829,0.26556313,0.233939454,3.108501911,0.053861849,0.249006093,0.217856139,3.054598093,0.060409378
1,0.01,0.01,0,pca-ignore,0.014769892,,,0.323218107,43.66061734,,,,43.63993671,,,
1,0.01,0.01,0,pca-ohe,0.014736133,,,28.15340352,3571.231799,,,,2326.431243,,,
1,0.01,0.01,0,vae-ignore,0.017523294,,200,67.89347887,2.81093049,2.744688988,6.624066353,,3.020065546,2.954321384,6.574476719,
1,0.01,0.01,0,vae-em,0.018884345,,200,89.77192116,2.577605963,2.497411251,8.01958847,,18.1183548,18.0452137,7.313453197,
1,0.01,0.01,1,lmmvae,0.009442139,2.78E-06,200,151.9226449,0.276251793,0.247114003,2.799119473,0.114625007,0.310899764,0.281940103,2.777178049,0.118795462
1,0.01,0.01,1,pca-ignore,0.016215814,,,0.390902519,43.66702396,,,,45.6177545,,,
1,0.01,0.01,1,pca-ohe,0.016169592,,,27.90380883,3571.240029,,,,2328.130826,,,
1,0.01,0.01,1,vae-ignore,0.019839637,,200,70.76294327,2.464413643,2.398104906,6.630879402,,2.956158161,2.889923334,6.623472214,
1,0.01,0.01,1,vae-em,0.022011928,,200,88.63235283,2.23436141,2.149298906,8.506263733,,19.91714859,19.83852577,7.861896515,
1,0.01,0.01,2,lmmvae,0.007896215,3.77E-05,200,150.0623782,0.249346286,0.219857633,2.898509502,0.050354782,0.266271144,0.236732498,2.902801991,0.051064011
1,0.01,0.01,2,pca-ignore,0.016045111,,,0.312281609,43.68650489,,,,44.04211932,,,
1,0.01,0.01,2,pca-ohe,0.016028219,,,26.58453512,3571.256396,,,,2326.817186,,,
1,0.01,0.01,2,vae-ignore,0.019991132,,200,66.87325025,3.738340139,3.651520252,8.681398392,,3.869063616,3.780703306,8.836083412,
1,0.01,0.01,2,vae-em,0.020075547,,200,90.11949158,3.887049198,3.802526712,8.452108383,,11.16765785,11.0824585,8.520260811,
1,0.01,0.01,3,lmmvae,0.008430423,3.76E-06,200,148.2461376,0.314596623,0.276843816,3.694421053,0.080898941,0.290004373,0.252739996,3.659389019,0.067049488
1,0.01,0.01,3,pca-ignore,0.015165055,,,0.310453415,43.70793176,,,,42.36129758,,,
1,0.01,0.01,3,pca-ohe,0.015160759,,,26.29871941,3572.677059,,,,2326.345438,,,
1,0.01,0.01,3,vae-ignore,0.020522348,,200,65.59103322,2.653412819,2.586003542,6.740876198,,3.130519629,3.064870834,6.564902782,
1,0.01,0.01,3,vae-em,0.020339632,,200,87.04516792,2.403220892,2.332356453,7.08649683,,9.78433609,9.717440605,6.689317226,
1,0.01,0.01,4,lmmvae,0.007613855,4.34E-06,200,141.2126751,0.25346747,0.221708298,3.097706795,0.078264959,0.26065138,0.227988586,3.181940794,0.08432591
1,0.01,0.01,4,pca-ignore,0.016006765,,,0.483472347,43.73312222,,,,44.24511084,,,
1,0.01,0.01,4,pca-ohe,0.015992705,,,26.08915663,3572.708982,,,,2327.985681,,,
1,0.01,0.01,4,vae-ignore,0.019050155,,200,64.31371689,1.890041828,1.817574501,7.246698856,,1.907527566,1.839854598,6.767251015,
1,0.01,0.01,4,vae-em,0.02126802,,200,86.60761094,4.640645504,4.553952217,8.669326782,,9.166845322,9.081628799,8.521642685,
2,0.01,0.01,0,lmmvae,0.004177805,1.01E-06,200,149.6451845,0.173911378,0.129480541,4.417906284,0.025170129,0.168868199,0.125624657,4.298513889,0.02584601
2,0.01,0.01,0,pca-ignore,0.013492832,,,0.335506439,42.85867736,,,,43.19053914,,,
2,0.01,0.01,0,pca-ohe,0.013445608,,,27.42723751,3570.424148,,,,2324.877154,,,
2,0.01,0.01,0,vae-ignore,0.012808208,,200,69.69162726,0.476373821,0.391160756,8.521278381,,0.53062737,0.444422007,8.620528221,
2,0.01,0.01,0,vae-em,0.023934518,,200,88.21288061,0.452277541,0.363244146,8.903345108,,0.996924996,0.909513474,8.741161346,
2,0.01,0.01,1,lmmvae,0.004886728,1.42E-06,200,152.3211076,0.172031239,0.126562655,4.481724739,0.065146558,0.192594767,0.146549374,4.541251659,0.063279651
2,0.01,0.01,1,pca-ignore,0.014456277,,,0.509025335,42.91830854,,,,44.33534575,,,
2,0.01,0.01,1,pca-ohe,0.014182812,,,26.93675804,3570.479974,,,,2326.011914,,,
2,0.01,0.01,1,vae-ignore,0.015577808,,200,70.11216044,0.50026834,0.414960563,8.530694962,,0.614506543,0.526392758,8.811372757,
2,0.01,0.01,1,vae-em,0.029994445,,200,90.13388777,0.510561824,0.421975434,8.858677864,,1.181199312,1.092279792,8.891957283,
2,0.01,0.01,2,lmmvae,0.004907349,1.75E-06,200,148.9941809,0.176851198,0.132629499,4.355211258,0.066956781,0.191756591,0.147272125,4.378722668,0.069726467
2,0.01,0.01,2,pca-ignore,0.01432786,,,0.359898567,42.8969072,,,,43.05158565,,,
2,0.01,0.01,2,pca-ohe,0.014384586,,,27.7427659,3570.450771,,,,2324.955693,,,
2,0.01,0.01,2,vae-ignore,0.014928082,,200,68.59334302,0.495913148,0.412044197,8.386919022,,0.59518379,0.51226753,8.291602135,
2,0.01,0.01,2,vae-em,0.024739862,,200,91.12350988,0.485394776,0.394751728,9.064297676,,1.088019848,1.000763416,8.725698471,
2,0.01,0.01,3,lmmvae,0.004479886,3.17E-06,200,148.0000014,0.186013579,0.140822127,4.469408035,0.049744137,0.178743795,0.134042472,4.423540592,0.046587631
2,0.01,0.01,3,pca-ignore,0.01399979,,,0.378830433,42.88904793,,,,41.98810527,,,
2,0.01,0.01,3,pca-ohe,0.01404712,,,27.14597487,3571.836203,,,,2324.919988,,,
2,0.01,0.01,3,vae-ignore,0.01677569,,200,68.15420103,0.465654075,0.380975664,8.467881203,,0.683140874,0.5985744,8.456589699,
2,0.01,0.01,3,vae-em,0.029986837,,200,89.94083285,0.468595207,0.380464107,8.813069344,,1.30308044,1.21578455,8.72947216,
2,0.01,0.01,4,lmmvae,0.004928948,5.38E-06,200,144.4694397,0.178570554,0.134676546,4.371194839,0.018186392,0.192526862,0.147706479,4.463300228,0.018736022
2,0.01,0.01,4,pca-ignore,0.014542667,,,0.397497416,42.90383436,,,,43.62993511,,,
2,0.01,0.01,4,pca-ohe,0.014535125,,,27.24033689,3571.864275,,,,2326.270582,,,
2,0.01,0.01,4,vae-ignore,0.016980036,,200,66.40629959,0.511025906,0.425110221,8.591574669,,0.704679608,0.617801964,8.687754631,
2,0.01,0.01,4,vae-em,0.025744332,,200,87.59136033,0.471485436,0.381693959,8.979129791,,1.073010564,0.982731879,9.027943611,
5,0.01,0.01,0,lmmvae,0.002365191,1.49E-06,200,153.4255204,0.13312225,0.070159286,6.280978203,0.015323032,0.132019222,0.070948951,6.090735912,0.016291464
5,0.01,0.01,0,pca-ignore,0.009347431,,,0.303597927,40.94605842,,,,41.35915724,,,
5,0.01,0.01,0,pca-ohe,0.009756102,,,25.82586622,3569.106316,,,,2321.762751,,,
5,0.01,0.01,0,vae-ignore,0.003040222,,200,69.48997974,0.224732503,0.099582419,12.5149765,,0.230574876,0.105829194,12.47456837,
