,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
1,1,0.001,0.001,0,lmmvae,0.055340635,1.39E-07,200,239.8153315
6,1,0.001,0.001,1,lmmvae,0.055236342,7.49E-08,200,237.2167201
11,1,0.001,0.001,2,lmmvae,0.055068172,1.14E-07,200,237.9701691
16,1,0.001,0.001,3,lmmvae,0.055572257,5.51E-08,200,237.8935483
21,1,0.001,0.001,4,lmmvae,0.055188749,1.04E-07,200,239.3164637
26,2,0.001,0.001,0,lmmvae,0.049745338,7.99E-08,200,238.9147239
31,2,0.001,0.001,1,lmmvae,0.04890264,3.05E-08,200,239.3088007
36,2,0.001,0.001,2,lmmvae,0.049676609,5.60E-08,200,238.2089403
41,2,0.001,0.001,3,lmmvae,0.049861001,1.29E-07,200,238.0613823
46,2,0.001,0.001,4,lmmvae,0.048819941,8.29E-08,200,238.6216419
51,5,0.001,0.001,0,lmmvae,0.039782393,9.61E-07,200,238.2616739
56,5,0.001,0.001,1,lmmvae,0.039668754,1.85E-07,200,238.445884
61,5,0.001,0.001,2,lmmvae,0.04007946,2.29E-07,200,239.6955671
66,5,0.001,0.001,3,lmmvae,0.04042982,5.11E-08,200,238.6731052
71,5,0.001,0.001,4,lmmvae,0.038930552,5.37E-08,200,238.33375
2,1,0.001,0.001,0,lmmvae-sfc,0.055576678,0.000421593,200,254.0886312
7,1,0.001,0.001,1,lmmvae-sfc,0.05560486,0.000404379,200,253.3175352
12,1,0.001,0.001,2,lmmvae-sfc,0.05556741,0.000414649,200,252.48118
17,1,0.001,0.001,3,lmmvae-sfc,0.05591273,0.000425651,200,253.5533876
22,1,0.001,0.001,4,lmmvae-sfc,0.054954286,0.00040752,200,253.5795603
27,2,0.001,0.001,0,lmmvae-sfc,0.049458798,0.000410561,200,254.7573674
32,2,0.001,0.001,1,lmmvae-sfc,0.049289873,0.000406756,200,255.4287102
37,2,0.001,0.001,2,lmmvae-sfc,0.050032645,0.000414451,200,254.9898007
42,2,0.001,0.001,3,lmmvae-sfc,0.04953159,0.00040785,200,254.8979836
47,2,0.001,0.001,4,lmmvae-sfc,0.049058179,0.000414495,200,255.2071128
52,5,0.001,0.001,0,lmmvae-sfc,0.04056573,0.000406588,200,255.7805419
57,5,0.001,0.001,1,lmmvae-sfc,0.039973554,0.000393047,200,255.2260218
62,5,0.001,0.001,2,lmmvae-sfc,0.04071775,0.000418056,200,254.9342325
67,5,0.001,0.001,3,lmmvae-sfc,0.039874971,0.000422685,200,255.0691059
72,5,0.001,0.001,4,lmmvae-sfc,0.040088618,0.000409144,200,256.2629571
3,1,0.001,0.001,0,pca-ignore,0.065489537,,,0.426609278
8,1,0.001,0.001,1,pca-ignore,0.065593462,,,0.407165051
13,1,0.001,0.001,2,pca-ignore,0.0657258,,,0.442624569
18,1,0.001,0.001,3,pca-ignore,0.065846372,,,0.443307638
23,1,0.001,0.001,4,pca-ignore,0.065455485,,,0.464829445
28,2,0.001,0.001,0,pca-ignore,0.060692156,,,0.455524683
33,2,0.001,0.001,1,pca-ignore,0.060801076,,,0.447661638
38,2,0.001,0.001,2,pca-ignore,0.060870061,,,0.440707445
43,2,0.001,0.001,3,pca-ignore,0.061007771,,,0.474728823
48,2,0.001,0.001,4,pca-ignore,0.060617546,,,0.460346222
53,5,0.001,0.001,0,pca-ignore,0.052940009,,,0.664534092
58,5,0.001,0.001,1,pca-ignore,0.052919046,,,0.48382473
63,5,0.001,0.001,2,pca-ignore,0.053033612,,,0.470023632
68,5,0.001,0.001,3,pca-ignore,0.05326168,,,0.470428467
73,5,0.001,0.001,4,pca-ignore,0.052703699,,,0.467632771
4,1,0.001,0.001,0,pca-ohe,0.065556232,,,71.10260749
9,1,0.001,0.001,1,pca-ohe,0.065652959,,,74.04464293
14,1,0.001,0.001,2,pca-ohe,0.065772857,,,86.5233705
19,1,0.001,0.001,3,pca-ohe,0.065899089,,,89.87647462
24,1,0.001,0.001,4,pca-ohe,0.065513959,,,87.09579897
