,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
16,1,0.001,0.001,0,lmmvae,0.055461282,8.29E-08,200,259.5686288
20,1,0.001,0.001,1,lmmvae,0.05539277,4.14E-08,200,248.2800655
24,1,0.001,0.001,2,lmmvae,0.055229097,1.58E-06,200,240.9466674
28,1,0.001,0.001,3,lmmvae,0.055557433,1.35E-07,200,257.5777576
32,1,0.001,0.001,4,lmmvae,0.055963767,1.02E-07,200,245.3325305
36,2,0.001,0.001,0,lmmvae,0.050002804,3.28E-08,200,243.9103885
40,2,0.001,0.001,1,lmmvae,0.048748399,9.50E-08,200,250.6928909
44,2,0.001,0.001,2,lmmvae,0.04948965,8.10E-08,200,246.0915411
48,2,0.001,0.001,3,lmmvae,0.050052778,1.73E-07,200,256.2831361
52,2,0.001,0.001,4,lmmvae,0.049623727,4.25E-08,200,246.3614833
56,5,0.001,0.001,0,lmmvae,0.040393357,1.82E-07,200,248.8835557
60,5,0.001,0.001,1,lmmvae,0.040424739,8.85E-08,200,244.9991159
64,5,0.001,0.001,2,lmmvae,0.040872733,5.32E-08,200,243.8382602
68,5,0.001,0.001,3,lmmvae,0.04010591,1.24E-07,200,253.7503946
72,5,0.001,0.001,4,lmmvae,0.040032807,1.19E-07,200,246.0230131
17,1,0.001,0.001,0,pca-ignore,0.06563619,,,0.430937052
21,1,0.001,0.001,1,pca-ignore,0.065324197,,,0.429746389
25,1,0.001,0.001,2,pca-ignore,0.06569741,,,0.396746159
29,1,0.001,0.001,3,pca-ignore,0.065836825,,,0.398019314
33,1,0.001,0.001,4,pca-ignore,0.065777703,,,0.398801565
37,2,0.001,0.001,0,pca-ignore,0.060797271,,,0.458072662
41,2,0.001,0.001,1,pca-ignore,0.060493255,,,0.416346073
45,2,0.001,0.001,2,pca-ignore,0.060812511,,,0.420227528
49,2,0.001,0.001,3,pca-ignore,0.060954933,,,0.439651728
53,2,0.001,0.001,4,pca-ignore,0.061129607,,,0.44029212
57,5,0.001,0.001,0,pca-ignore,0.053049735,,,0.438436031
61,5,0.001,0.001,1,pca-ignore,0.052607952,,,0.48304987
65,5,0.001,0.001,2,pca-ignore,0.052862142,,,0.44820118
69,5,0.001,0.001,3,pca-ignore,0.053122195,,,0.455704689
73,5,0.001,0.001,4,pca-ignore,0.053483837,,,0.418435574
19,1,0.001,0.001,0,vae-embed,0.069079117,,200,55.79867077
23,1,0.001,0.001,1,vae-embed,0.067499387,,200,56.02855206
27,1,0.001,0.001,2,vae-embed,0.075000943,,200,54.76242685
31,1,0.001,0.001,3,vae-embed,0.074728462,,200,56.23997283
35,1,0.001,0.001,4,vae-embed,0.072901533,,200,54.76116109
39,2,0.001,0.001,0,vae-embed,0.058536237,,200,55.89722347
43,2,0.001,0.001,1,vae-embed,0.053997458,,200,57.31992793
47,2,0.001,0.001,2,vae-embed,0.053230729,,200,55.70948648
51,2,0.001,0.001,3,vae-embed,0.054188847,,200,57.54941463
55,2,0.001,0.001,4,vae-embed,0.055910914,,200,55.88825917
59,5,0.001,0.001,0,vae-embed,0.042959263,,200,56.34663773
63,5,0.001,0.001,1,vae-embed,0.042159894,,200,57.5645268
67,5,0.001,0.001,2,vae-embed,0.041871803,,200,55.79624963
71,5,0.001,0.001,3,vae-embed,0.042515663,,200,57.85333872
75,5,0.001,0.001,4,vae-embed,0.042551323,,200,56.21050072
18,1,0.001,0.001,0,vae-ignore,0.060554904,,200,48.8703661
22,1,0.001,0.001,1,vae-ignore,0.059524785,,200,49.21859622
26,1,0.001,0.001,2,vae-ignore,0.060527568,,200,48.23362827
30,1,0.001,0.001,3,vae-ignore,0.06180049,,200,49.60734081
34,1,0.001,0.001,4,vae-ignore,0.061573321,,200,48.11031985
38,2,0.001,0.001,0,vae-ignore,0.053468934,,200,49.28675175
42,2,0.001,0.001,1,vae-ignore,0.052589491,,200,50.19715428
46,2,0.001,0.001,2,vae-ignore,0.05226092,,200,49.25118709
50,2,0.001,0.001,3,vae-ignore,0.053144136,,200,50.55974007
54,2,0.001,0.001,4,vae-ignore,0.0535293,,200,49.33677816
58,5,0.001,0.001,0,vae-ignore,0.042233114,,200,49.42796159
62,5,0.001,0.001,1,vae-ignore,0.042217687,,200,51.20433712
66,5,0.001,0.001,2,vae-ignore,0.041540143,,200,49.33633566
70,5,0.001,0.001,3,vae-ignore,0.042343047,,200,51.11567497
74,5,0.001,0.001,4,vae-ignore,0.042092161,,200,49.57868385
