,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
1,1,0.001,0.1,0,lmmvae,0.01302248,2.75E-05,200,112.4824882
7,1,0.001,0.1,1,lmmvae,0.012826497,1.59E-05,200,105.3390527
13,1,0.001,0.1,2,lmmvae,0.011835527,7.40E-05,200,105.2663586
19,1,0.001,0.1,3,lmmvae,0.01240593,6.49E-05,200,105.5583665
25,1,0.001,0.1,4,lmmvae,0.012828175,1.04E-05,200,105.5881748
31,2,0.001,0.1,0,lmmvae,0.006273263,1.74E-05,200,106.9970274
37,2,0.001,0.1,1,lmmvae,0.006621922,9.07E-05,200,107.0561714
43,2,0.001,0.1,2,lmmvae,0.006902346,7.17E-05,200,106.5926554
49,2,0.001,0.1,3,lmmvae,0.006633439,0.001010658,200,106.3024287
55,2,0.001,0.1,4,lmmvae,0.006542594,0.000110339,200,106.6920714
61,5,0.001,0.1,0,lmmvae,0.004555942,7.71E-05,200,106.9998939
67,5,0.001,0.1,1,lmmvae,0.004546028,3.86E-05,200,107.2113357
73,5,0.001,0.1,2,lmmvae,0.004354776,1.69E-05,200,106.8609936
79,5,0.001,0.1,3,lmmvae,0.004613713,2.53E-05,200,109.0558681
85,5,0.001,0.1,4,lmmvae,0.004642985,8.58E-05,200,107.1631963
2,1,0.001,0.1,0,pca-ignore,0.017171242,,,0.163630009
8,1,0.001,0.1,1,pca-ignore,0.017608007,,,0.146443367
14,1,0.001,0.1,2,pca-ignore,0.017503937,,,0.149223328
20,1,0.001,0.1,3,pca-ignore,0.017235835,,,0.145150423
26,1,0.001,0.1,4,pca-ignore,0.017250147,,,0.153123617
32,2,0.001,0.1,0,pca-ignore,0.015249188,,,0.162953138
38,2,0.001,0.1,1,pca-ignore,0.015651418,,,0.162956953
44,2,0.001,0.1,2,pca-ignore,0.015556515,,,0.163602591
50,2,0.001,0.1,3,pca-ignore,0.015246796,,,0.305820942
56,2,0.001,0.1,4,pca-ignore,0.015323793,,,0.165554047
62,5,0.001,0.1,0,pca-ignore,0.01051193,,,0.154546022
68,5,0.001,0.1,1,pca-ignore,0.010718799,,,0.148240328
74,5,0.001,0.1,2,pca-ignore,0.010612213,,,0.146299601
80,5,0.001,0.1,3,pca-ignore,0.010370587,,,0.147465944
86,5,0.001,0.1,4,pca-ignore,0.010429489,,,0.149204969
3,1,0.001,0.1,0,pca-ohe,0.017167135,,,8.143879175
9,1,0.001,0.1,1,pca-ohe,0.017596121,,,8.086329937
15,1,0.001,0.1,2,pca-ohe,0.017494261,,,7.849895477
21,1,0.001,0.1,3,pca-ohe,0.017225236,,,7.819445133
27,1,0.001,0.1,4,pca-ohe,0.017246436,,,7.807631493
33,2,0.001,0.1,0,pca-ohe,0.014965015,,,9.083076715
39,2,0.001,0.1,1,pca-ohe,0.01537059,,,7.833037853
45,2,0.001,0.1,2,pca-ohe,0.015279647,,,7.787992001
51,2,0.001,0.1,3,pca-ohe,0.014963085,,,7.783862829
57,2,0.001,0.1,4,pca-ohe,0.015064706,,,8.133943319
63,5,0.001,0.1,0,pca-ohe,0.010801683,,,7.663506746
69,5,0.001,0.1,1,pca-ohe,0.011059291,,,7.653461933
75,5,0.001,0.1,2,pca-ohe,0.010955643,,,7.991151571
81,5,0.001,0.1,3,pca-ohe,0.010720327,,,7.724924088
87,5,0.001,0.1,4,pca-ohe,0.010795764,,,7.710540771
91,1,0.001,0.1,0,svgpvae_16_2,0.023163754,,199,299.0238934
92,1,0.001,0.1,1,svgpvae_16_2,0.02435443,,199,291.8949718
93,1,0.001,0.1,2,svgpvae_16_2,0.024100497,,199,294.4108489
94,1,0.001,0.1,3,svgpvae_16_2,0.023852657,,199,294.359287
95,1,0.001,0.1,4,svgpvae_16_2,0.023465741,,199,294.6202099
96,2,0.001,0.1,0,svgpvae_16_2,0.022266201,,199,516.8182669
97,2,0.001,0.1,1,svgpvae_16_2,0.022632751,,199,517.710557
98,2,0.001,0.1,2,svgpvae_16_2,0.022031579,,199,518.127893
99,2,0.001,0.1,3,svgpvae_16_2,0.022392895,,199,517.2807384
100,2,0.001,0.1,4,svgpvae_16_2,0.023070224,,199,518.8263633
101,5,0.001,0.1,0,svgpvae_16_2,0.02223454,,199,1195.52087
102,5,0.001,0.1,1,svgpvae_16_2,0.023021108,,199,1197.018608
103,5,0.001,0.1,2,svgpvae_16_2,0.029740057,,199,1192.42465
104,5,0.001,0.1,3,svgpvae_16_2,0.029175145,,199,1193.361249
105,5,0.001,0.1,4,svgpvae_16_2,0.026642479,,199,1195.614963
6,1,0.001,0.1,0,vae-em,0.024431525,,200,62.48136783
12,1,0.001,0.1,1,vae-em,0.024202508,,200,62.6751132
18,1,0.001,0.1,2,vae-em,0.024895672,,200,62.19116116
24,1,0.001,0.1,3,vae-em,0.023527274,,200,62.18964148
30,1,0.001,0.1,4,vae-em,0.023532398,,200,62.17876816
36,2,0.001,0.1,0,vae-em,0.015504196,,200,63.36180425
42,2,0.001,0.1,1,vae-em,0.018555601,,200,63.40210772
48,2,0.001,0.1,2,vae-em,0.016101552,,200,63.59398293
54,2,0.001,0.1,3,vae-em,0.01565585,,200,63.53500104
60,2,0.001,0.1,4,vae-em,0.01648158,,200,63.99645686
66,5,0.001,0.1,0,vae-em,0.004617256,,200,63.95565891
72,5,0.001,0.1,1,vae-em,0.004526486,,200,63.74036503
78,5,0.001,0.1,2,vae-em,0.005340134,,200,63.90681052
