,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
1,1,0.001,0.1,0,lmmvae,0.012243652,2.95E-05,200,103.203583
7,1,0.001,0.1,1,lmmvae,0.012254685,2.71E-05,200,106.5092559
13,1,0.001,0.1,2,lmmvae,0.014785217,0.0001108,200,102.4246259
19,1,0.001,0.1,3,lmmvae,0.010139772,8.04E-05,200,109.4972105
25,1,0.001,0.1,4,lmmvae,0.011418574,2.47E-05,200,105.7470191
31,2,0.001,0.1,0,lmmvae,0.007435661,8.15E-06,200,109.1133282
37,2,0.001,0.1,1,lmmvae,0.00811541,2.40E-05,200,109.3851283
43,2,0.001,0.1,2,lmmvae,0.008983871,1.62E-05,200,105.6728067
49,2,0.001,0.1,3,lmmvae,0.005512928,1.30E-05,200,111.747196
55,2,0.001,0.1,4,lmmvae,0.006531667,2.77E-05,200,106.1069977
61,5,0.001,0.1,0,lmmvae,0.004634775,0.000405259,200,107.4952016
67,5,0.001,0.1,1,lmmvae,0.004763977,2.66E-05,200,107.2232618
73,5,0.001,0.1,2,lmmvae,0.005530225,1.67E-05,200,103.9561644
79,5,0.001,0.1,3,lmmvae,0.004507799,2.53E-05,200,106.8844447
85,5,0.001,0.1,4,lmmvae,0.004737447,6.83E-06,200,105.7179704
2,1,0.001,0.1,0,pca-ignore,0.017093506,,,0.165056229
8,1,0.001,0.1,1,pca-ignore,0.017108688,,,0.176581144
14,1,0.001,0.1,2,pca-ignore,0.019696079,,,0.147137403
20,1,0.001,0.1,3,pca-ignore,0.016161481,,,0.159394264
26,1,0.001,0.1,4,pca-ignore,0.016962753,,,0.14222765
32,2,0.001,0.1,0,pca-ignore,0.015239163,,,0.160351038
38,2,0.001,0.1,1,pca-ignore,0.015456136,,,0.161500454
44,2,0.001,0.1,2,pca-ignore,0.016847436,,,0.149457216
50,2,0.001,0.1,3,pca-ignore,0.014925493,,,0.174549103
56,2,0.001,0.1,4,pca-ignore,0.015799573,,,0.162605047
62,5,0.001,0.1,0,pca-ignore,0.010384463,,,0.140919209
68,5,0.001,0.1,1,pca-ignore,0.010179789,,,0.161754847
74,5,0.001,0.1,2,pca-ignore,0.012237824,,,0.144275188
80,5,0.001,0.1,3,pca-ignore,0.01021718,,,0.173269033
86,5,0.001,0.1,4,pca-ignore,0.010358016,,,0.13760519
3,1,0.001,0.1,0,pca-ohe,0.017119657,,,6.342962027
9,1,0.001,0.1,1,pca-ohe,0.017153481,,,6.360985518
15,1,0.001,0.1,2,pca-ohe,0.019691348,,,6.353541851
21,1,0.001,0.1,3,pca-ohe,0.016160288,,,7.419797421
27,1,0.001,0.1,4,pca-ohe,0.01695676,,,6.273370504
33,2,0.001,0.1,0,pca-ohe,0.0152166,,,6.328480482
39,2,0.001,0.1,1,pca-ohe,0.015317485,,,6.379252672
45,2,0.001,0.1,2,pca-ohe,0.016783832,,,7.440335274
51,2,0.001,0.1,3,pca-ohe,0.01483327,,,6.340477467
57,2,0.001,0.1,4,pca-ohe,0.015656655,,,6.206283092
63,5,0.001,0.1,0,pca-ohe,0.010936573,,,6.300542831
69,5,0.001,0.1,1,pca-ohe,0.010601336,,,6.359434843
75,5,0.001,0.1,2,pca-ohe,0.012471126,,,6.275387764
81,5,0.001,0.1,3,pca-ohe,0.01079483,,,6.460507631
87,5,0.001,0.1,4,pca-ohe,0.010667882,,,6.398441553
91,1,0.001,0.1,0,svgpvae_16_2,0.028166281,,199,300.6702259
92,1,0.001,0.1,1,svgpvae_16_2,0.028662067,,199,304.3067825
93,1,0.001,0.1,2,svgpvae_16_2,0.032060891,,199,286.8132746
94,1,0.001,0.1,3,svgpvae_16_2,0.024971119,,199,303.2561429
95,1,0.001,0.1,4,svgpvae_16_2,0.027844986,,199,287.3045609
96,2,0.001,0.1,0,svgpvae_16_2,0.029607917,,199,518.2160351
97,2,0.001,0.1,1,svgpvae_16_2,0.030069401,,199,535.1275561
98,2,0.001,0.1,2,svgpvae_16_2,0.033019411,,199,500.9966052
99,2,0.001,0.1,3,svgpvae_16_2,0.025199686,,199,532.9003501
100,2,0.001,0.1,4,svgpvae_16_2,0.030781204,,199,505.7221255
101,5,0.001,0.1,0,svgpvae_16_2,0.066758338,,199,1185.200402
102,5,0.001,0.1,1,svgpvae_16_2,0.066428989,,199,1224.2547
103,5,0.001,0.1,2,svgpvae_16_2,0.050705051,,199,1150.876973
104,5,0.001,0.1,3,svgpvae_16_2,0.056746063,,199,1228.600669
105,5,0.001,0.1,4,svgpvae_16_2,0.053097206,,199,1163.639783
6,1,0.001,0.1,0,vae-em,0.027977036,,200,61.77071524
12,1,0.001,0.1,1,vae-em,0.026364874,,200,63.52915812
18,1,0.001,0.1,2,vae-em,0.030497532,,200,60.95055199
24,1,0.001,0.1,3,vae-em,0.025418863,,200,63.55474138
30,1,0.001,0.1,4,vae-em,0.025044663,,200,60.78033733
36,2,0.001,0.1,0,vae-em,0.029494875,,200,63.0949173
42,2,0.001,0.1,1,vae-em,0.025450066,,200,65.10730672
48,2,0.001,0.1,2,vae-em,0.040135923,,200,62.09373856
54,2,0.001,0.1,3,vae-em,0.025921836,,200,65.16846347
60,2,0.001,0.1,4,vae-em,0.024638453,,200,62.05126286
66,5,0.001,0.1,0,vae-em,0.008781691,,200,63.58866191
72,5,0.001,0.1,1,vae-em,0.008841595,,200,65.64330602
78,5,0.001,0.1,2,vae-em,0.010579418,,200,62.69232321
84,5,0.001,0.1,3,vae-em,0.007531956,,200,65.96633101
90,5,0.001,0.1,4,vae-em,0.00851969,,200,62.75158191
4,1,0.001,0.1,0,vae-ignore,0.02680499,,200,56.59692097
10,1,0.001,0.1,1,vae-ignore,0.024412246,,200,58.39018035
16,1,0.001,0.1,2,vae-ignore,0.028986971,,200,55.46299601
22,1,0.001,0.1,3,vae-ignore,0.023482447,,200,58.23625302
28,1,0.001,0.1,4,vae-ignore,0.0226236,,200,55.76205683
34,2,0.001,0.1,0,vae-ignore,0.021460621,,200,58.07097888
40,2,0.001,0.1,1,vae-ignore,0.020151123,,200,60.03009391
46,2,0.001,0.1,2,vae-ignore,0.024134112,,200,57.23691654
52,2,0.001,0.1,3,vae-ignore,0.0194646,,200,59.99559259
58,2,0.001,0.1,4,vae-ignore,0.019393468,,200,57.37193155
64,5,0.001,0.1,0,vae-ignore,0.006595475,,200,58.54985428
70,5,0.001,0.1,1,vae-ignore,0.006045772,,200,60.46504688
76,5,0.001,0.1,2,vae-ignore,0.00775001,,200,57.72734404
82,5,0.001,0.1,3,vae-ignore,0.004759901,,200,60.88501191
88,5,0.001,0.1,4,vae-ignore,0.00517073,,200,58.44946575
