,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
1,1,0.001,0.001,0,lmmvae,0.047601832,2.22E-06,200,240.2766106
6,1,0.001,0.001,1,lmmvae,0.047463406,3.29E-06,200,235.1929345
11,1,0.001,0.001,2,lmmvae,0.046606531,3.69E-07,200,237.1849232
16,1,0.001,0.001,3,lmmvae,0.047228441,1.12E-06,200,231.958194
21,1,0.001,0.001,4,lmmvae,0.050665755,1.20E-05,200,231.7073853
26,2,0.001,0.001,0,lmmvae,0.035430464,1.01E-06,200,233.5093317
31,2,0.001,0.001,1,lmmvae,0.034394297,1.02E-05,200,227.1466818
36,2,0.001,0.001,2,lmmvae,0.034702268,1.98E-06,200,237.7913821
41,2,0.001,0.001,3,lmmvae,0.034097138,4.53E-06,200,238.9622324
46,2,0.001,0.001,4,lmmvae,0.033907267,4.54E-07,200,236.2257116
51,5,0.001,0.001,0,lmmvae,0.016549826,8.77E-06,200,227.8994751
56,5,0.001,0.001,1,lmmvae,0.009632025,7.25E-06,200,235.0628195
61,5,0.001,0.001,2,lmmvae,0.014702557,8.35E-06,200,236.5991824
66,5,0.001,0.001,3,lmmvae,0.011890716,3.53E-06,200,236.5679412
71,5,0.001,0.001,4,lmmvae,0.016389652,4.31E-06,200,236.4440145
2,1,0.001,0.001,0,lmmvae-sfc,0.04791443,0.000512907,200,255.4328175
7,1,0.001,0.001,1,lmmvae-sfc,0.051945801,0.000512691,200,253.5945139
12,1,0.001,0.001,2,lmmvae-sfc,0.047942015,0.00047442,200,255.4506567
17,1,0.001,0.001,3,lmmvae-sfc,,0,200,253.7737985
22,1,0.001,0.001,4,lmmvae-sfc,0.051011136,0.00051302,200,256.1025512
27,2,0.001,0.001,0,lmmvae-sfc,0.035427709,0.000502854,200,257.4273794
32,2,0.001,0.001,1,lmmvae-sfc,0.034034509,0.000493796,200,253.9118419
37,2,0.001,0.001,2,lmmvae-sfc,0.033863636,0.000498055,200,258.0203357
42,2,0.001,0.001,3,lmmvae-sfc,0.034164236,0.000533999,200,261.4313903
47,2,0.001,0.001,4,lmmvae-sfc,0.034492501,0.000517032,200,257.5940964
52,5,0.001,0.001,0,lmmvae-sfc,0.012072673,0.000478748,200,262.3072016
57,5,0.001,0.001,1,lmmvae-sfc,0.012408103,0.000493942,200,257.6717148
62,5,0.001,0.001,2,lmmvae-sfc,0.014108203,0.000511874,200,260.0416934
67,5,0.001,0.001,3,lmmvae-sfc,0.013568704,0.000497321,200,261.3296392
72,5,0.001,0.001,4,lmmvae-sfc,0.011904414,0.000498192,200,257.978143
3,1,0.001,0.001,0,pca-ignore,0.094357058,,,0.410938978
8,1,0.001,0.001,1,pca-ignore,0.090519948,,,0.38719368
13,1,0.001,0.001,2,pca-ignore,0.079805423,,,0.389231443
18,1,0.001,0.001,3,pca-ignore,0.081958671,,,0.394293308
23,1,0.001,0.001,4,pca-ignore,0.087839536,,,0.386772871
28,2,0.001,0.001,0,pca-ignore,0.088334905,,,0.382815838
33,2,0.001,0.001,1,pca-ignore,0.084203127,,,0.395065308
38,2,0.001,0.001,2,pca-ignore,0.073438387,,,0.386921644
43,2,0.001,0.001,3,pca-ignore,0.07572687,,,0.39918232
48,2,0.001,0.001,4,pca-ignore,0.08157729,,,0.45896697
53,5,0.001,0.001,0,pca-ignore,0.076054282,,,0.419747829
58,5,0.001,0.001,1,pca-ignore,0.072908198,,,0.448462963
63,5,0.001,0.001,2,pca-ignore,0.062128023,,,0.442819118
68,5,0.001,0.001,3,pca-ignore,0.064221162,,,0.436805487
73,5,0.001,0.001,4,pca-ignore,0.069357012,,,0.452209711
5,1,0.001,0.001,0,vae-em,0.120747134,,200,94.59679842
10,1,0.001,0.001,1,vae-em,0.09576586,,200,93.15999722
15,1,0.001,0.001,2,vae-em,0.094698319,,200,93.77281165
20,1,0.001,0.001,3,vae-em,0.098633848,,200,94.03008223
25,1,0.001,0.001,4,vae-em,0.102215165,,200,93.35108113
30,2,0.001,0.001,0,vae-em,0.090174399,,200,95.32906199
35,2,0.001,0.001,1,vae-em,0.103865624,,200,94.96114182
40,2,0.001,0.001,2,vae-em,0.093253027,,200,95.59027171
45,2,0.001,0.001,3,vae-em,0.090148999,,200,95.68720841
50,2,0.001,0.001,4,vae-em,0.089789169,,200,95.48072481
55,5,0.001,0.001,0,vae-em,0.029972909,,200,96.73171401
60,5,0.001,0.001,1,vae-em,0.029349175,,200,96.07587337
65,5,0.001,0.001,2,vae-em,0.031145654,,200,95.79579496
70,5,0.001,0.001,3,vae-em,0.02710847,,200,95.97415209
75,5,0.001,0.001,4,vae-em,0.03057499,,200,96.06746101
4,1,0.001,0.001,0,vae-ignore,0.084452662,,200,83.01931858
9,1,0.001,0.001,1,vae-ignore,0.081881262,,200,81.87590861
14,1,0.001,0.001,2,vae-ignore,0.082358978,,200,82.28940272
19,1,0.001,0.001,3,vae-ignore,0.084523376,,200,82.51047826
24,1,0.001,0.001,4,vae-ignore,0.084622114,,200,81.69795704
29,2,0.001,0.001,0,vae-ignore,0.071567159,,200,83.83208275
34,2,0.001,0.001,1,vae-ignore,0.069653774,,200,83.33152485
39,2,0.001,0.001,2,vae-ignore,0.068754508,,200,84.40278077
44,2,0.001,0.001,3,vae-ignore,0.071501181,,200,84.55326676
49,2,0.001,0.001,4,vae-ignore,0.069401479,,200,83.61261821
54,5,0.001,0.001,0,vae-ignore,0.028102798,,200,85.19504714
59,5,0.001,0.001,1,vae-ignore,0.028104654,,200,84.39243746
64,5,0.001,0.001,2,vae-ignore,0.025786334,,200,84.72615266
69,5,0.001,0.001,3,vae-ignore,0.030323537,,200,84.59864783
74,5,0.001,0.001,4,vae-ignore,0.029038888,,200,84.56947827
