,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time
2,1,0.001,0.1,0,lmmvae,0.7746954910815796,0.04300662875175476,0.17621921002864838,200,578.7736895084381
3,1,0.001,0.1,0,pca-ignore,0.9863442979483352,,,,0.6030175685882568
4,1,0.001,0.1,0,vae-ignore,0.8341118207203472,,,200,76.81926798820496
5,1,0.001,0.1,0,vae-em,0.8542626231092223,,,200,90.29725003242493
6,1,0.001,0.1,1,lmmvae,0.7544153936281479,0.04207940399646759,0.17337314784526825,200,580.239292383194
7,1,0.001,0.1,1,pca-ignore,0.9667734780552579,,,,0.5776972770690918
8,1,0.001,0.1,1,vae-ignore,0.8196705839569758,,,200,76.55368328094482
9,1,0.001,0.1,1,vae-em,0.855058018936081,,,200,89.38739156723022
10,1,0.001,0.1,2,lmmvae,0.7590991846102324,0.04292047768831253,0.17471517622470856,200,581.3643641471863
11,1,0.001,0.1,2,pca-ignore,0.9768764670713675,,,,0.828444242477417
12,1,0.001,0.1,2,vae-ignore,0.8206791447253968,,,200,76.74942398071289
13,1,0.001,0.1,2,vae-em,0.8570288170864373,,,200,89.60230255126953
14,1,0.001,0.1,3,lmmvae,0.752313335525989,0.04237135499715805,0.1733657419681549,200,581.279659986496
15,1,0.001,0.1,3,pca-ignore,0.9673385846616784,,,,0.5973305702209473
16,1,0.001,0.1,3,vae-ignore,0.8055014447404805,,,200,76.56512498855591
17,1,0.001,0.1,3,vae-em,0.8415054485307624,,,200,89.84558248519897
18,1,0.001,0.1,4,lmmvae,0.7674741234204,0.043845683336257935,0.17665374279022217,200,580.8674848079681
19,1,0.001,0.1,4,pca-ignore,0.9723804314909658,,,,0.5930724143981934
20,1,0.001,0.1,4,vae-ignore,0.8207704708492193,,,200,75.89836025238037
21,1,0.001,0.1,4,vae-em,0.8440067620799764,,,200,88.39953446388245
22,2,0.001,0.1,0,lmmvae,0.6655393649399202,0.04107928276062012,0.1502436250448227,200,582.4672524929047
23,2,0.001,0.1,0,pca-ignore,0.9668773508606228,,,,0.5920352935791016
24,2,0.001,0.1,0,vae-ignore,0.7003358785532314,,,200,78.32449650764465
25,2,0.001,0.1,0,vae-em,0.7547746645956981,,,200,90.97038626670837
26,2,0.001,0.1,1,lmmvae,0.6562638291208042,0.04056794196367264,0.15107402205467224,200,581.5744926929474
27,2,0.001,0.1,1,pca-ignore,0.9469477359361537,,,,0.6060354709625244
28,2,0.001,0.1,1,vae-ignore,0.6868916323169095,,,200,77.88849139213562
29,2,0.001,0.1,1,vae-em,0.7466991690644993,,,200,90.93305540084839
30,2,0.001,0.1,2,lmmvae,0.6521804459694023,0.04009236395359039,0.1499345600605011,200,582.0819084644318
31,2,0.001,0.1,2,pca-ignore,0.9570304929798378,,,,0.6023354530334473
32,2,0.001,0.1,2,vae-ignore,0.6887941519297253,,,200,78.57210040092468
33,2,0.001,0.1,2,vae-em,0.7474227906471131,,,200,91.83571267127991
34,2,0.001,0.1,3,lmmvae,0.6502886573571516,0.03935890272259712,0.14944130182266235,200,582.1502034664154
35,2,0.001,0.1,3,pca-ignore,0.9476534908383506,,,,0.5919351577758789
36,2,0.001,0.1,3,vae-ignore,0.6813686014956207,,,200,78.60074734687805
37,2,0.001,0.1,3,vae-em,0.7424563734199647,,,200,91.54802107810974
38,2,0.001,0.1,4,lmmvae,0.6563099554241397,0.041132424026727676,0.14916613698005676,200,581.6594004631042
39,2,0.001,0.1,4,pca-ignore,0.9525599694222575,,,,0.6192936897277832
40,2,0.001,0.1,4,vae-ignore,0.6851663868121342,,,200,78.89621496200562
41,2,0.001,0.1,4,vae-em,0.7483816036930528,,,200,92.01913809776306
42,5,0.001,0.1,0,lmmvae,0.5227774479305068,0.0363646000623703,0.11368181556463242,200,583.1403460502625
43,5,0.001,0.1,0,pca-ignore,0.9257179561716243,,,,0.6259551048278809
44,5,0.001,0.1,0,vae-ignore,0.558057388285779,,,200,78.49119591712952
45,5,0.001,0.1,0,vae-em,0.6240307913076854,,,200,91.1177966594696
46,5,0.001,0.1,1,lmmvae,0.5198389613677437,0.036503154784440994,0.11400051414966583,200,583.3949468135834
47,5,0.001,0.1,1,pca-ignore,0.907343945301305,,,,0.6130123138427734
48,5,0.001,0.1,1,vae-ignore,0.5404385452091292,,,200,78.92604684829712
49,5,0.001,0.1,1,vae-em,0.6036291568801774,,,200,91.47618389129639
50,5,0.001,0.1,2,lmmvae,0.5123808575670604,0.03654191642999649,0.11443600058555603,200,583.2248907089233
51,5,0.001,0.1,2,pca-ignore,0.9165025088661273,,,,0.6197710037231445
52,5,0.001,0.1,2,vae-ignore,0.5441044594763669,,,200,78.94495487213135
53,5,0.001,0.1,2,vae-em,0.6109121827144618,,,200,91.37817311286926
54,5,0.001,0.1,3,lmmvae,0.5121056320174467,0.03688773512840271,0.11601930856704712,200,583.1835310459137
55,5,0.001,0.1,3,pca-ignore,0.9072468386662474,,,,0.6312682628631592
56,5,0.001,0.1,3,vae-ignore,0.5348098095267563,,,200,79.13083672523499
57,5,0.001,0.1,3,vae-em,0.6058914909851353,,,200,92.90491032600403
58,5,0.001,0.1,4,lmmvae,0.5190173067467061,0.03739457577466965,0.11467327177524567,200,584.4917769432068
59,5,0.001,0.1,4,pca-ignore,0.9135480257663583,,,,0.621391773223877
60,5,0.001,0.1,4,vae-ignore,0.5426414454689048,,,200,78.77790117263794
61,5,0.001,0.1,4,vae-em,0.6109670394302734,,,200,91.3765778541565
