,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time
1,1,0.001,0.001,0,lmmvae,0.76104359,0.001397577,,200,6579.726746
2,1,0.001,0.001,1,lmmvae,0.781347972,0.001397827,,200,6581.090569
3,1,0.001,0.001,2,lmmvae,0.785857589,0.001384256,,200,6582.680896
4,1,0.001,0.001,3,lmmvae,0.780376434,0.001379031,,200,6585.873841
5,1,0.001,0.001,4,lmmvae,0.770186325,0.001424622,,200,6595.091203
6,2,0.001,0.001,0,lmmvae,0.667373162,0.001269164,,200,6617.175326
7,2,0.001,0.001,1,lmmvae,0.654768821,0.001310676,,200,6588.944932
8,2,0.001,0.001,2,lmmvae,0.655778256,0.001221595,,200,6596.043017
9,2,0.001,0.001,3,lmmvae,0.673392476,0.00122778,,200,6600.342629
10,2,0.001,0.001,4,lmmvae,0.670543783,0.001217218,,200,6601.77954
11,5,0.001,0.001,0,lmmvae,0.422190175,0.000995589,,200,6609.141983
12,5,0.001,0.001,1,lmmvae,0.418650861,0.000985074,,200,6604.999789
13,5,0.001,0.001,2,lmmvae,0.391444537,0.000984001,,200,6608.065875
14,5,0.001,0.001,3,lmmvae,0.40616452,0.000977618,,200,6608.311206
15,5,0.001,0.001,4,lmmvae,0.401644003,0.000956107,,200,6608.665991
16,1,0.001,0.001,0,pca-ignore,0.940489532,,,,1.246466637
17,1,0.001,0.001,1,pca-ignore,0.939948613,,,,1.233736753
18,1,0.001,0.001,2,pca-ignore,0.939699968,,,,1.298282146
19,1,0.001,0.001,3,pca-ignore,0.939716376,,,,1.244405746
20,1,0.001,0.001,4,pca-ignore,0.939084082,,,,1.214919567
21,2,0.001,0.001,0,pca-ignore,0.877890359,,,,1.304715872
22,2,0.001,0.001,1,pca-ignore,0.877369249,,,,1.337440014
23,2,0.001,0.001,2,pca-ignore,0.877106996,,,,1.287695885
24,2,0.001,0.001,3,pca-ignore,0.87705561,,,,1.602945805
25,2,0.001,0.001,4,pca-ignore,0.876567134,,,,1.304042101
26,5,0.001,0.001,0,pca-ignore,0.751872064,,,,1.107289553
27,5,0.001,0.001,1,pca-ignore,0.750253059,,,,1.103851795
28,5,0.001,0.001,2,pca-ignore,0.751292049,,,,1.121885538
29,5,0.001,0.001,3,pca-ignore,0.75222242,,,,1.092573166
30,5,0.001,0.001,4,pca-ignore,0.752139712,,,,1.112947941
31,1,0.001,0.001,0,vae-ignore,0.780020507,,,200,352.7313113
32,1,0.001,0.001,1,vae-ignore,0.808572716,,,200,353.186729
33,1,0.001,0.001,2,vae-ignore,0.864778879,,,200,354.7757454
34,1,0.001,0.001,3,vae-ignore,0.791307074,,,200,355.1229537
35,1,0.001,0.001,4,vae-ignore,0.797463113,,,200,354.4667807
36,2,0.001,0.001,0,vae-ignore,0.670055808,,,200,363.5626194
37,2,0.001,0.001,1,vae-ignore,0.662072179,,,200,364.3163173
38,2,0.001,0.001,2,vae-ignore,0.661566369,,,200,364.373507
39,2,0.001,0.001,3,vae-ignore,0.685460135,,,200,364.5341179
40,2,0.001,0.001,4,vae-ignore,0.676767661,,,200,363.3548124
41,5,0.001,0.001,0,vae-ignore,0.417142444,,,200,365.6069672
42,5,0.001,0.001,1,vae-ignore,0.414110922,,,200,365.2863462
43,5,0.001,0.001,2,vae-ignore,0.41656258,,,200,366.2300389
44,5,0.001,0.001,3,vae-ignore,0.423704245,,,200,365.4574761
45,5,0.001,0.001,4,vae-ignore,0.413615798,,,200,364.3770168
46,1,0.001,0.001,0,vae-embed,0.850523739,,,200,474.8571777
47,1,0.001,0.001,1,vae-embed,0.851872387,,,200,475.1840048
48,1,0.001,0.001,2,vae-embed,0.873701307,,,200,474.477983
49,1,0.001,0.001,3,vae-embed,0.879139014,,,200,475.4519501
50,1,0.001,0.001,4,vae-embed,0.842221106,,,200,473.6912189
51,2,0.001,0.001,0,vae-embed,0.780995777,,,200,483.4025247
52,2,0.001,0.001,1,vae-embed,0.806329563,,,200,482.247596
53,2,0.001,0.001,2,vae-embed,0.768547129,,,200,481.6837826
54,2,0.001,0.001,3,vae-embed,0.792204041,,,200,483.1417959
55,2,0.001,0.001,4,vae-embed,0.778144966,,,200,483.0060356
56,5,0.001,0.001,0,vae-embed,0.594392375,,,200,483.7430403
57,5,0.001,0.001,1,vae-embed,0.642668903,,,200,485.4631405
58,5,0.001,0.001,2,vae-embed,0.575618321,,,200,484.9892921
59,5,0.001,0.001,3,vae-embed,0.585201344,,,200,485.5642703
60,5,0.001,0.001,4,vae-embed,0.563771798,,,200,483.7214038
