,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
16,1,0.001,0.001,0,lmmvae,0.056087234,6.36E-05,200,226.0677009
17,1,0.001,0.001,0,pca-ignore,0.06563619,,,0.430937052
18,1,0.001,0.001,0,vae-ignore,0.060554904,,200,48.8703661
19,1,0.001,0.001,0,vae-embed,0.069079117,,200,55.79867077
20,1,0.001,0.001,1,lmmvae,0.055099313,7.29E-05,200,247.1965685
21,1,0.001,0.001,1,pca-ignore,0.065324197,,,0.429746389
22,1,0.001,0.001,1,vae-ignore,0.059524785,,200,49.21859622
23,1,0.001,0.001,1,vae-embed,0.067499387,,200,56.02855206
24,1,0.001,0.001,2,lmmvae,0.055117156,6.64E-05,200,245.7021787
25,1,0.001,0.001,2,pca-ignore,0.06569741,,,0.396746159
26,1,0.001,0.001,2,vae-ignore,0.060527568,,200,48.23362827
27,1,0.001,0.001,2,vae-embed,0.075000943,,200,54.76242685
28,1,0.001,0.001,3,lmmvae,0.055858552,8.94E-05,200,239.2180035
29,1,0.001,0.001,3,pca-ignore,0.065836825,,,0.398019314
30,1,0.001,0.001,3,vae-ignore,0.06180049,,200,49.60734081
31,1,0.001,0.001,3,vae-embed,0.074728462,,200,56.23997283
32,1,0.001,0.001,4,lmmvae,0.055609408,8.36E-05,200,242.0055928
33,1,0.001,0.001,4,pca-ignore,0.065777703,,,0.398801565
34,1,0.001,0.001,4,vae-ignore,0.061573321,,200,48.11031985
35,1,0.001,0.001,4,vae-embed,0.072901533,,200,54.76116109
36,2,0.001,0.001,0,lmmvae,0.049570207,6.48E-05,200,228.8324428
37,2,0.001,0.001,0,pca-ignore,0.060797271,,,0.458072662
38,2,0.001,0.001,0,vae-ignore,0.053468934,,200,49.28675175
39,2,0.001,0.001,0,vae-embed,0.058536237,,200,55.89722347
40,2,0.001,0.001,1,lmmvae,0.048947492,7.42E-05,200,248.8925977
41,2,0.001,0.001,1,pca-ignore,0.060493255,,,0.416346073
42,2,0.001,0.001,1,vae-ignore,0.052589491,,200,50.19715428
43,2,0.001,0.001,1,vae-embed,0.053997458,,200,57.31992793
44,2,0.001,0.001,2,lmmvae,0.049348767,7.83E-05,200,233.486659
45,2,0.001,0.001,2,pca-ignore,0.060812511,,,0.420227528
46,2,0.001,0.001,2,vae-ignore,0.05226092,,200,49.25118709
47,2,0.001,0.001,2,vae-embed,0.053230729,,200,55.70948648
48,2,0.001,0.001,3,lmmvae,0.050218403,9.11E-05,200,243.371269
49,2,0.001,0.001,3,pca-ignore,0.060954933,,,0.439651728
50,2,0.001,0.001,3,vae-ignore,0.053144136,,200,50.55974007
51,2,0.001,0.001,3,vae-embed,0.054188847,,200,57.54941463
52,2,0.001,0.001,4,lmmvae,0.05063285,0.0001274,200,246.9417803
53,2,0.001,0.001,4,pca-ignore,0.061129607,,,0.44029212
54,2,0.001,0.001,4,vae-ignore,0.0535293,,200,49.33677816
55,2,0.001,0.001,4,vae-embed,0.055910914,,200,55.88825917
56,5,0.001,0.001,0,lmmvae,0.040127645,6.57E-05,200,244.2994845
57,5,0.001,0.001,0,pca-ignore,0.053049735,,,0.438436031
58,5,0.001,0.001,0,vae-ignore,0.042233114,,200,49.42796159
59,5,0.001,0.001,0,vae-embed,0.042959263,,200,56.34663773
60,5,0.001,0.001,1,lmmvae,0.039912105,7.40E-05,200,253.5607426
61,5,0.001,0.001,1,pca-ignore,0.052607952,,,0.48304987
62,5,0.001,0.001,1,vae-ignore,0.042217687,,200,51.20433712
63,5,0.001,0.001,1,vae-embed,0.042159894,,200,57.5645268
64,5,0.001,0.001,2,lmmvae,0.039911374,6.89E-05,200,249.2987928
65,5,0.001,0.001,2,pca-ignore,0.052862142,,,0.44820118
66,5,0.001,0.001,2,vae-ignore,0.041540143,,200,49.33633566
67,5,0.001,0.001,2,vae-embed,0.041871803,,200,55.79624963
68,5,0.001,0.001,3,lmmvae,0.041093995,9.49E-05,200,250.5622997
69,5,0.001,0.001,3,pca-ignore,0.053122195,,,0.455704689
70,5,0.001,0.001,3,vae-ignore,0.042343047,,200,51.11567497
71,5,0.001,0.001,3,vae-embed,0.042515663,,200,57.85333872
72,5,0.001,0.001,4,lmmvae,0.039825957,8.92E-05,200,250.1138501
73,5,0.001,0.001,4,pca-ignore,0.053483837,,,0.418435574
74,5,0.001,0.001,4,vae-ignore,0.042092161,,200,49.57868385
75,5,0.001,0.001,4,vae-embed,0.042551323,,200,56.21050072
