,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
1,1,0.001,0.1,0,lmmvae,0.011514586,0.001573083,200,108.2246385
2,1,0.001,0.1,0,pca-ignore,0.017093506,,,0.165056229
3,1,0.001,0.1,0,pca-ohe,0.017119657,,,6.342962027
4,1,0.001,0.1,0,vae-ignore,0.02680499,,200,56.59692097
5,1,0.001,0.1,0,vae-ohe,0.026443275,,200,209.7687125
6,1,0.001,0.1,0,vae-em,0.027977036,,200,61.77071524
7,1,0.001,0.1,1,lmmvae,0.011025086,0.001470103,200,112.0756934
8,1,0.001,0.1,1,pca-ignore,0.017108688,,,0.176581144
9,1,0.001,0.1,1,pca-ohe,0.017153481,,,6.360985518
10,1,0.001,0.1,1,vae-ignore,0.024412246,,200,58.39018035
11,1,0.001,0.1,1,vae-ohe,0.025114267,,200,217.8226209
12,1,0.001,0.1,1,vae-em,0.026364874,,200,63.52915812
13,1,0.001,0.1,2,lmmvae,0.013767919,0.001068491,200,105.6246159
14,1,0.001,0.1,2,pca-ignore,0.019696079,,,0.147137403
15,1,0.001,0.1,2,pca-ohe,0.019691348,,,6.353541851
16,1,0.001,0.1,2,vae-ignore,0.028986971,,200,55.46299601
17,1,0.001,0.1,2,vae-ohe,0.028739569,,200,203.7605052
18,1,0.001,0.1,2,vae-em,0.030497532,,200,60.95055199
19,1,0.001,0.1,3,lmmvae,0.010615592,0.001505344,200,108.4915671
20,1,0.001,0.1,3,pca-ignore,0.016161481,,,0.159394264
21,1,0.001,0.1,3,pca-ohe,0.016160288,,,7.419797421
22,1,0.001,0.1,3,vae-ignore,0.023482447,,200,58.23625302
23,1,0.001,0.1,3,vae-ohe,0.02412666,,200,217.4557106
24,1,0.001,0.1,3,vae-em,0.025418863,,200,63.55474138
25,1,0.001,0.1,4,lmmvae,0.012538315,0.001976817,200,106.9131055
26,1,0.001,0.1,4,pca-ignore,0.016962753,,,0.14222765
27,1,0.001,0.1,4,pca-ohe,0.01695676,,,6.273370504
28,1,0.001,0.1,4,vae-ignore,0.0226236,,200,55.76205683
29,1,0.001,0.1,4,vae-ohe,0.023679182,,200,207.0207291
30,1,0.001,0.1,4,vae-em,0.025044663,,200,60.78033733
31,2,0.001,0.1,0,lmmvae,0.006835735,0.001136201,200,108.7333252
32,2,0.001,0.1,0,pca-ignore,0.015239163,,,0.160351038
33,2,0.001,0.1,0,pca-ohe,0.0152166,,,6.328480482
34,2,0.001,0.1,0,vae-ignore,0.021460621,,200,58.07097888
35,2,0.001,0.1,0,vae-ohe,0.025825717,,200,211.7061219
36,2,0.001,0.1,0,vae-em,0.029494875,,200,63.0949173
37,2,0.001,0.1,1,lmmvae,0.00660138,0.000983321,200,111.0713685
38,2,0.001,0.1,1,pca-ignore,0.015456136,,,0.161500454
39,2,0.001,0.1,1,pca-ohe,0.015317485,,,6.379252672
40,2,0.001,0.1,1,vae-ignore,0.020151123,,200,60.03009391
41,2,0.001,0.1,1,vae-ohe,0.025492774,,200,219.9718049
42,2,0.001,0.1,1,vae-em,0.025450066,,200,65.10730672
