,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
1,1,0.001,0.001,0,lmmvae,0.052667989,3.45E-05,200,243.8688304
2,1,0.001,0.001,0,lmmvae-sfc,0.048943912,0.000549141,200,259.2016752
3,1,0.001,0.001,0,pca-ignore,0.087908497,,,0.437749386
4,1,0.001,0.001,0,vae-ignore,0.081743729,,200,84.17808723
5,1,0.001,0.001,1,lmmvae,0.048309235,2.89E-05,200,241.0078185
6,1,0.001,0.001,1,lmmvae-sfc,0.04765126,0.000555097,200,259.470438
7,1,0.001,0.001,1,pca-ignore,0.099228845,,,0.395192862
8,1,0.001,0.001,1,vae-ignore,0.080306252,,200,84.16964674
9,1,0.001,0.001,2,lmmvae,0.047459088,2.32E-05,200,242.0700235
10,1,0.001,0.001,2,lmmvae-sfc,0.047248057,0.000532753,200,260.3000028
11,1,0.001,0.001,2,pca-ignore,0.080171017,,,0.397313833
12,1,0.001,0.001,2,vae-ignore,0.083278746,,200,84.18829107
13,1,0.001,0.001,3,lmmvae,0.047998243,3.88E-05,200,240.4214177
14,1,0.001,0.001,3,lmmvae-sfc,0.052037887,0.000576097,200,257.1701207
15,1,0.001,0.001,3,pca-ignore,0.080475237,,,0.383219719
16,1,0.001,0.001,3,vae-ignore,0.083236087,,200,85.05805087
17,1,0.001,0.001,4,lmmvae,0.047003982,3.87E-05,200,245.19256
18,1,0.001,0.001,4,lmmvae-sfc,0.047671914,0.000566936,200,261.3682258
19,1,0.001,0.001,4,pca-ignore,0.086225472,,,0.392643213
20,1,0.001,0.001,4,vae-ignore,0.080922648,,200,84.55335689
21,2,0.001,0.001,0,lmmvae,0.033504386,3.70E-05,200,245.2643411
22,2,0.001,0.001,0,lmmvae-sfc,0.033709013,0.000545607,200,262.5075064
23,2,0.001,0.001,0,pca-ignore,0.081605737,,,0.41459775
24,2,0.001,0.001,0,vae-ignore,0.067375488,,200,86.52068639
25,2,0.001,0.001,1,lmmvae,0.034444237,2.76E-05,200,245.1012568
26,2,0.001,0.001,1,lmmvae-sfc,0.034599854,0.00053717,200,262.4225192
27,2,0.001,0.001,1,pca-ignore,0.092962392,,,0.406718493
28,2,0.001,0.001,1,vae-ignore,0.066260013,,200,86.53925729
29,2,0.001,0.001,2,lmmvae,0.03324785,2.76E-05,200,244.0146785
30,2,0.001,0.001,2,lmmvae-sfc,0.033930836,0.000638454,200,263.0733542
31,2,0.001,0.001,2,pca-ignore,0.073881215,,,0.421115637
32,2,0.001,0.001,2,vae-ignore,0.064934306,,200,86.36894584
33,2,0.001,0.001,3,lmmvae,0.039187498,3.98E-05,200,243.0897338
34,2,0.001,0.001,3,lmmvae-sfc,0.040741979,0.000744186,200,260.9472804
35,2,0.001,0.001,3,pca-ignore,0.074313274,,,0.399779081
36,2,0.001,0.001,3,vae-ignore,0.065783812,,200,86.36412835
37,2,0.001,0.001,4,lmmvae,0.039156169,3.78E-05,200,239.6251531
38,2,0.001,0.001,4,lmmvae-sfc,0.035184368,0.000555775,200,258.8598361
39,2,0.001,0.001,4,pca-ignore,0.080031702,,,0.401043177
40,2,0.001,0.001,4,vae-ignore,0.064932344,,200,85.59774089
41,5,0.001,0.001,0,lmmvae,0.014525709,3.58E-05,200,240.7237728
42,5,0.001,0.001,0,lmmvae-sfc,0.012017185,0.000527596,200,262.4518363
43,5,0.001,0.001,0,pca-ignore,0.069334738,,,0.427259445
44,5,0.001,0.001,0,vae-ignore,0.026457559,,200,86.29188752
45,5,0.001,0.001,1,lmmvae,0.010807891,2.79E-05,200,241.6667659
46,5,0.001,0.001,1,lmmvae-sfc,0.012439965,0.000537758,200,261.5884681
47,5,0.001,0.001,1,pca-ignore,0.080575928,,,0.422286987
48,5,0.001,0.001,1,vae-ignore,0.026557257,,200,86.15538979
49,5,0.001,0.001,2,lmmvae,0.01931455,2.22E-05,200,240.3608007
50,5,0.001,0.001,2,lmmvae-sfc,0.012498278,0.000547916,200,262.4151547
51,5,0.001,0.001,2,pca-ignore,0.061958583,,,0.438639641
52,5,0.001,0.001,2,vae-ignore,0.025828672,,200,86.08085275
53,5,0.001,0.001,3,lmmvae,0.012334695,3.46E-05,200,242.8292568
54,5,0.001,0.001,3,lmmvae-sfc,0.012062611,0.00054722,200,261.5827539
55,5,0.001,0.001,3,pca-ignore,0.062871455,,,0.439045429
56,5,0.001,0.001,3,vae-ignore,0.026428543,,200,86.05662656
57,1,0.001,0.001,0,vae-em,0.084831387,,200,97.1728611
58,1,0.001,0.001,1,vae-em,0.082460395,,200,92.41419244
59,1,0.001,0.001,2,vae-em,0.082956125,,200,93.4137094
60,1,0.001,0.001,3,vae-em,0.083679102,,200,93.42246985
61,1,0.001,0.001,4,vae-em,0.083379568,,200,93.92578769
62,2,0.001,0.001,0,vae-em,0.075625779,,200,95.92129469
63,2,0.001,0.001,1,vae-em,0.066691971,,200,95.88185859
64,2,0.001,0.001,2,vae-em,0.065752289,,200,95.78886914
65,2,0.001,0.001,3,vae-em,0.067070774,,200,95.7888968
66,2,0.001,0.001,4,vae-em,0.066953828,,200,96.18831944
67,5,0.001,0.001,0,vae-em,0.027774505,,200,96.45527339
68,5,0.001,0.001,1,vae-em,0.028222003,,200,96.34147573
69,5,0.001,0.001,2,vae-em,0.030392123,,200,96.57413459
70,5,0.001,0.001,3,vae-em,0.028285822,,200,96.28409266
71,5,0.001,0.001,4,vae-em,0.027949202,,200,96.40780115
