,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
1,1,0.001,0.001,0,lmmvae,0.048072523,3.27E-05,200,237.9691744
2,1,0.001,0.001,0,lmmvae-sfc,0.04791443,0.000512907,200,255.4328175
3,1,0.001,0.001,0,pca-ignore,0.094357058,,,0.410938978
4,1,0.001,0.001,0,vae-ignore,0.084452662,,200,83.01931858
5,1,0.001,0.001,0,vae-em,0.120747134,,200,94.59679842
6,1,0.001,0.001,1,lmmvae,0.048618436,2.95E-05,200,232.5404627
7,1,0.001,0.001,1,lmmvae-sfc,0.051945801,0.000512691,200,253.5945139
8,1,0.001,0.001,1,pca-ignore,0.090519948,,,0.38719368
9,1,0.001,0.001,1,vae-ignore,0.081881262,,200,81.87590861
10,1,0.001,0.001,1,vae-em,0.09576586,,200,93.15999722
11,1,0.001,0.001,2,lmmvae,0.04771635,4.05E-05,200,237.3267205
12,1,0.001,0.001,2,lmmvae-sfc,0.047942015,0.00047442,200,255.4506567
13,1,0.001,0.001,2,pca-ignore,0.079805423,,,0.389231443
14,1,0.001,0.001,2,vae-ignore,0.082358978,,200,82.28940272
15,1,0.001,0.001,2,vae-em,0.094698319,,200,93.77281165
16,1,0.001,0.001,3,lmmvae,0.048996997,4.16E-05,200,238.77546
17,1,0.001,0.001,3,lmmvae-sfc,,0,200,253.7737985
18,1,0.001,0.001,3,pca-ignore,0.081958671,,,0.394293308
19,1,0.001,0.001,3,vae-ignore,0.084523376,,200,82.51047826
20,1,0.001,0.001,3,vae-em,0.098633848,,200,94.03008223
21,1,0.001,0.001,4,lmmvae,0.051136704,4.33E-05,200,235.7473483
22,1,0.001,0.001,4,lmmvae-sfc,0.051011136,0.00051302,200,256.1025512
23,1,0.001,0.001,4,pca-ignore,0.087839536,,,0.386772871
24,1,0.001,0.001,4,vae-ignore,0.084622114,,200,81.69795704
25,1,0.001,0.001,4,vae-em,0.102215165,,200,93.35108113
26,2,0.001,0.001,0,lmmvae,0.03435769,3.72E-05,200,241.9668596
27,2,0.001,0.001,0,lmmvae-sfc,0.035427709,0.000502854,200,257.4273794
28,2,0.001,0.001,0,pca-ignore,0.088334905,,,0.382815838
29,2,0.001,0.001,0,vae-ignore,0.071567159,,200,83.83208275
30,2,0.001,0.001,0,vae-em,0.090174399,,200,95.32906199
31,2,0.001,0.001,1,lmmvae,0.035416492,2.74E-05,200,237.4118996
32,2,0.001,0.001,1,lmmvae-sfc,0.034034509,0.000493796,200,253.9118419
33,2,0.001,0.001,1,pca-ignore,0.084203127,,,0.395065308
34,2,0.001,0.001,1,vae-ignore,0.069653774,,200,83.33152485
35,2,0.001,0.001,1,vae-em,0.103865624,,200,94.96114182
36,2,0.001,0.001,2,lmmvae,0.034487498,4.08E-05,200,239.8504882
37,2,0.001,0.001,2,lmmvae-sfc,0.033863636,0.000498055,200,258.0203357
38,2,0.001,0.001,2,pca-ignore,0.073438387,,,0.386921644
39,2,0.001,0.001,2,vae-ignore,0.068754508,,200,84.40278077
40,2,0.001,0.001,2,vae-em,0.093253027,,200,95.59027171
41,2,0.001,0.001,3,lmmvae,0.035633425,4.01E-05,200,237.0905044
42,2,0.001,0.001,3,lmmvae-sfc,0.034164236,0.000533999,200,261.4313903
43,2,0.001,0.001,3,pca-ignore,0.07572687,,,0.39918232
44,2,0.001,0.001,3,vae-ignore,0.071501181,,200,84.55326676
45,2,0.001,0.001,3,vae-em,0.090148999,,200,95.68720841
46,2,0.001,0.001,4,lmmvae,0.035264387,4.39E-05,200,225.9834177
47,2,0.001,0.001,4,lmmvae-sfc,0.034492501,0.000517032,200,257.5940964
48,2,0.001,0.001,4,pca-ignore,0.08157729,,,0.45896697
49,2,0.001,0.001,4,vae-ignore,0.069401479,,200,83.61261821
50,2,0.001,0.001,4,vae-em,0.089789169,,200,95.48072481
51,5,0.001,0.001,0,lmmvae,0.014726516,4.16E-05,200,240.7847121
52,5,0.001,0.001,0,lmmvae-sfc,0.012072673,0.000478748,200,262.3072016
53,5,0.001,0.001,0,pca-ignore,0.076054282,,,0.419747829
54,5,0.001,0.001,0,vae-ignore,0.028102798,,200,85.19504714
55,5,0.001,0.001,0,vae-em,0.029972909,,200,96.73171401
56,5,0.001,0.001,1,lmmvae,0.01535463,2.59E-05,200,235.7604403
57,5,0.001,0.001,1,lmmvae-sfc,0.012408103,0.000493942,200,257.6717148
58,5,0.001,0.001,1,pca-ignore,0.072908198,,,0.448462963
59,5,0.001,0.001,1,vae-ignore,0.028104654,,200,84.39243746
60,5,0.001,0.001,1,vae-em,0.029349175,,200,96.07587337
61,5,0.001,0.001,2,lmmvae,0.018140197,3.76E-05,200,229.4311314
62,5,0.001,0.001,2,lmmvae-sfc,0.014108203,0.000511874,200,260.0416934
63,5,0.001,0.001,2,pca-ignore,0.062128023,,,0.442819118
64,5,0.001,0.001,2,vae-ignore,0.025786334,,200,84.72615266
65,5,0.001,0.001,2,vae-em,0.031145654,,200,95.79579496
66,5,0.001,0.001,3,lmmvae,0.013877797,3.89E-05,200,238.6410925
67,5,0.001,0.001,3,lmmvae-sfc,0.013568704,0.000497321,200,261.3296392
68,5,0.001,0.001,3,pca-ignore,0.064221162,,,0.436805487
69,5,0.001,0.001,3,vae-ignore,0.030323537,,200,84.59864783
70,5,0.001,0.001,3,vae-em,0.02710847,,200,95.97415209
71,5,0.001,0.001,4,lmmvae,0.011120956,4.21E-05,200,242.0851502
72,5,0.001,0.001,4,lmmvae-sfc,0.011904414,0.000498192,200,257.978143
73,5,0.001,0.001,4,pca-ignore,0.069357012,,,0.452209711
74,5,0.001,0.001,4,vae-ignore,0.029038888,,200,84.56947827
75,5,0.001,0.001,4,vae-em,0.03057499,,200,96.06746101
