,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time
1,1,0.001,1,0,lmmvae,0.056790291,0.587874234,0.015875744,200,48.12114477
2,1,0.001,1,0,pca-ignore,0.908087178,,,,0.077278137
3,1,0.001,1,0,pca-ohe,0.908592227,,,,1.297594786
4,1,0.001,1,0,vae-ignore,0.497668136,,,200,24.7131052
5,1,0.001,1,0,vae-ohe,0.828495577,,,200,52.34736538
6,1,0.001,1,1,lmmvae,0.067556487,0.589026213,0.015164462,200,44.31250286
7,1,0.001,1,1,pca-ignore,0.920864763,,,,0.055039644
8,1,0.001,1,1,pca-ohe,0.918547253,,,,1.292704344
9,1,0.001,1,1,vae-ignore,0.51888661,,,200,25.00981736
10,1,0.001,1,1,vae-ohe,0.560479832,,,200,52.28300714
11,1,0.001,1,2,lmmvae,0.070262355,0.590850413,0.024967058,200,45.20357513
12,1,0.001,1,2,pca-ignore,0.914482317,,,,0.051853657
13,1,0.001,1,2,pca-ohe,0.914410613,,,,1.279769182
14,1,0.001,1,2,vae-ignore,0.593796863,,,200,25.05388141
15,1,0.001,1,2,vae-ohe,0.526046549,,,200,52.73987055
16,1,0.001,1,3,lmmvae,0.072315837,0.592215598,0.0192763,200,45.44126391
17,1,0.001,1,3,pca-ignore,0.921077785,,,,0.070724249
18,1,0.001,1,3,pca-ohe,0.913678839,,,,1.261656523
19,1,0.001,1,3,vae-ignore,0.581583883,,,200,25.1940074
20,1,0.001,1,3,vae-ohe,0.691862072,,,200,52.85918736
21,1,0.001,1,4,lmmvae,0.051513952,0.592094302,0.016812159,200,45.31293583
22,1,0.001,1,4,pca-ignore,0.917802822,,,,0.058513641
23,1,0.001,1,4,pca-ohe,0.918876111,,,,1.252768993
24,1,0.001,1,4,vae-ignore,0.507948165,,,200,25.22874928
25,1,0.001,1,4,vae-ohe,0.834274843,,,200,53.12095833
26,2,0.001,1,0,lmmvae,0.052126132,0.586677313,0.014446008,200,45.88613319
27,2,0.001,1,0,pca-ignore,0.783897597,,,,0.058660746
28,2,0.001,1,0,pca-ohe,0.799105362,,,,1.228097439
29,2,0.001,1,0,vae-ignore,0.308397402,,,200,25.86351347
30,2,0.001,1,0,vae-ohe,0.529738211,,,200,53.22053289
31,2,0.001,1,1,lmmvae,0.047973571,0.598082066,0.015033172,200,46.12458754
32,2,0.001,1,1,pca-ignore,0.79021208,,,,0.059286594
33,2,0.001,1,1,pca-ohe,0.805001737,,,,1.224296331
34,2,0.001,1,1,vae-ignore,0.258458281,,,200,25.58528757
35,2,0.001,1,1,vae-ohe,0.467886157,,,200,53.26888871
36,2,0.001,1,2,lmmvae,0.059388914,0.592970252,0.014365655,200,45.76053596
37,2,0.001,1,2,pca-ignore,0.786759108,,,,0.060839891
38,2,0.001,1,2,pca-ohe,0.802177418,,,,1.230976105
39,2,0.001,1,2,vae-ignore,0.308855157,,,200,25.97183943
40,2,0.001,1,2,vae-ohe,0.376233575,,,200,53.86611438
41,2,0.001,1,3,lmmvae,0.032315268,0.598607123,0.014654926,200,45.41223741
42,2,0.001,1,3,pca-ignore,0.788283015,,,,0.061485291
43,2,0.001,1,3,pca-ohe,0.803500457,,,,1.237856865
44,2,0.001,1,3,vae-ignore,0.294756352,,,200,25.80281377
45,2,0.001,1,3,vae-ohe,0.422014209,,,200,53.31839848
46,2,0.001,1,4,lmmvae,0.035343087,0.593347549,0.014673007,200,45.58209372
47,2,0.001,1,4,pca-ignore,0.793007999,,,,0.056617737
48,2,0.001,1,4,pca-ohe,0.809563973,,,,1.278447866
49,2,0.001,1,4,vae-ignore,0.274747544,,,200,25.61616945
50,2,0.001,1,4,vae-ohe,0.399013158,,,200,53.2715795
51,5,0.001,1,0,lmmvae,0.025747647,0.588251948,0.014825228,200,45.94460726
52,5,0.001,1,0,pca-ignore,0.5923018,,,,0.060619354
53,5,0.001,1,0,pca-ohe,0.610795178,,,,1.275789499
54,5,0.001,1,0,vae-ignore,0.049571371,,,200,25.92295885
55,5,0.001,1,0,vae-ohe,0.474701193,,,200,53.25293684
56,5,0.001,1,1,lmmvae,0.027611015,0.594594657,0.015453561,200,46.00540924
57,5,0.001,1,1,pca-ignore,0.597683166,,,,0.04825449
58,5,0.001,1,1,pca-ohe,0.616737489,,,,1.254135609
