,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time
1,1,0.001,1,0,lmmvae,0.038597507,0.596925855,0.012708663,200,57.64483285
2,1,0.001,1,0,pca-ignore,0.908325721,,,,0.095972061
3,1,0.001,1,0,pca-ohe,0.909208507,,,,1.557035923
4,1,0.001,1,0,vae-ignore,0.484444134,,,200,29.83075047
5,1,0.001,1,0,vae-ohe,0.533679825,,,200,64.05321646
6,1,0.001,1,1,lmmvae,0.033426373,0.581546128,0.013084966,200,54.82018781
7,1,0.001,1,1,pca-ignore,0.880355137,,,,0.07088232
8,1,0.001,1,1,pca-ohe,0.880940783,,,,1.524730444
9,1,0.001,1,1,vae-ignore,0.446205279,,,200,30.71856308
10,1,0.001,1,1,vae-ohe,0.522003481,,,200,65.6943574
11,1,0.001,1,2,lmmvae,0.047998436,0.590399206,0.014429659,200,54.86395836
12,1,0.001,1,2,pca-ignore,0.887963008,,,,0.065568924
13,1,0.001,1,2,pca-ohe,0.88865311,,,,1.509646893
14,1,0.001,1,2,vae-ignore,0.453591045,,,200,30.44729972
15,1,0.001,1,2,vae-ohe,0.549057958,,,200,65.07277799
16,1,0.001,1,3,lmmvae,0.048399885,0.59262985,0.012432403,200,55.35241771
17,1,0.001,1,3,pca-ignore,0.883716907,,,,0.080528021
18,1,0.001,1,3,pca-ohe,0.884600245,,,,1.518803358
19,1,0.001,1,3,vae-ignore,0.453629274,,,200,30.26962876
20,1,0.001,1,3,vae-ohe,0.560980232,,,200,64.71842217
21,1,0.001,1,4,lmmvae,0.037224939,0.591347754,0.010695112,200,54.75819182
22,1,0.001,1,4,pca-ignore,0.903828527,,,,0.07240653
23,1,0.001,1,4,pca-ohe,0.904662996,,,,1.497117996
24,1,0.001,1,4,vae-ignore,0.435892993,,,200,30.41610289
25,1,0.001,1,4,vae-ohe,0.568493343,,,200,64.84781027
26,2,0.001,1,0,lmmvae,0.012899235,0.596955419,0.009704807,200,55.77042246
27,2,0.001,1,0,pca-ignore,0.800351732,,,,0.087021589
28,2,0.001,1,0,pca-ohe,0.801954529,,,,1.517614365
29,2,0.001,1,0,vae-ignore,0.192664955,,,200,31.9047966
30,2,0.001,1,0,vae-ohe,0.27973514,,,200,67.50024462
31,2,0.001,1,1,lmmvae,0.015505999,0.582264543,0.009413693,200,56.82250237
32,2,0.001,1,1,pca-ignore,0.774156396,,,,0.074231386
33,2,0.001,1,1,pca-ohe,0.775006341,,,,1.550688505
34,2,0.001,1,1,vae-ignore,0.198970504,,,200,32.03662348
35,2,0.001,1,1,vae-ohe,0.225245454,,,200,66.3801949
36,2,0.001,1,2,lmmvae,0.011521804,0.586725593,0.009570974,200,56.10160589
37,2,0.001,1,2,pca-ignore,0.777267636,,,,0.080141544
38,2,0.001,1,2,pca-ohe,0.778503117,,,,1.537162304
39,2,0.001,1,2,vae-ignore,0.215418867,,,200,31.58430052
40,2,0.001,1,2,vae-ohe,0.263982777,,,200,66.48521781
41,2,0.001,1,3,lmmvae,0.018885311,0.590470076,0.009729299,200,56.82124949
42,2,0.001,1,3,pca-ignore,0.774645557,,,,0.071599483
43,2,0.001,1,3,pca-ohe,0.776007208,,,,1.56726265
44,2,0.001,1,3,vae-ignore,0.201027602,,,200,31.76956058
45,2,0.001,1,3,vae-ohe,0.282635776,,,200,66.75940347
46,2,0.001,1,4,lmmvae,0.011896791,0.593307555,0.009617315,200,56.1059041
47,2,0.001,1,4,pca-ignore,0.796760251,,,,0.108693123
48,2,0.001,1,4,pca-ohe,0.797663571,,,,1.552541971
49,2,0.001,1,4,vae-ignore,0.219262452,,,200,31.60311246
50,2,0.001,1,4,vae-ohe,0.259147316,,,200,66.52122426
51,5,0.001,1,0,lmmvae,0.007777476,0.583665311,0.009365539,200,56.68832231
52,5,0.001,1,0,pca-ignore,0.545134282,,,,0.067100763
53,5,0.001,1,0,pca-ohe,0.547166865,,,,1.571265459
54,5,0.001,1,0,vae-ignore,0.029188171,,,200,32.33236718
55,5,0.001,1,0,vae-ohe,0.2451464,,,200,65.96225214
56,5,0.001,1,1,lmmvae,0.007849229,0.583468974,0.009531348,200,56.19884086
57,5,0.001,1,1,pca-ignore,0.532559488,,,,0.066530943
58,5,0.001,1,1,pca-ohe,0.534336954,,,,1.508439064
59,5,0.001,1,1,vae-ignore,0.020297301,,,200,31.79734659
60,5,0.001,1,1,vae-ohe,0.307775529,,,200,66.24034476
61,5,0.001,1,2,lmmvae,0.007676238,0.581578493,0.009790339,200,56.24660063
62,5,0.001,1,2,pca-ignore,0.540160214,,,,0.067541122
63,5,0.001,1,2,pca-ohe,0.542892395,,,,1.568399191
64,5,0.001,1,2,vae-ignore,0.036530086,,,200,31.95405674
65,5,0.001,1,2,vae-ohe,0.242311972,,,200,66.69649982
66,5,0.001,1,3,lmmvae,0.007227618,0.585241914,0.009771399,200,56.53112102
67,5,0.001,1,3,pca-ignore,0.53590746,,,,0.074168205
68,5,0.001,1,3,pca-ohe,0.538464372,,,,1.562822342
69,5,0.001,1,3,vae-ignore,0.034028628,,,200,31.55960846
70,5,0.001,1,3,vae-ohe,0.315386315,,,200,66.5749054
71,5,0.001,1,4,lmmvae,0.007145754,0.587318838,0.009614876,200,56.12216449
72,5,0.001,1,4,pca-ignore,0.558489736,,,,0.061616421
73,5,0.001,1,4,pca-ohe,0.560516989,,,,1.544129133
74,5,0.001,1,4,vae-ignore,0.044408937,,,200,32.21688151
75,5,0.001,1,4,vae-ohe,0.330562957,,,200,66.39222193
76,1,0.001,1,0,svgpvae_16_2,0.564235502,,,199,153.3811722
77,1,0.001,1,1,svgpvae_16_2,0.554987648,,,199,153.1665251
78,1,0.001,1,2,svgpvae_16_2,0.577938644,,,199,152.7862055
79,1,0.001,1,3,svgpvae_16_2,0.575774602,,,199,151.9673471
80,1,0.001,1,4,svgpvae_16_2,0.578274257,,,199,152.1724594
81,2,0.001,1,0,svgpvae_16_2,0.456109421,,,199,264.2599485
82,2,0.001,1,1,svgpvae_16_2,0.451193265,,,199,265.425005
83,2,0.001,1,2,svgpvae_16_2,0.452028356,,,199,264.563468
84,2,0.001,1,3,svgpvae_16_2,0.453537531,,,199,264.8890994
85,2,0.001,1,4,svgpvae_16_2,0.455232273,,,199,263.0293668
86,5,0.001,1,0,svgpvae_16_2,0.38981527,,,199,282.2976439
87,5,0.001,1,1,svgpvae_16_2,0.385259197,,,199,284.5524785
88,5,0.001,1,2,svgpvae_16_2,0.385299013,,,199,283.4108716
89,5,0.001,1,3,svgpvae_16_2,0.388607228,,,199,284.7094865
90,5,0.001,1,4,svgpvae_16_2,0.391372468,,,199,283.6486205
91,1,0.001,1,0,vrae,1.295349438,,,200,66.9924171
92,1,0.001,1,1,vrae,1.256800373,,,200,59.85858417
93,1,0.001,1,2,vrae,1.263046289,,,200,59.68286514
94,1,0.001,1,3,vrae,1.270483568,,,200,59.75366974
95,1,0.001,1,4,vrae,1.298565227,,,200,59.60445619
96,2,0.001,1,0,vrae,1.298430675,,,200,59.89032364
97,2,0.001,1,1,vrae,1.278772505,,,200,59.31889558
98,2,0.001,1,2,vrae,1.260077174,,,200,59.34833813
99,2,0.001,1,3,vrae,1.276773143,,,200,59.54012609
100,2,0.001,1,4,vrae,1.288233158,,,200,59.4040947
101,5,0.001,1,0,vrae,1.306474116,,,200,59.60103297
102,5,0.001,1,1,vrae,1.256816395,,,200,59.66019034
103,5,0.001,1,2,vrae,1.276503752,,,200,59.37282848
104,5,0.001,1,3,vrae,1.286448142,,,200,59.35925484
105,5,0.001,1,4,vrae,1.268694702,,,200,59.40897727
106,1,0.001,1,0,vae-embed,0.470337079,,,200,36.2589736
107,1,0.001,1,1,vae-embed,0.401105653,,,200,32.16558599
108,1,0.001,1,2,vae-embed,0.449678062,,,200,32.59778142
109,1,0.001,1,3,vae-embed,0.467912265,,,200,32.85208964
110,1,0.001,1,4,vae-embed,0.441760118,,,200,32.80739117
111,2,0.001,1,0,vae-embed,0.199063361,,,200,33.62384367
112,2,0.001,1,1,vae-embed,0.204821563,,,200,33.61262178
113,2,0.001,1,2,vae-embed,0.241691912,,,200,33.28790212
114,2,0.001,1,3,vae-embed,0.213765174,,,200,33.48604274
115,2,0.001,1,4,vae-embed,0.191132623,,,200,33.32556629
116,5,0.001,1,0,vae-embed,0.041336049,,,200,33.52639484
117,5,0.001,1,1,vae-embed,0.027539248,,,200,33.63210273
118,5,0.001,1,2,vae-embed,0.020531023,,,200,33.70554447
119,5,0.001,1,3,vae-embed,0.044592638,,,200,33.53316712
120,5,0.001,1,4,vae-embed,0.020997754,,,200,33.5612843
