,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time
1,1,0.001,0.001,0,lmmvae,0.2317876380430889,0.0020930480677634478,0.0023282566107809544,200,362.4494004249573
2,1,0.001,0.001,0,pca-ignore,0.4368374625454305,,,,0.07022690773010254
3,1,0.001,0.001,0,vae-ignore,0.2378235352717274,,,200,138.36708855628967
4,1,0.001,0.001,0,vae-embed,0.3052158630749337,,,200,224.18642044067383
5,1,0.001,0.001,1,lmmvae,0.23774049219887164,0.002142662648111582,0.002363416366279125,200,350.32743072509766
6,1,0.001,0.001,1,pca-ignore,0.4426410773567746,,,,0.04930734634399414
7,1,0.001,0.001,1,vae-ignore,0.26661681908032275,,,200,138.60270285606384
8,1,0.001,0.001,1,vae-embed,0.28664534989541873,,,200,227.4937310218811
9,1,0.001,0.001,2,lmmvae,0.21160794930499013,0.0018838352989405394,0.002094254130497575,200,347.2579951286316
10,1,0.001,0.001,2,pca-ignore,0.4391140166083309,,,,0.04723525047302246
11,1,0.001,0.001,2,vae-ignore,0.22478048515055393,,,200,136.56417322158813
12,1,0.001,0.001,2,vae-embed,0.3090219951191328,,,200,221.28833389282227
13,1,0.001,0.001,3,lmmvae,0.21975896893069816,0.002059000311419368,0.0022383411414921284,200,347.3000876903534
14,1,0.001,0.001,3,pca-ignore,0.4417202474194481,,,,0.05824780464172363
15,1,0.001,0.001,3,vae-ignore,0.22343538813219732,,,200,135.86278319358826
16,1,0.001,0.001,3,vae-embed,0.307521168518864,,,200,220.70585012435913
17,1,0.001,0.001,4,lmmvae,0.2142198764584317,0.0019540050998330116,0.002144458470866084,200,347.21213245391846
18,1,0.001,0.001,4,pca-ignore,0.43718495768721055,,,,0.05163860321044922
19,1,0.001,0.001,4,vae-ignore,0.23405491342229306,,,200,138.05589413642883
20,1,0.001,0.001,4,vae-embed,0.29217291529515993,,,200,223.80568861961365
21,2,0.001,0.001,0,lmmvae,0.12655066832124612,0.0012057783314958215,0.0013800590531900525,200,344.96983790397644
22,2,0.001,0.001,0,pca-ignore,0.3631373407561617,,,,0.04114890098571777
23,2,0.001,0.001,0,vae-ignore,0.12082544275193403,,,200,132.8359899520874
24,2,0.001,0.001,0,vae-embed,0.21131045503261517,,,200,220.99670577049255
25,2,0.001,0.001,1,lmmvae,0.12015544325121853,0.001200225786305964,0.0013696587411686778,200,344.73352003097534
26,2,0.001,0.001,1,pca-ignore,0.3625590039895858,,,,0.04074597358703613
27,2,0.001,0.001,1,vae-ignore,0.14687320747368207,,,200,132.8198676109314
28,2,0.001,0.001,1,vae-embed,0.25413169184362794,,,200,221.16294384002686
29,2,0.001,0.001,2,lmmvae,0.11941638286561623,0.0012061779852956533,0.0013853979762643576,200,346.33235001564026
30,2,0.001,0.001,2,pca-ignore,0.36173186237919097,,,,0.04162859916687012
31,2,0.001,0.001,2,vae-ignore,0.12551381247637025,,,200,133.6349697113037
32,2,0.001,0.001,2,vae-embed,0.23647791074199312,,,200,220.99080681800842
33,2,0.001,0.001,3,lmmvae,0.11915329668932574,0.0011728304671123624,0.0013375688577070832,200,353.2314660549164
34,2,0.001,0.001,3,pca-ignore,0.36583834494964573,,,,0.04340767860412598
35,2,0.001,0.001,3,vae-ignore,0.13760215239758963,,,200,135.3468759059906
36,2,0.001,0.001,3,vae-embed,0.24614260427058957,,,200,224.63245820999146
37,2,0.001,0.001,4,lmmvae,0.132884157644027,0.0012739149387925863,0.0014319090405479074,200,350.634473323822
38,2,0.001,0.001,4,pca-ignore,0.3605056118340632,,,,0.03999614715576172
39,2,0.001,0.001,4,vae-ignore,0.12903862239074754,,,200,135.82838439941406
40,2,0.001,0.001,4,vae-embed,0.19484094225142332,,,200,222.58639645576477
41,5,0.001,0.001,0,lmmvae,0.02732504435127837,0.000690512708388269,0.0007932468433864415,200,350.28561568260193
42,5,0.001,0.001,0,pca-ignore,0.2734262845506178,,,,0.04670286178588867
43,5,0.001,0.001,0,vae-ignore,0.02937958858712838,,,200,133.9245159626007
44,5,0.001,0.001,0,vae-embed,0.04914342601394647,,,200,221.7518014907837
45,5,0.001,0.001,1,lmmvae,0.029884592355498105,0.0006841840804554522,0.0007832774426788092,200,351.12640857696533
46,5,0.001,0.001,1,pca-ignore,0.2764751981475221,,,,0.045879364013671875
47,5,0.001,0.001,1,vae-ignore,0.03140226634460949,,,200,134.66996383666992
48,5,0.001,0.001,1,vae-embed,0.050541611847710916,,,200,221.817453622818
49,5,0.001,0.001,2,lmmvae,0.028179475812284763,0.0006791086052544415,0.0007822153274901211,200,348.4688141345978
50,5,0.001,0.001,2,pca-ignore,0.2731719946970986,,,,0.04978203773498535
51,5,0.001,0.001,2,vae-ignore,0.03273866028458865,,,200,133.0527527332306
52,5,0.001,0.001,2,vae-embed,0.0529081618861009,,,200,229.5208101272583
53,5,0.001,0.001,3,lmmvae,0.03238696439720908,0.000666813284624368,0.0007646340527571738,200,357.341854095459
54,5,0.001,0.001,3,pca-ignore,0.27894107711493626,,,,0.05225777626037598
55,5,0.001,0.001,3,vae-ignore,0.033522260669227984,,,200,144.12480235099792
56,5,0.001,0.001,3,vae-embed,0.05753925003445585,,,200,233.13340139389038
57,5,0.001,0.001,4,lmmvae,0.030772643284831046,0.0006909681833349168,0.000786086602602154,200,358.3160252571106
58,5,0.001,0.001,4,pca-ignore,0.27356296790027695,,,,0.04522371292114258
59,5,0.001,0.001,4,vae-ignore,0.03137458852399106,,,200,139.6742503643036
60,5,0.001,0.001,4,vae-embed,0.05417641345577915,,,200,228.90865540504456
