,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time
1,1,0.001,0.001,0,pca-ignore,0.932643222,,,,1.650115013
2,1,0.001,0.001,1,pca-ignore,0.934176221,,,,1.608232975
3,1,0.001,0.001,2,pca-ignore,0.934097029,,,,1.694763422
4,1,0.001,0.001,3,pca-ignore,0.931534596,,,,1.619950056
5,1,0.001,0.001,4,pca-ignore,0.932255232,,,,1.608417273
6,2,0.001,0.001,0,pca-ignore,0.871850435,,,,1.737761259
7,2,0.001,0.001,1,pca-ignore,0.873287791,,,,1.740087032
8,2,0.001,0.001,2,pca-ignore,0.872936911,,,,1.716747761
9,2,0.001,0.001,3,pca-ignore,0.870211639,,,,1.731514454
10,2,0.001,0.001,4,pca-ignore,0.871880348,,,,1.701349735
11,5,0.001,0.001,0,pca-ignore,0.742467491,,,,1.61649251
12,5,0.001,0.001,1,pca-ignore,0.744480567,,,,1.499202967
13,5,0.001,0.001,2,pca-ignore,0.743898474,,,,1.537047863
14,5,0.001,0.001,3,pca-ignore,0.741258046,,,,1.520174503
15,5,0.001,0.001,4,pca-ignore,0.743166039,,,,1.474823475
16,1,0.001,0.001,0,vae-ignore,0.77429754,,,200,441.0657384
17,1,0.001,0.001,1,vae-ignore,0.7803777,,,200,441.4135392
18,1,0.001,0.001,2,vae-ignore,0.782996256,,,200,442.4143629
19,1,0.001,0.001,3,vae-ignore,0.75241026,,,200,442.2356644
20,1,0.001,0.001,4,vae-ignore,0.778346377,,,200,449.9403052
21,2,0.001,0.001,0,vae-ignore,0.630024154,,,200,459.893815
22,2,0.001,0.001,1,vae-ignore,0.643181356,,,200,462.1871219
23,2,0.001,0.001,2,vae-ignore,0.632389509,,,200,460.579941
24,2,0.001,0.001,3,vae-ignore,0.639268681,,,200,457.5549605
25,2,0.001,0.001,4,vae-ignore,0.641830897,,,200,455.066426
26,5,0.001,0.001,0,vae-ignore,0.387233195,,,200,459.9491901
27,5,0.001,0.001,1,vae-ignore,0.392082043,,,200,458.1723087
28,5,0.001,0.001,2,vae-ignore,0.377978164,,,200,456.636003
29,5,0.001,0.001,3,vae-ignore,0.392611378,,,200,455.75157
30,5,0.001,0.001,4,vae-ignore,0.374963216,,,200,457.546066
31,1,0.001,0.001,0,lmmvae,0.751771851,0.00166817,,200,8160.048091
32,1,0.001,0.001,1,lmmvae,0.758270703,0.001650691,,200,8133.67208
33,1,0.001,0.001,2,lmmvae,0.755910911,0.001644998,,200,8170.376254
34,1,0.001,0.001,3,lmmvae,0.7391736,0.001636214,,200,8148.369817
35,1,0.001,0.001,4,lmmvae,0.771680025,0.001662702,,200,8130.037657
36,2,0.001,0.001,0,lmmvae,0.629997809,0.001484113,,200,8134.292225
37,2,0.001,0.001,1,lmmvae,0.639898224,0.001489312,,200,8124.053643
38,2,0.001,0.001,2,lmmvae,0.630506237,0.001487453,,200,8120.628403
39,2,0.001,0.001,3,lmmvae,0.636126657,0.001492783,,200,8124.999939
40,2,0.001,0.001,4,lmmvae,0.635178332,0.001509532,,200,8105.636509
41,5,0.001,0.001,0,lmmvae,0.378133116,0.001239247,,200,8261.057773
42,5,0.001,0.001,1,lmmvae,0.373907913,0.001134409,,200,8249.067626
43,5,0.001,0.001,2,lmmvae,0.378746275,0.001132607,,200,8258.153008
44,5,0.001,0.001,3,lmmvae,0.370726454,0.001136938,,200,8255.821571
45,5,0.001,0.001,4,lmmvae,0.370433928,0.001143183,,200,8254.059632
