d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
1,0.001,0.001,0,lmmvae,0.008372406,9.17E-06,200,118.6882212
1,0.001,0.001,1,lmmvae,0.008472369,2.90E-07,200,114.5666792
1,0.001,0.001,2,lmmvae,0.008295736,1.40E-06,200,109.2768555
1,0.001,0.001,3,lmmvae,0.008225041,7.11E-07,200,108.9939585
1,0.001,0.001,4,lmmvae,0.008424556,1.46E-07,200,109.1596251
2,0.001,0.001,0,lmmvae,0.005205664,1.09E-05,200,114.8444092
2,0.001,0.001,1,lmmvae,0.005358093,3.49E-07,200,110.4358399
2,0.001,0.001,2,lmmvae,0.005048627,2.30E-07,200,110.1804404
2,0.001,0.001,3,lmmvae,0.005139731,1.36E-06,200,110.4555602
2,0.001,0.001,4,lmmvae,0.005164078,1.73E-07,200,110.7263248
5,0.001,0.001,0,lmmvae,0.004005968,7.98E-06,200,117.2439086
5,0.001,0.001,1,lmmvae,0.004122936,4.10E-07,200,110.2729285
5,0.001,0.001,2,lmmvae,0.004035443,1.19E-06,200,110.8504193
5,0.001,0.001,3,lmmvae,0.00391956,3.55E-07,200,110.4184196
5,0.001,0.001,4,lmmvae,0.004016909,9.03E-07,200,110.9312117
1,0.001,0.001,0,lmmvae-sfc,0.008431667,0.000268081,200,97.37572885
1,0.001,0.001,1,lmmvae-sfc,0.008350815,0.000255831,200,98.19053531
1,0.001,0.001,2,lmmvae-sfc,0.00839944,0.000265051,200,97.26337409
1,0.001,0.001,3,lmmvae-sfc,0.007921087,0.000266003,200,96.70781589
1,0.001,0.001,4,lmmvae-sfc,0.007826591,0.00026725,200,96.38179493
2,0.001,0.001,0,lmmvae-sfc,0.00540146,0.00026479,200,98.45907187
2,0.001,0.001,1,lmmvae-sfc,0.00516699,0.000250071,200,97.86261916
2,0.001,0.001,2,lmmvae-sfc,0.005312883,0.00025841,200,99.57015538
2,0.001,0.001,3,lmmvae-sfc,0.005133346,0.000259337,200,99.36796451
2,0.001,0.001,4,lmmvae-sfc,0.005348113,0.000261122,200,100.0409448
5,0.001,0.001,0,lmmvae-sfc,0.004081782,0.00025674,200,99.29417467
5,0.001,0.001,1,lmmvae-sfc,0.004055477,0.000259677,200,100.0054669
5,0.001,0.001,2,lmmvae-sfc,0.003939734,0.00025829,200,100.7433965
5,0.001,0.001,3,lmmvae-sfc,0.003989163,0.000260834,200,100.5194919
1,0.001,0.001,0,pca-ignore,0.015695537,,,0.182575703
1,0.001,0.001,1,pca-ignore,0.015689677,,,0.231155157
1,0.001,0.001,2,pca-ignore,0.015694624,,,0.186609745
1,0.001,0.001,3,pca-ignore,0.015442055,,,0.152232647
1,0.001,0.001,4,pca-ignore,0.015471027,,,0.161990881
2,0.001,0.001,0,pca-ignore,0.014051815,,,0.18957305
2,0.001,0.001,1,pca-ignore,0.014102488,,,0.18761301
2,0.001,0.001,2,pca-ignore,0.014083312,,,0.173264503
2,0.001,0.001,3,pca-ignore,0.013872977,,,0.166051388
2,0.001,0.001,4,pca-ignore,0.013886978,,,0.178126335
5,0.001,0.001,0,pca-ignore,0.009727361,,,0.158811092
5,0.001,0.001,1,pca-ignore,0.009651032,,,0.164289951
5,0.001,0.001,2,pca-ignore,0.009524687,,,0.156148911
5,0.001,0.001,3,pca-ignore,0.009539712,,,0.158499956
1,0.001,0.001,0,pca-ohe,0.015623757,,,8.433768749
1,0.001,0.001,1,pca-ohe,0.015612108,,,8.374896049
1,0.001,0.001,2,pca-ohe,0.015624545,,,8.051862478
1,0.001,0.001,3,pca-ohe,0.015370887,,,7.934737444
1,0.001,0.001,4,pca-ohe,0.015394484,,,7.943564892
2,0.001,0.001,0,pca-ohe,0.013937055,,,8.009518147
2,0.001,0.001,1,pca-ohe,0.014001546,,,8.010910511
2,0.001,0.001,2,pca-ohe,0.01397242,,,8.110290527
2,0.001,0.001,3,pca-ohe,0.013763801,,,8.177177906
2,0.001,0.001,4,pca-ohe,0.01377003,,,8.221820831
5,0.001,0.001,0,pca-ohe,0.010098137,,,7.908442974
5,0.001,0.001,1,pca-ohe,0.010030766,,,8.168482065
5,0.001,0.001,2,pca-ohe,0.009955178,,,8.241997004
5,0.001,0.001,3,pca-ohe,0.009905765,,,8.273028851
1,0.001,0.001,0,svgpvae_16_2,0.017595207,,199,309.9816918
1,0.001,0.001,1,svgpvae_16_2,0.017780095,,199,303.0816395
1,0.001,0.001,2,svgpvae_16_2,0.017759222,,199,302.9354591
1,0.001,0.001,3,svgpvae_16_2,0.018109294,,199,302.7771273
1,0.001,0.001,4,svgpvae_16_2,0.017523441,,199,302.1721563
2,0.001,0.001,0,svgpvae_16_2,0.016425511,,199,539.1712267
2,0.001,0.001,1,svgpvae_16_2,0.016799557,,199,537.5915098
2,0.001,0.001,2,svgpvae_16_2,0.017418252,,199,536.538399
2,0.001,0.001,3,svgpvae_16_2,0.016687043,,199,537.0354874
2,0.001,0.001,4,svgpvae_16_2,0.017097656,,199,533.4597917
5,0.001,0.001,0,svgpvae_16_2,0.016880241,,199,1230.280244
5,0.001,0.001,1,svgpvae_16_2,0.016362139,,199,1247.139472
5,0.001,0.001,2,svgpvae_16_2,0.016611628,,199,1233.127873
5,0.001,0.001,3,svgpvae_16_2,0.016133536,,199,1233.462899
5,0.001,0.001,4,svgpvae_16_2,0.016071037,,199,1230.684779
1,0.001,0.001,0,vae-em,0.018250975,,200,65.45723319
1,0.001,0.001,1,vae-em,0.018483937,,200,65.29371691
1,0.001,0.001,2,vae-em,0.018490331,,200,64.85321379
1,0.001,0.001,3,vae-em,0.017998386,,200,65.04801822
1,0.001,0.001,4,vae-em,0.0182797,,200,64.48177171
2,0.001,0.001,0,vae-em,0.011893541,,200,66.00681162
2,0.001,0.001,1,vae-em,0.011039875,,200,66.83458018
2,0.001,0.001,2,vae-em,0.011738106,,200,66.99401951
2,0.001,0.001,3,vae-em,0.01086905,,200,67.37252402
2,0.001,0.001,4,vae-em,0.011244015,,200,67.08242941
5,0.001,0.001,0,vae-em,0.004482289,,200,67.35420227
5,0.001,0.001,1,vae-em,0.004072299,,200,67.57988358
5,0.001,0.001,2,vae-em,0.004174052,,200,67.84922242
5,0.001,0.001,3,vae-em,0.004237266,,200,66.92705369
1,0.001,0.001,0,vae-ignore,0.018370267,,200,59.73520994
1,0.001,0.001,1,vae-ignore,0.018462987,,200,59.64723992
1,0.001,0.001,2,vae-ignore,0.018529551,,200,59.31194282
1,0.001,0.001,3,vae-ignore,0.01815097,,200,58.96721292
1,0.001,0.001,4,vae-ignore,0.01886608,,200,58.93175554
2,0.001,0.001,0,vae-ignore,0.01257736,,200,60.82141376
2,0.001,0.001,1,vae-ignore,0.012239734,,200,61.05581808
2,0.001,0.001,2,vae-ignore,0.012269456,,200,61.84516335
2,0.001,0.001,3,vae-ignore,0.01268112,,200,61.84200478
2,0.001,0.001,4,vae-ignore,0.012247143,,200,61.78346181
5,0.001,0.001,0,vae-ignore,0.004520745,,200,62.01882768
5,0.001,0.001,1,vae-ignore,0.004195951,,200,61.44962668
5,0.001,0.001,2,vae-ignore,0.004108278,,200,62.00148582
5,0.001,0.001,3,vae-ignore,0.004392154,,200,62.23460722
1,0.001,0.001,0,vae-ohe,0.019153104,,200,256.8480039
1,0.001,0.001,1,vae-ohe,0.019125317,,200,253.0558789
1,0.001,0.001,2,vae-ohe,0.019179507,,200,257.5962145
1,0.001,0.001,3,vae-ohe,0.018711938,,200,257.6927371
1,0.001,0.001,4,vae-ohe,0.019230311,,200,256.6543288
2,0.001,0.001,0,vae-ohe,0.018652171,,200,256.5947704
2,0.001,0.001,1,vae-ohe,0.018591459,,200,257.0313275
2,0.001,0.001,2,vae-ohe,0.018803993,,200,261.5849414
2,0.001,0.001,3,vae-ohe,0.018730335,,200,262.509912
2,0.001,0.001,4,vae-ohe,0.018471503,,200,261.7351298
5,0.001,0.001,0,vae-ohe,0.018898288,,200,262.6355391
5,0.001,0.001,1,vae-ohe,0.019163853,,200,261.1565897
5,0.001,0.001,2,vae-ohe,0.019116891,,200,264.7447622
5,0.001,0.001,3,vae-ohe,0.018426334,,200,263.4262786
