,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
1,1,0.001,0.001,0,lmmvae,0.008467662,1.33E-05,200,168.4473839
2,1,0.001,0.001,0,pca-ignore,0.014769891,,,0.168078184
3,1,0.001,0.001,0,pca-ohe,0.014736135,,,7.821986914
4,1,0.001,0.001,0,vae-ignore,0.017199135,,200,60.35697508
5,1,0.001,0.001,0,vae-ohe,0.017703191,,200,228.853497
6,1,0.001,0.001,0,vae-em,0.018186628,,200,65.98488379
7,1,0.001,0.001,1,lmmvae,0.009441534,9.08E-06,200,116.4283333
8,1,0.001,0.001,1,pca-ignore,0.016215814,,,0.173172712
9,1,0.001,0.001,1,pca-ohe,0.016169592,,,7.309277296
10,1,0.001,0.001,1,vae-ignore,0.019857963,,200,60.83360529
11,1,0.001,0.001,1,vae-ohe,0.019469976,,200,225.8090634
12,1,0.001,0.001,1,vae-em,0.020862433,,200,66.38687491
13,1,0.001,0.001,2,lmmvae,0.008689792,7.33E-06,200,114.9937935
14,1,0.001,0.001,2,pca-ignore,0.016045111,,,0.155466557
15,1,0.001,0.001,2,pca-ohe,0.016028214,,,7.139616489
16,1,0.001,0.001,2,vae-ignore,0.018620215,,200,58.85060883
17,1,0.001,0.001,2,vae-ohe,0.01988665,,200,218.7532072
18,1,0.001,0.001,2,vae-em,0.020425457,,200,64.28104687
19,1,0.001,0.001,3,lmmvae,0.007011125,1.01E-05,200,104.8483291
20,1,0.001,0.001,3,pca-ignore,0.015165056,,,0.14793849
21,1,0.001,0.001,3,pca-ohe,0.015160744,,,7.017060757
22,1,0.001,0.001,3,vae-ignore,0.019856495,,200,57.99597621
23,1,0.001,0.001,3,vae-ohe,0.020022782,,200,215.0657847
24,1,0.001,0.001,3,vae-em,0.021477661,,200,63.19990325
25,1,0.001,0.001,4,lmmvae,0.008905388,1.12E-05,200,103.9501576
26,1,0.001,0.001,4,pca-ignore,0.016006764,,,0.14057374
27,1,0.001,0.001,4,pca-ohe,0.015992701,,,6.934719324
28,1,0.001,0.001,4,vae-ignore,0.019159717,,200,56.12205386
29,1,0.001,0.001,4,vae-ohe,0.019555352,,200,207.6342046
30,1,0.001,0.001,4,vae-em,0.020100816,,200,61.18832135
31,2,0.001,0.001,0,lmmvae,0.005311604,7.89E-06,200,117.8503008
32,2,0.001,0.001,0,pca-ignore,0.013492847,,,0.174546719
33,2,0.001,0.001,0,pca-ohe,0.013445339,,,7.484348297
34,2,0.001,0.001,0,vae-ignore,0.012910349,,200,62.68417478
35,2,0.001,0.001,0,vae-ohe,0.017113285,,200,232.3093522
36,2,0.001,0.001,0,vae-em,0.020316528,,200,67.75985599
37,2,0.001,0.001,1,lmmvae,0.00531577,9.11E-06,200,112.2652442
38,2,0.001,0.001,1,pca-ignore,0.014456194,,,0.178241014
39,2,0.001,0.001,1,pca-ohe,0.014182696,,,7.453543186
40,2,0.001,0.001,1,vae-ignore,0.01538107,,200,62.67154408
41,2,0.001,0.001,1,vae-ohe,0.019670581,,200,228.8714306
42,2,0.001,0.001,1,vae-em,0.021146696,,200,68.27644014
43,2,0.001,0.001,2,lmmvae,0.006076643,5.88E-06,200,111.6454868
