mode,N,p,d,sig2e,beta,re_prior,q0,q1,q2,sig2b0,sig2b1,sig2b2,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,2.251844739,,,,,,1.049955368,140.1151928,,,,140.0584052,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,0,pca-ohe,2.257849432,,,,,,214.1858714,12906.22738,,,,13257.79381,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,2.141213008,,,,,200,97.32501101,214.1760559,214.1173248,5.856744766,,214.179718,214.1211243,5.85131216,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,0,vae-embed,2.147025124,,,,,200,145.4697616,213.9445801,213.8895721,5.487930298,,214.7569275,214.7024994,5.450499058,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.229397273,,0.000404309,0.081771433,0.619448602,200,225.8821714,110.9558105,104.0366287,4.62276268,687.2994995,93.14422607,86.2266922,4.613914967,687.1378784
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,1,pca-ignore,2.313718511,,,,,,1.014043331,138.3765169,,,,138.2053666,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,1,pca-ohe,2.316167473,,,,,,213.7636464,12903.25371,,,,13226.13718,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,2.114615523,,,,,200,94.11775827,211.6036224,211.5447235,5.889377594,,211.5187531,211.460144,5.85614109,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,1,vae-embed,2.122995511,,,,,200,138.0804975,211.9402466,211.8749237,6.545066357,,212.3650513,212.2999268,6.525784969,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.243086804,,0.000430748,0.086151503,0.591449916,200,227.8414459,112.4383011,105.4887238,4.865228176,690.0802612,94.13591003,87.18972778,4.826106071,689.7858276
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,2,pca-ignore,2.364000654,,,,,,0.988016367,138.3337991,,,,138.2654662,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,2,pca-ohe,2.366464575,,,,,,218.8957996,12906.05893,,,,13270.64065,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,2,vae-ignore,2.172314824,,,,,200,93.15816021,217.0395813,216.9771271,6.242075443,,217.2927551,217.2300568,6.254946709,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,2,vae-embed,2.187324395,,,,,200,140.4319763,217.7360535,217.6596985,7.586338043,,218.8144073,218.7387695,7.554878235,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,2,lmmvae,1.337435708,,0.000431182,0.083352067,0.643604457,200,226.7958791,120.4666595,113.4464493,4.877149582,697.1480713,100.5423431,93.52602386,4.879222393,696.7573242
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,3,pca-ignore,2.319746689,,,,,,0.854943275,139.7493625,,,,139.8307336,,,
