mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,2.267913995,,,,,,,,0.974356651,140.8177556,,,,159.4878942,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,2.044094241,,,,,,,200,94.1762948,149.4599762,149.4525452,7.733006954,,204.6821594,204.6743774,7.754045486,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-embed,2.08622503,,,,,,,200,116.7515717,153.2681274,153.2601013,8.31145668,,208.9016724,208.8934326,8.291519165,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.196027406,,0.41156283,0.04465609,0.043898955,,,200,212.448724,99.38103485,98.36190033,8.423517227,1010.74469,96.98214722,95.93287659,8.421608925,1040.8479
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,pca-ignore,2.223333087,,,,,,,,1.06644702,140.027639,,,,158.6673762,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,2.221553562,,,,,,,200,94.44078922,167.5742188,167.5036926,70.37788391,,222.4420013,222.3712006,70.92606354,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-embed,2.042966976,,,,,,,200,112.9773543,149.1313782,149.1242981,6.970837593,,204.5296783,204.522644,6.999705315,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.190157052,,0.410352141,0.048608974,0.049040228,,,200,212.5855017,99.43798828,98.42675781,7.454946041,1003.847473,96.27120209,95.22994232,7.495149136,1033.729858
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,pca-ignore,2.266539992,,,,,,,,1.095033169,139.647767,,,,158.4140192,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-ignore,2.069175777,,,,,,,200,93.65198159,151.0057983,150.9839325,22.04398346,,207.2150574,207.1931763,21.88706779,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-embed,2.067386785,,,,,,,200,158.8203599,150.6970825,150.6881256,9.372338295,,207.033905,207.024704,9.324457169,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,lmmvae,1.19904481,,0.412855148,0.048068829,0.0483629,,,200,211.8401575,99.60982513,98.5898056,7.835245132,1012.21167,97.10094452,96.04972076,7.857050896,1043.269409
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,pca-ignore,2.360756158,,,,,,,,1.100293636,139.7456839,,,,158.2081622,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-ignore,2.059625832,,,,,,,200,94.13532138,149.861618,149.8512573,10.40470505,,206.2319336,206.2214813,10.45462132,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-embed,2.086545872,,,,,,,200,113.6052651,152.0717926,152.0455017,26.19709015,,208.9313049,208.9052124,26.07072258,
