mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
longitudinal,100000,100,1,1,0.01,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,1.775298555,,,,,,,,1.079985142,138.717371,,,,138.7432108,,,
longitudinal,100000,100,1,1,0.01,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,1.600126112,,,,,,,200,98.2381556,159.869751,159.8079987,6.161215305,,160.1559601,160.0944061,6.155249596,
longitudinal,100000,100,1,1,0.01,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-embed,1.620368124,,,,,,,200,113.4249027,161.7080994,161.6454468,6.258022308,,162.1796265,162.1173096,6.218329906,
longitudinal,100000,100,1,1,0.01,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.094145199,,0.435747564,0.03183502,0.011531783,,,200,207.4425435,108.4814606,103.3197098,7.104715824,509.0791626,105.2015228,100.0385208,7.080431461,509.2133484
longitudinal,100000,100,1,1,0.01,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,pca-ignore,1.750217003,,,,,,,,1.063324213,140.4821058,,,,140.3272247,,,
longitudinal,100000,100,1,1,0.01,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.593609145,,,,,,,200,91.83004475,159.5517426,159.4897614,6.208920002,,159.5046387,159.442627,6.194480419,
longitudinal,100000,100,1,1,0.01,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-embed,1.597325057,,,,,,,200,110.5504274,159.8588867,159.8043976,5.478550911,,159.8724976,159.8178101,5.471868038,
longitudinal,100000,100,1,1,0.01,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.172338092,,0.439142317,0.034357067,0.012834371,,,200,208.1130428,116.0938034,110.9077225,8.650518417,509.9334412,112.2081757,107.0280609,8.647229195,509.363739
longitudinal,100000,100,1,1,0.01,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,pca-ignore,1.778765987,,,,,,,,1.004877329,139.8422554,,,,139.7808261,,,
longitudinal,100000,100,1,1,0.01,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-ignore,1.602427621,,,,,,,200,92.5641737,160.0282593,159.9555817,7.280679703,,160.3965302,160.3252563,7.121304035,
