mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ignore,1.468857316,,,,,1.199172735,141.0341595,,,,141.0282138,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-ignore,1.274952667,,,,200,95.37274408,127.8359528,127.8335266,24.80340385,,128.0902252,128.0877075,25.26148605,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-embed,1.293342899,,,,200,114.8982787,126.4776001,126.4739838,33.98165131,,129.8985138,129.8951569,33.66897964,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,lmmvae,1.015131191,,0.227077231,,200,193.0837359,121.1707764,120.9054108,11.48745346,2641.872314,118.2581635,117.9929657,11.66858006,2641.588135
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ignore,1.486168831,,,,,1.896559954,140.6670581,,,,140.4804914,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.248849006,,,,200,94.31737113,125.3918533,125.3897018,18.48927879,,125.3740463,125.3722229,17.87068558,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-embed,1.304423707,,,,200,112.1593432,127.6660614,127.6504593,156.147171,,131.0110779,130.99617,148.9508667,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,lmmvae,1.031933244,,0.270538867,,200,192.3508384,130.0036926,129.7107697,40.68517303,2889.938721,125.9916229,125.6979218,38.85710144,2898.7771
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ignore,1.505252505,,,,,1.848333836,141.1452297,,,,141.2259554,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-ignore,1.253314106,,,,200,94.34288645,125.7635117,125.7618027,17.76556015,,125.8950653,125.8932114,17.86341286,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-embed,1.327687111,,,,200,112.8037322,131.0954132,131.0715027,238.8530426,,133.4489594,133.4250336,239.3229065,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,lmmvae,1.02466226,,0.251856446,,200,191.2454655,124.8406754,124.5504532,20.79169464,2880.766113,121.737915,121.447998,20.98448563,2878.705566
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,pca-ignore,1.442806972,,,,,1.886632919,141.2761891,,,,141.2369488,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-ignore,1.253061602,,,,200,93.85712314,125.8198776,125.8179779,18.89986992,,125.986084,125.9841843,18.992836,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-embed,1.311544819,,,,200,111.8092294,127.1209106,127.1135788,75.74217224,,131.8290558,131.8219452,72.34812927,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,lmmvae,1.01540135,,0.235936821,,200,192.224791,121.0892639,120.8583145,18.35196877,2290.074219,118.4772491,118.2511597,18.29023552,2243.741699
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,pca-ignore,1.541775494,,,,,1.791365862,141.5392066,,,,141.5195844,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-ignore,1.521859913,,,,200,94.77179408,152.8921661,152.8849945,71.92266846,,152.8606262,152.8535004,72.01726532,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-embed,1.306196882,,,,200,112.5196419,126.2586517,126.2518616,71.05280304,,131.1487274,131.1424561,62.10748291,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,lmmvae,1.037555593,,0.261478662,,200,191.5484502,129.1657257,128.8564758,65.12812805,3027.176758,125.3622971,125.0555496,65.73563385,3002.47998
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ignore,1.613509453,,,,,1.05080533,138.0920892,,,,138.0234456,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-ignore,1.226915077,,,,200,96.2993474,122.2498474,122.2471771,26.86906624,,122.8556747,122.8531647,26.69275665,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-embed,1.53340628,,,,200,114.3958364,146.2714844,146.2310486,405.2824707,,153.9979095,153.9574585,402.9605713,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,lmmvae,1.068844723,,0.272214621,,200,193.2055264,130.8952789,130.618988,128.8781433,2633.047119,128.2153625,127.9410477,127.8536377,2615.825684
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ignore,1.843390109,,,,,1.158838987,136.6185145,,,,136.7240718,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.299647598,,,,200,97.65264773,129.9741211,129.9691162,48.2641449,,130.6313934,130.6264343,47.96125793,
