mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ignore,1.422126569,,,,,1.22578001,140.3262387,,,,140.1376748,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-ignore,1.234177108,,,,200,112.08111,123.7798157,123.7757111,41.56399155,,123.9487152,123.9445648,40.89936829,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-embed,1.325463219,,,,200,129.8646958,132.7931366,132.774765,184.5727539,,133.2238617,133.2056732,182.0224457,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,lmmvae,1.024268591,,0.281453013,,200,216.648895,123.8738098,123.583786,14.54135227,2885.693359,124.04776,123.7585831,14.23297501,2877.187012
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ignore,1.395563507,,,,,1.700624943,140.463127,,,,140.4472687,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.218700297,,,,200,105.1258442,122.005043,122.0020676,29.4717617,,122.3117523,122.3087692,30.19844055,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-embed,1.2751634,,,,200,132.6831234,124.8315506,124.8213577,105.3447495,,128.0539093,128.0435028,105.4317245,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,lmmvae,1.043100617,,0.332877189,,200,216.8499498,123.9382095,123.5627747,37.25032043,3719.115234,124.2807312,123.9019928,38.12081528,3748.399658
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ignore,1.529025574,,,,,1.774766207,141.4361777,,,,141.464124,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-ignore,1.258412145,,,,200,105.3824251,126.358345,126.3503036,80.68798828,,126.3542099,126.3462296,79.78634644,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-embed,1.329320111,,,,200,132.1069553,131.1729584,131.1700592,29.07257652,,133.4163971,133.4135437,28.68288231,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,lmmvae,1.075265488,,0.34942776,,200,216.474694,130.1337128,129.7272797,44.56566238,4019.17749,130.6136169,130.2097321,44.17485428,3994.948486
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,pca-ignore,1.469625517,,,,,1.239054918,141.1041045,,,,141.1732649,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-ignore,1.232736484,,,,200,105.7759979,123.2877121,123.2840881,37.38169479,,123.6599045,123.6561966,37.25585175,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-embed,1.332264226,,,,200,127.3263063,132.5435486,132.5334473,98.67403412,,133.8888245,133.8790588,96.84220123,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,lmmvae,1.034863583,,0.3362059,,200,219.8873537,127.0870819,126.7401962,51.73365784,3417.334961,127.3686676,127.0225372,51.42603683,3411.483643
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,pca-ignore,1.475185189,,,,,1.254070759,140.9629237,,,,141.0579902,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-ignore,1.211957295,,,,200,106.2268875,121.1829147,121.1816101,13.41597557,,121.5481186,121.5467377,13.36820126,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-embed,1.275016753,,,,200,125.4699159,124.7648163,124.7611465,38.79578018,,127.9617615,127.9580383,36.90147018,
spatial,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,lmmvae,1.041085693,,0.380922228,,200,214.161181,132.3644714,131.9675446,68.24578857,3901.886963,133.2290955,132.824295,67.51476288,3979.948975
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ignore,1.686280099,,,,,1.337274075,137.6900507,,,,137.6530192,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-ignore,1.300877094,,,,200,108.3167193,129.9411163,129.9379425,30.69880867,,130.4634552,130.4603424,30.75506973,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-embed,1.356027363,,,,200,128.4077263,127.0098724,127.0033188,63.57234192,,135.9226379,135.9162903,63.06755447,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,lmmvae,1.15273864,,0.309644818,,200,220.2343497,136.4620056,136.1351013,156.0982361,3114.416748,137.1288147,136.8069,154.1757813,3064.590576
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ignore,1.599128761,,,,,1.227076292,137.6573419,,,,137.7498986,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.233496846,,,,200,107.8402672,123.0435333,123.0408859,27.76442146,,123.7439499,123.7411194,27.85719299,
