,mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
1,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,7.383617165,,,,,,,,0.427462339
2,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ohe,7.39459814,,,,,,,,7.141771793
3,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,6.130631615,,,,,,,200,63.19737482
4,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ohe,6.0560306,,,,,,,200,139.8944798
5,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vrae,7.760568697,,,,,,,200,1040.699839
6,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.663558954,,0.166449159,0.1375985,0.237744689,,,200,110.2954144
7,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,svgpvae-10-16-2,6.714433699,,,,,,,199,205.7763813
8,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,pca-ignore,8.14493896,,,,,,,,0.442152739
9,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,pca-ohe,8.178789524,,,,,,,,7.566294432
10,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,6.607703717,,,,,,,200,57.30210066
11,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ohe,6.147321219,,,,,,,200,150.9060962
12,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vrae,8.488737247,,,,,,,200,1199.009096
13,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.705287137,,0.159280241,0.120736569,0.228596538,,,200,112.6681929
14,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,svgpvae-10-16-2,7.213202356,,,,,,,199,204.3793066
15,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,pca-ignore,8.275581133,,,,,,,,0.400388241
16,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,pca-ohe,8.302144815,,,,,,,,7.835330248
17,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-ignore,6.471604183,,,,,,,200,57.05751729
18,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-ohe,6.564703495,,,,,,,200,150.0342731
19,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vrae,8.614613733,,,,,,,200,1267.122985
20,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,lmmvae,1.496227087,,0.140401483,0.116049148,0.244254947,,,200,111.5780787
21,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,svgpvae-10-16-2,7.352592616,,,,,,,199,206.1232853
22,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,pca-ignore,10.42127507,,,,,,,,0.406107426
23,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,pca-ohe,10.46002123,,,,,,,,10.3891027
24,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-ignore,7.762432777,,,,,,,200,57.8523581
25,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-ohe,7.459731717,,,,,,,200,184.4896545
26,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vrae,10.84680748,,,,,,,200,1771.199898
27,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,lmmvae,1.882390328,,0.093731515,0.09564358,0.232645735,,,200,110.1396298
28,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,svgpvae-10-16-2,8.448049177,,,,,,,199,206.4976661
29,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,pca-ignore,7.924338523,,,,,,,,0.414104462
30,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,pca-ohe,7.936180759,,,,,,,,7.132338285
31,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-ignore,6.382293615,,,,,,,200,57.31112027
32,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-ohe,6.495459536,,,,,,,200,143.5589557
33,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vrae,8.359905023,,,,,,,200,1144.234474
34,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,lmmvae,1.676696137,,0.15586412,0.123358011,0.235249534,,,200,113.4241569
35,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,svgpvae-10-16-2,7.085542379,,,,,,,199,206.0373018
36,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,8.120969747,,,,,,,,0.481248379
