,mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
1,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,1.864979944,,,,,,,,0.907774925
2,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,1.721876108,,,,,,,200,80.45982671
3,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-embed,1.625186168,,,,,,,200,87.39580345
4,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.261692582,,0.347011596,0.035674583,0.01329849,,,200,191.2523437
5,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,pca-ignore,1.841057224,,,,,,,,0.782005548
6,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.599312214,,,,,,,200,81.40508842
7,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-embed,1.599050628,,,,,,,200,87.10113597
8,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.089250541,,0.341228604,0.033958193,0.011073903,,,200,191.9691834
9,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,pca-ignore,1.794368838,,,,,,,,0.750671148
10,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-ignore,1.598835076,,,,,,,200,81.07651377
11,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-embed,1.606365578,,,,,,,200,87.35394359
12,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,lmmvae,1.175771224,,0.343337297,0.034528352,0.011907697,,,200,191.5805748
13,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,pca-ignore,1.850315244,,,,,,,,0.829008818
14,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-ignore,1.615215017,,,,,,,200,81.9566381
15,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-embed,1.616786222,,,,,,,200,86.99880719
16,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,lmmvae,1.066657777,,0.340505421,0.034477476,0.011790765,,,200,191.3215518
17,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,pca-ignore,1.861313894,,,,,,,,0.758058071
18,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-ignore,1.634245098,,,,,,,200,80.47211099
19,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-embed,1.601685326,,,,,,,200,87.15948749
20,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,lmmvae,1.104411545,,0.341321796,0.034869209,0.01216842,,,200,190.6897662
21,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,1.930788526,,,,,,,,0.894773722
22,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,1.755536293,,,,,,,200,83.51709199
23,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-embed,1.655919615,,,,,,,200,89.03114128
24,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.161297602,,0.334827036,0.033435196,0.01109092,,,200,193.6737971
25,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,pca-ignore,1.900124515,,,,,,,,0.900451422
26,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.713128426,,,,,,,200,83.99441195
27,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-embed,1.609792348,,,,,,,200,89.35994124
28,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.130422031,,0.337085366,0.03427843,0.011869968,,,200,194.8339167
