,mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
1,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ignore,1.429003817,,,,,0.934601307
2,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ohe,1.429328564,,,,,32.90040898
3,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-ignore,1.233214704,,,,200,86.79271054
4,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-embed,1.27547537,,,,200,91.28351831
5,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,lmmvae,1.073728833,,0.111671165,,200,154.9034333
6,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ignore,1.546162044,,,,,0.86605978
7,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ohe,1.546702314,,,,,32.09655452
8,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.239590945,,,,200,85.21667886
9,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-embed,1.320105598,,,,200,92.31437731
10,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,lmmvae,1.098913694,,0.110582411,,200,150.4585624
11,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ignore,1.416806613,,,,,0.863361359
12,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ohe,1.41682433,,,,,32.28790092
13,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-ignore,1.239841668,,,,200,85.43040347
14,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-embed,1.242350112,,,,200,92.80635357
15,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,lmmvae,1.065567884,,0.094590776,,200,154.5702634
16,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,pca-ignore,1.548697688,,,,,0.848084688
17,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,pca-ohe,1.548899642,,,,,30.60431576
18,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-ignore,1.223628442,,,,200,84.40355778
19,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-embed,1.324304567,,,,200,91.89044166
20,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,lmmvae,1.075742592,,0.093205884,,200,152.929636
21,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,pca-ignore,1.440459854,,,,,0.697136879
22,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,pca-ohe,1.44121731,,,,,30.82455921
23,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-ignore,1.262048591,,,,200,85.10217547
24,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-embed,1.25061754,,,,200,92.49188805
