,mode,N,p,d,sig2e,beta,re_prior,q0,q1,q2,sig2b0,sig2b1,sig2b2,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
1,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,pca-ignore,2.395378946971167,,,,,,0.4483506679534912
2,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,pca-ohe,2.397690017718548,,,,,,31.19796395301819
3,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,vae-ignore,2.159126913259813,,,,,200,65.01026153564453
4,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,vae-ohe,2.2424102097231966,,,,,200,464.8359258174896
5,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,vae-embed,2.2228775349344416,,,,,200,84.16198492050171
6,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,lmmvae,1.4294926952900817,,0.0040983036160469055,0.12867867946624756,0.4177262783050537,200,114.13483762741089
7,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,pca-ignore,2.3020852653848425,,,,,,0.4149775505065918
8,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,pca-ohe,2.305067412336494,,,,,,30.067403316497803
9,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,vae-ignore,2.119789309039615,,,,,200,56.887280225753784
10,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,vae-ohe,2.1888602330592564,,,,,200,454.5580780506134
11,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,vae-embed,2.1423441332874473,,,,,200,83.83817625045776
12,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,lmmvae,1.5951691144969238,,0.003851695917546749,0.11908762902021408,0.43176156282424927,200,112.79151058197021
13,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,pca-ignore,2.4972031607828677,,,,,,0.4261012077331543
14,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,pca-ohe,2.499499186186415,,,,,,28.300699710845947
15,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,vae-ignore,2.2141535734312376,,,,,200,57.1277129650116
16,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,vae-ohe,2.2633589443258137,,,,,200,458.34757471084595
17,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,vae-embed,2.206021934046833,,,,,200,83.78797674179077
18,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,lmmvae,1.3442365727463854,,0.0038939928635954857,0.1229529157280922,0.42724817991256714,200,113.64457321166992
19,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,pca-ignore,2.298059393258456,,,,,,0.4130239486694336
20,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,pca-ohe,2.301525577069387,,,,,,28.44735884666443
21,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,vae-ignore,2.249878429743174,,,,,200,57.013638734817505
22,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,vae-ohe,2.239105773935244,,,,,200,443.23267674446106
23,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,vae-embed,2.148100774982362,,,,,200,84.12885093688965
24,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,lmmvae,1.321179759174281,,0.003920572344213724,0.12280730903148651,0.41665393114089966,200,113.00651216506958
25,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,4,pca-ignore,2.367823321319351,,,,,,0.4198770523071289
26,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,4,pca-ohe,2.371628142813644,,,,,,28.451399326324463
27,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,4,vae-ignore,2.198239829142314,,,,,200,57.24015235900879
28,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,4,vae-ohe,2.2671751927300425,,,,,200,459.07590222358704
29,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,4,vae-embed,2.1996007975480647,,,,,200,84.41779947280884
30,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,4,lmmvae,1.366239025972214,,0.004164135083556175,0.12888246774673462,0.4212665259838104,200,113.72804641723633
31,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,pca-ignore,2.487520296288476,,,,,,0.46904563903808594
32,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,pca-ohe,2.504086946780397,,,,,,30.852452516555786
33,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,vae-ignore,2.187927704061347,,,,,200,57.19524621963501
34,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,vae-ohe,2.29766544992338,,,,,200,458.471360206604
35,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,vae-embed,2.173418326471886,,,,,200,84.67765498161316
36,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,0,lmmvae,1.4914788971000217,,0.0038165035657584667,0.1274218112230301,0.42105579376220703,200,118.19935774803162
37,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,pca-ignore,2.6357666330800833,,,,,,0.4648168087005615
38,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,pca-ohe,2.649248667982945,,,,,,31.011722087860107
39,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,vae-ignore,2.1938354966182567,,,,,200,57.368582248687744
40,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,vae-ohe,2.378562278572228,,,,,200,457.45651030540466
41,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,vae-embed,2.2439942589172825,,,,,200,84.45245575904846
42,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,1,lmmvae,1.5102344339276015,,0.003952506929636002,0.12303611636161804,0.43012797832489014,200,113.31656265258789
43,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,pca-ignore,2.6038317715951247,,,,,,0.4776592254638672
44,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,pca-ohe,2.6213447554006537,,,,,,30.93547821044922
45,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,vae-ignore,2.220398056974726,,,,,200,57.12458634376526
46,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,vae-ohe,2.3247731091802457,,,,,200,457.4092285633087
47,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,vae-embed,2.2301925606460635,,,,,200,84.40539503097534
48,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,2,lmmvae,1.5682809731622547,,0.0036991024389863014,0.12146663665771484,0.4222826063632965,200,113.0160801410675
49,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,pca-ignore,2.476838094503977,,,,,,0.49045562744140625
50,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,pca-ohe,2.4868456607253244,,,,,,31.030474185943604
51,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,vae-ignore,2.2000777650502603,,,,,200,57.339659690856934
52,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,vae-ohe,2.3068106343346515,,,,,200,441.9247496128082
53,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,vae-embed,2.2302488892227585,,,,,200,84.88209629058838
54,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,3,lmmvae,1.5731957356787014,,0.003912047017365694,0.1259157359600067,0.4340691864490509,200,112.72512722015381
55,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,0.3,False,0.0001,4,pca-ignore,2.5139154607641303,,,,,,0.4828619956970215
