,mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
1,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,0,pca-ignore,1.5421577792548176,,,,,0.7500889301300049
2,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,0,pca-ohe,1.5433284343921512,,,,,56.80155944824219
3,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,0,vae-ignore,1.3320916742364377,,,,200,260.47737431526184
4,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,0,lmmvae,1.1009984806426676,,0.1775028556585312,,200,435.0300838947296
5,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,0,lmmvae-sfc,1.349848181307528,,0.4629587233066559,,200,623.6060657501221
6,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,0,svgpvae-10-16-2,1.634201748338131,,,,199,1782.6193916797638
7,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,1,pca-ignore,1.528279632360028,,,,,0.656378984451294
8,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,1,pca-ohe,1.5289132034788606,,,,,57.513317584991455
9,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,1,vae-ignore,1.3486882981691475,,,,200,259.4490065574646
10,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,1,lmmvae,1.10325280703982,,0.16271014511585236,,200,438.0421905517578
11,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,1,lmmvae-sfc,1.5921002467693552,,0.5008067488670349,,200,644.3448550701141
12,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,1,svgpvae-10-16-2,1.632576420879829,,,,199,1780.1229302883148
13,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,pca-ignore,1.5980763776835545,,,,,0.6328375339508057
14,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,pca-ohe,1.5989769559106959,,,,,57.199639558792114
15,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,vae-ignore,1.2482248878946338,,,,200,260.87455701828003
16,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,lmmvae,1.0867900392424068,,0.19346684217453003,,200,439.9589509963989
17,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,lmmvae-sfc,1.4164041194707813,,0.4248794913291931,,200,641.6791253089905
18,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,svgpvae-10-16-2,1.6451238423353194,,,,199,1780.856572151184
19,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,pca-ignore,1.3849349170519591,,,,,0.5994372367858887
20,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,pca-ohe,1.3867575388635331,,,,,57.08808398246765
21,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,vae-ignore,1.1754195065403292,,,,200,257.74740648269653
22,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,lmmvae,1.1005354416006048,,0.19834913313388824,,200,439.4239695072174
23,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,lmmvae-sfc,1.305024097637621,,0.4322674572467804,,200,642.9381210803986
24,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,svgpvae-10-16-2,1.4291307294543034,,,,199,1781.3409252166748
25,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,pca-ignore,1.4049389405977768,,,,,0.620140552520752
26,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,pca-ohe,1.4063771780185066,,,,,57.197283029556274
27,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,vae-ignore,1.2065380521108489,,,,200,258.5754780769348
28,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,lmmvae,1.0722840462260905,,0.1343817561864853,,200,441.3207018375397
29,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,lmmvae-sfc,1.3201706792527994,,0.41181373596191406,,200,644.2700927257538
30,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,svgpvae-10-16-2,1.5743726864597294,,,,199,1783.1794080734253
31,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,0,pca-ignore,1.5998166129873836,,,,,0.9555747509002686
32,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,0,pca-ohe,1.6061958270855488,,,,,64.15855813026428
