,mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
1,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ignore,1.430300538,,,,,0.883174419
2,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ohe,1.43088032,,,,,39.99488521
3,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-ignore,1.365040123,,,,200,81.96608615
4,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-embed,1.241843442,,,,200,87.52363992
5,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,0,lmmvae,1.060684361,,0.101208813,,200,150.7074516
6,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ignore,1.493616939,,,,,0.793191433
7,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ohe,1.496029977,,,,,39.04037547
8,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.198529774,,,,200,80.41436911
9,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-embed,1.370963913,,,,200,87.3472836
10,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,lmmvae,1.055298796,,0.135094494,,200,147.0311215
11,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ignore,1.405855216,,,,,1.040592194
12,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ohe,1.406617448,,,,,38.756881
13,spatial2,100000,100,1,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-ignore,1.179242134,,,,200,80.09717464
