,mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
1,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ignore,1.396042233,,,,,0.432167292
2,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,pca-ohe,1.396618652,,,,,30.04404902
3,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-ignore,1.193669901,,,,200,90.06893039
4,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,lmmvae,1.093168198,,0.201214492,,200,132.9166698
5,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,lmmvae-sfc,1.406495312,,0.322741359,,200,175.7863171
6,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,svgpvae-10-16-2,1.815938362,,,,199,419.114428
7,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ignore,1.493433398,,,,,0.468881369
8,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,pca-ohe,1.493525287,,,,,30.26891184
9,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.216880006,,,,200,83.67979097
10,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,lmmvae,1.101430925,,0.225866616,,200,133.3157988
11,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,lmmvae-sfc,1.440316813,,0.341421366,,200,175.5503066
12,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,svgpvae-10-16-2,1.979329177,,,,199,409.8332343
13,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ignore,1.350202293,,,,,0.45861578
14,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ohe,1.350309401,,,,,29.36112666
15,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-ignore,1.174111065,,,,200,84.4520812
16,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,lmmvae,1.080963322,,0.168539658,,200,135.338702
17,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,lmmvae-sfc,1.350164021,,0.291727573,,200,176.9278088
18,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,svgpvae-10-16-2,1.747834737,,,,199,414.3222883
